key,time,event,hold_time,flight_time
u,27065,keydown,172.0,
e,27253,keydown,281.0,141.0
w,27378,keydown,-266.0,32.0
u,27503,keydown,249.0,345.0
i,27612,keydown,-984.0,437.0
r,28129,keydown,-828.0,78.0
u,28221,keydown,156.0,94.0
w,28331,keydown,-2078.0,266.0
u,28503,keydown,422.0,125.0
e,28503,keydown,172.0,125.0
i,28612,keydown,204.0,62.0
 ,28893,keydown,-141.0,141.0
u,29315,keydown,-3484.0,234.0
w,29315,keydown,-125.0,125.0
i,29424,keydown,-3297.0,47.0
d,29690,keydown,-3000.0,250.0
n,29690,keydown,-1391.0,313.0
s,29862,keydown,-2111.0,48.0
j,29924,keydown,-1657.0,124.0
f,30096,keydown,-2422.0,94.0
h,30096,keydown,-2469.0,0.0
s,30253,keydown,-5860.0,297.0
h,30331,keydown,-5672.0,47.0
e,30581,keydown,-3875.0,141.0
u,30721,keydown,-4047.0,0.0
f,30846,keydown,-4578.0,31.0
i,31081,keydown,171.0,94.0
d,31471,keydown,-4735.0,282.0
s,31471,keydown,-5453.0,31.0
s,31940,keydown,-5828.0,32.0
 ,32049,keydown,-5297.0,94.0
f,32112,keydown,-8797.0,344.0
s,32254,keydown,-9500.0,172.0
d,32254,keydown,-9563.0,31.0
f,32378,keydown,-6641.0,31.0
s,32565,keydown,-7766.0,157.0
d,32581,keydown,-7953.0,110.0
j,32659,keydown,-7407.0,0.0
h,32878,keydown,-10531.0,94.0
g,32940,keydown,-11454.0,79.0
r,33221,keydown,-8500.0,62.0
e,33331,keydown,-12063.0,141.0
i,33456,keydown,-9937.0,187.0
u,33596,keydown,-10141.0,250.0
s,33862,keydown,,
d,33987,keydown,,
s,34190,keydown,,
j,34674,keydown,,
d,34690,keydown,,
f,34690,keydown,,
s,34862,keydown,,
k,35003,keydown,,
d,35299,keydown,,
 ,35362,keydown,,
f,35456,keydown,,
d,35565,keydown,,
s,35612,keydown,,
f,35721,keydown,,
j,35956,keydown,,
f,36018,keydown,,
e,36268,keydown,,
u,36503,keydown,,
i,36674,keydown,,
u,36737,keydown,,
e,37034,keydown,,
j,37221,keydown,,
f,37362,keydown,,
k,37565,keydown,,
j,37706,keydown,,
d,37878,keydown,,
s,37956,keydown,,
j,38081,keydown,,
f,38128,keydown,,
i,38315,keydown,,
e,38424,keydown,,
u,38659,keydown,,
f,38706,keydown,,
e,38925,keydown,,
r,38925,keydown,,
f,39221,keydown,,
e,39534,keydown,,
g,39659,keydown,,
h,39831,keydown,,
d,40049,keydown,,
s,40143,keydown,,
h,40331,keydown,,
j,40424,keydown,,
