key,time,event,hold_time,flight_time
CapsLock,16189,keydown,139.0,
j,16594,keydown,297.0,30.0
d,16781,keydown,-281.0,281.0
s,16953,keydown,172.0,47.0
j,17032,keydown,-656.0,110.0
k,17125,keydown,-282.0,282.0
j,17407,keydown,155.0,110.0
e,17469,keydown,157.0,79.0
k,17579,keydown,343.0,188.0
j,17782,keydown,-204.0,32.0
e,17797,keydown,-1594.0,188.0
r,17923,keydown,-2577.0,250.0
i,18220,keydown,-3030.0,78.0
u,18454,keydown,-1172.0,125.0
f,18563,keydown,-3063.0,188.0
r,18751,keydown,-2937.0,203.0
e,18875,keydown,-610.0,32.0
 ,18922,keydown,-3406.0,219.0
f,19110,keydown,-4218.0,125.0
e,19266,keydown,-3750.0,125.0
j,19328,keydown,-3781.0,62.0
k,19485,keydown,-4562.0,16.0
g,19547,keydown,-3218.0,31.0
r,19766,keydown,-2860.0,172.0
j,19781,keydown,-4406.0,312.0
k,20000,keydown,-93.0,93.0
f,20078,keydown,-5375.0,234.0
d,20141,keydown,-6109.0,47.0
j,20156,keydown,-4032.0,125.0
s,20156,keydown,-4938.0,235.0
g,20438,keydown,-5968.0,109.0
 ,20547,keydown,-7421.0,203.0
s,20625,keydown,-7000.0,62.0
d,20625,keydown,-6328.0,32.0
g,20766,keydown,-5453.0,125.0
d,20953,keydown,-7234.0,187.0
j,20969,keydown,-8171.0,203.0
s,20969,keydown,-5250.0,140.0
k,21078,keydown,-5594.0,0.0
g,21094,keydown,-8469.0,125.0
j,21313,keydown,-8781.0,125.0
r,21328,keydown,-8859.0,93.0
e,21406,keydown,-7375.0,31.0
k,21516,keydown,-8671.0,218.0
g,21719,keydown,-8921.0,125.0
 ,21938,keydown,-8733.0,156.0
e,22078,keydown,-5031.0,125.0
r,22078,keydown,-8907.0,219.0
h,22344,keydown,-9204.0,111.0
j,22469,keydown,-10781.0,172.0
h,22531,keydown,-10343.0,172.0
k,22672,keydown,-10156.0,31.0
j,22860,keydown,-10765.0,172.0
f,22938,keydown,-10625.0,94.0
i,23313,keydown,-10545.0,250.0
e,23313,keydown,-12313.0,141.0
r,23313,keydown,-10625.0,140.0
u,23328,keydown,-10860.0,282.0
g,23719,keydown,-13172.0,0.0
e,23953,keydown,-14015.0,94.0
r,24078,keydown,-13562.0,109.0
j,24172,keydown,-13578.0,15.0
k,24297,keydown,-13156.0,203.0
g,24391,keydown,,
r,24438,keydown,,
e,24500,keydown,,
 ,24531,keydown,,
g,24656,keydown,,
r,24844,keydown,,
e,24906,keydown,,
j,24922,keydown,,
g,25078,keydown,,
k,25110,keydown,,
g,25422,keydown,,
d,25547,keydown,,
 ,25641,keydown,,
g,25813,keydown,,
d,25985,keydown,,
j,26000,keydown,,
s,26000,keydown,,
k,26156,keydown,,
f,26281,keydown,,
j,26438,keydown,,
e,26531,keydown,,
r,26781,keydown,,
g,26860,keydown,,
r,27031,keydown,,
i,27094,keydown,,
e,27110,keydown,,
u,27344,keydown,,
h,27469,keydown,,
f,27813,keydown,,
s,27938,keydown,,
j,27938,keydown,,
d,27953,keydown,,
k,28047,keydown,,
f,28110,keydown,,
j,28219,keydown,,
e,28453,keydown,,
r,28453,keydown,,
i,28531,keydown,,
u,28672,keydown,,
g,28672,keydown,,
e,28875,keydown,,
r,28875,keydown,,
i,29000,keydown,,
g,29156,keydown,,
u,29156,keydown,,
d,29391,keydown,,
f,29531,keydown,,
 ,29938,keydown,,
f,30156,keydown,,
d,30188,keydown,,
s,30250,keydown,,
j,30344,keydown,,
k,30469,keydown,,
g,30625,keydown,,
j,30766,keydown,,
d,30781,keydown,,
s,30781,keydown,,
k,30875,keydown,,
g,31016,keydown,,
e,31188,keydown,,
r,31266,keydown,,
