key,time,event,hold_time,flight_time
s,17168,keydown,375.0,
k,17293,keydown,343.0,
d,17386,keydown,328.0,
j,17496,keydown,234.0,
e,17699,keydown,203.0,141.0
w,17699,keydown,314.0,156.0
u,17871,keydown,-126.0,0.0
f,17886,keydown,-108.0,0.0
i,18074,keydown,-814.0,189.0
e,18090,keydown,-546.0,31.0
u,18200,keydown,-1063.0,94.0
f,18308,keydown,-5577.0,94.0
s,18464,keydown,-6251.0,282.0
d,18527,keydown,-6361.0,314.0
j,18544,keydown,-5969.0,47.0
k,18669,keydown,-6783.0,157.0
f,18746,keydown,125.0,313.0
j,18887,keydown,-7158.0,142.0
e,19027,keydown,-1361.0,126.0
 ,23512,keydown,-7719.0,94.0
f,23777,keydown,203.0,126.0
j,23918,keydown,-8484.0,109.0
s,23949,keydown,-8313.0,109.0
d,23965,keydown,-7718.0,0.0
k,23997,keydown,-532.0,16.0
f,24169,keydown,-8750.0,171.0
j,24247,keydown,-8986.0,156.0
k,24419,keydown,-2344.0,250.0
e,24575,keydown,-8968.0,46.0
r,24575,keydown,-1579.0,46.0
j,24652,keydown,-10250.0,140.0
f,24746,keydown,-10392.0,110.0
d,24872,keydown,-2532.0,140.0
s,24872,keydown,-3749.0,155.0
 ,25044,keydown,-5267.0,0.0
g,25278,keydown,-11655.0,484.0
i,25402,keydown,-5453.0,188.0
r,25683,keydown,-5048.0,62.0
e,25683,keydown,,
i,25730,keydown,,
o,25840,keydown,,
s,26027,keydown,,
d,26027,keydown,,
i,26043,keydown,,
g,26246,keydown,,
o,26261,keydown,,
i,26402,keydown,,
d,26464,keydown,,
s,26464,keydown,,
f,26699,keydown,,
e,26950,keydown,,
o,27028,keydown,,
r,27044,keydown,,
i,27293,keydown,,
g,27293,keydown,,
e,27450,keydown,,
f,27747,keydown,,
d,27793,keydown,,
s,27793,keydown,,
f,27964,keydown,,
s,28106,keydown,,
d,28106,keydown,,
g,28246,keydown,,
r,28449,keydown,,
e,28543,keydown,,
 ,28794,keydown,,
 ,28950,keydown,,
d,29340,keydown,,
s,29730,keydown,,
f,29855,keydown,,
e,30153,keydown,,
r,30153,keydown,,
f,30262,keydown,,
g,30762,keydown,,
