key,time,event,hold_time,flight_time
s,12023,keydown,280.0,
a,12147,keydown,298.0,
j,12178,keydown,142.0,
k,12256,keydown,142.0,
s,12336,keydown,-186.0,30.0
d,12506,keydown,-110.0,110.0
j,12506,keydown,-266.0,188.0
e,12897,keydown,-437.0,110.0
u,13086,keydown,-720.0,142.0
f,13257,keydown,-437.0,188.0
u,13460,keydown,-1048.0,79.0
e,13538,keydown,-2158.0,0.0
w,13538,keydown,-1593.0,14.0
 ,13772,keydown,-1891.0,63.0
f,14038,keydown,-2265.0,109.0
u,14070,keydown,-2516.0,109.0
w,14116,keydown,-2719.0,234.0
e,14131,keydown,-1530.0,234.0
i,14256,keydown,-4000.0,124.0
u,14398,keydown,-4202.0,46.0
s,14461,keydown,-3577.0,15.0
d,14475,keydown,-2717.0,16.0
f,14678,keydown,-4828.0,330.0
j,14725,keydown,-4391.0,344.0
k,14819,keydown,-4952.0,93.0
e,15039,keydown,-4310.0,311.0
u,15241,keydown,-5437.0,157.0
 ,15647,keydown,-5796.0,125.0
f,15866,keydown,-6483.0,311.0
u,15866,keydown,-921.0,311.0
e,15991,keydown,-7357.0,311.0
i,15991,keydown,,
f,16148,keydown,,
d,16288,keydown,,
s,16303,keydown,,
f,16522,keydown,,
j,16522,keydown,,
k,16600,keydown,,
e,16788,keydown,,
u,16927,keydown,,
i,17178,keydown,,
f,17647,keydown,,
d,17710,keydown,,
s,17787,keydown,,
 ,18319,keydown,,
f,18553,keydown,,
u,18631,keydown,,
e,18771,keydown,,
r,18771,keydown,,
i,18771,keydown,,
u,19005,keydown,,
f,19038,keydown,,
d,19224,keydown,,
s,19241,keydown,,
f,19397,keydown,,
j,19599,keydown,,
e,19755,keydown,,
r,19755,keydown,,
k,19755,keydown,,
