key,time,event,hold_time,flight_time
j,5452,keydown,187.0,
s,5530,keydown,500.0,
k,5655,keydown,-235.0,235.0
j,5874,keydown,343.0,16.0
f,6093,keydown,172.0,78.0
j,6171,keydown,-750.0,62.0
r,6389,keydown,-1297.0,218.0
e,6405,keydown,-1157.0,63.0
 ,6546,keydown,-1438.0,16.0
s,6780,keydown,-1734.0,453.0
j,6936,keydown,-31.0,16.0
k,7093,keydown,-2765.0,358.0
f,7218,keydown,-3844.0,235.0
e,7358,keydown,-4282.0,282.0
j,7514,keydown,-4140.0,140.0
f,7874,keydown,-5282.0,125.0
i,7983,keydown,-5157.0,32.0
r,8311,keydown,-1171.0,77.0
e,8311,keydown,-5766.0,109.0
i,8374,keydown,-5657.0,16.0
f,8952,keydown,-5672.0,172.0
 ,9483,keydown,187.0,94.0
f,9702,keydown,-6781.0,454.0
s,9874,keydown,-8329.0,297.0
d,9889,keydown,-8360.0,141.0
j,9921,keydown,-4125.0,172.0
k,10076,keydown,-8797.0,281.0
f,10202,keydown,-9204.0,16.0
j,10436,keydown,-5578.0,297.0
w,10732,keydown,250.0,94.0
j,10921,keydown,-6312.0,46.0
k,11093,keydown,-10141.0,109.0
d,11373,keydown,-11235.0,111.0
j,11405,keydown,-10452.0,125.0
s,11499,keydown,-8781.0,47.0
f,11546,keydown,-10578.0,78.0
k,11593,keydown,-7531.0,156.0
s,11826,keydown,-12110.0,63.0
j,11905,keydown,-11844.0,126.0
f,11905,keydown,-12704.0,33.0
e,12249,keydown,-13187.0,249.0
i,12374,keydown,-13156.0,359.0
o,12655,keydown,-10031.0,31.0
r,12779,keydown,-14063.0,16.0
 ,13499,keydown,-14750.0,17.0
j,13968,keydown,-15391.0,187.0
k,14296,keydown,-15000.0,438.0
d,14327,keydown,-13703.0,297.0
s,14405,keydown,173.0,203.0
j,14436,keydown,-14420.0,108.0
f,14732,keydown,-719.0,454.0
j,14843,keydown,,
k,15030,keydown,,
e,15061,keydown,,
j,15405,keydown,,
d,15780,keydown,,
j,15983,keydown,,
g,16218,keydown,,
j,16279,keydown,,
d,16514,keydown,,
j,16577,keydown,,
f,16577,keydown,,
s,16763,keydown,,
d,16780,keydown,,
j,16874,keydown,,
f,16888,keydown,,
i,17124,keydown,,
e,17155,keydown,,
i,17405,keydown,,
i,17686,keydown,,
d,17733,keydown,,
s,17733,keydown,,
f,17905,keydown,,
j,18014,keydown,,
k,18046,keydown,,
f,18280,keydown,,
j,18343,keydown,,
e,18468,keydown,,
 ,19201,keydown,,
f,19623,keydown,,
j,19671,keydown,,
e,19733,keydown,,
k,20218,keydown,,
d,20233,keydown,,
s,20248,keydown,,
f,20499,keydown,,
j,20561,keydown,,
k,20749,keydown,,
s,20780,keydown,,
d,20843,keydown,,
j,21030,keydown,,
f,21093,keydown,,
e,21577,keydown,,
i,22046,keydown,,
u,22482,keydown,,
i,22763,keydown,,
u,22827,keydown,,
u,23343,keydown,,
u,23374,keydown,,
i,23405,keydown,,
