key,time,event,hold_time,flight_time
w,4359,keydown,890.0,
e,4484,keydown,265.0,
j,4625,keydown,406.0,
h,4843,keydown,-236.0,236.0
e,4985,keydown,172.0,31.0
r,5062,keydown,-297.0,126.0
d,5360,keydown,-1125.0,139.0
h,5375,keydown,173.0,125.0
s,5438,keydown,-235.0,235.0
j,5515,keydown,-1705.0,157.0
f,5641,keydown,-1485.0,32.0
h,5766,keydown,-2203.0,109.0
e,5874,keydown,-1563.0,156.0
 ,6124,keydown,-2609.0,172.0
f,6234,keydown,-2671.0,249.0
e,6454,keydown,-2984.0,79.0
r,6499,keydown,-2672.0,328.0
j,6516,keydown,-3625.0,79.0
g,6704,keydown,-4141.0,95.0
e,6781,keydown,-3076.0,186.0
j,7016,keydown,-4563.0,234.0
j,7234,keydown,-4438.0,126.0
d,7281,keydown,-5531.0,16.0
k,7374,keydown,-5436.0,124.0
g,7563,keydown,-6047.0,32.0
j,7640,keydown,-5859.0,126.0
r,7905,keydown,-4406.0,110.0
e,7905,keydown,-6734.0,172.0
k,7920,keydown,-7124.0,280.0
j,8015,keydown,-7375.0,95.0
 ,8639,keydown,-5796.0,251.0
f,8671,keydown,-8390.0,141.0
w,8874,keydown,-8093.0,173.0
e,8890,keydown,-8264.0,108.0
f,9202,keydown,-8139.0,31.0
s,9328,keydown,-8031.0,140.0
 ,9373,keydown,-9093.0,46.0
f,9531,keydown,-9264.0,234.0
w,9812,keydown,-9749.0,124.0
e,9953,keydown,-9139.0,63.0
j,10311,keydown,-8921.0,32.0
d,10311,keydown,-10187.0,32.0
f,10437,keydown,-10938.0,298.0
j,10562,keydown,-11266.0,0.0
r,10670,keydown,-8624.0,93.0
k,10670,keydown,-10610.0,141.0
e,10796,keydown,-10593.0,108.0
j,10890,keydown,-9015.0,187.0
 ,11202,keydown,,
d,11265,keydown,,
g,11531,keydown,,
j,11765,keydown,,
e,11873,keydown,,
k,12109,keydown,,
g,12202,keydown,,
j,12406,keydown,,
f,12421,keydown,,
e,12593,keydown,,
k,12624,keydown,,
j,12748,keydown,,
g,12921,keydown,,
e,13139,keydown,,
r,13156,keydown,,
h,13171,keydown,,
j,13295,keydown,,
 ,13609,keydown,,
f,13687,keydown,,
d,13827,keydown,,
s,13843,keydown,,
f,14030,keydown,,
j,14124,keydown,,
e,14498,keydown,,
r,14498,keydown,,
k,14514,keydown,,
j,14514,keydown,,
j,14780,keydown,,
s,14843,keydown,,
d,14873,keydown,,
f,15077,keydown,,
 ,15218,keydown,,
r,15421,keydown,,
j,15655,keydown,,
e,15687,keydown,,
g,15827,keydown,,
k,15827,keydown,,
j,15998,keydown,,
e,16015,keydown,,
k,16280,keydown,,
d,16328,keydown,,
s,16546,keydown,,
f,16592,keydown,,
k,16671,keydown,,
