key,time,event,hold_time,flight_time
j,10401,keydown,167.0,1161.0
s,10443,keydown,154.0,1221.0
k,10503,keydown,171.0,1255.0
a,10537,keydown,-229.0,87.0
j,10795,keydown,-745.0,13.0
d,10947,keydown,132.0,191.0
k,10983,keydown,-1510.0,306.0
e,11164,keydown,-1468.0,308.0
w,11177,keydown,-1580.0,2.0
j,11311,keydown,-2072.0,114.0
 ,11638,keydown,-2510.0,309.0
d,11982,keydown,-2589.0,341.0
j,12076,keydown,-1768.0,116.0
s,12078,keydown,-2484.0,13.0
k,12237,keydown,-1016.0,98.0
f,12358,keydown,-3346.0,58.0
j,12366,keydown,-3711.0,93.0
r,12592,keydown,75.0,422.0
k,12729,keydown,-4557.0,86.0
e,12732,keydown,-206.0,206.0
j,13006,keydown,-4063.0,86.0
k,13167,keydown,-3271.0,54.0
d,13170,keydown,-5535.0,172.0
s,13199,keydown,-4962.0,192.0
 ,13538,keydown,-5332.0,87.0
d,13687,keydown,-6404.0,200.0
s,13721,keydown,-4364.0,127.0
f,13772,keydown,-6548.0,42.0
j,13917,keydown,-6055.0,1.0
k,14003,keydown,-4673.0,172.0
f,14066,keydown,-6444.0,288.0
j,14277,keydown,-5499.0,125.0
e,14520,keydown,-7772.0,81.0
o,15006,keydown,-5856.0,100.0
i,15065,keydown,-8086.0,18.0
s,15167,keydown,-7682.0,184.0
o,15287,keydown,-3944.0,120.0
d,15393,keydown,-8315.0,30.0
f,15459,keydown,-8505.0,58.0
d,15599,keydown,-9354.0,36.0
s,15600,keydown,-9489.0,124.0
 ,15833,keydown,,
f,16027,keydown,,
s,16145,keydown,,
d,16165,keydown,,
j,16205,keydown,,
f,16299,keydown,,
k,16329,keydown,,
r,16525,keydown,,
e,16630,keydown,,
k,16761,keydown,,
j,16970,keydown,,
f,17120,keydown,,
k,17205,keydown,,
d,17258,keydown,,
s,17273,keydown,,
f,17429,keydown,,
e,17742,keydown,,
r,17753,keydown,,
 ,17961,keydown,,
s,18139,keydown,,
d,18148,keydown,,
f,18255,keydown,,
j,18318,keydown,,
k,18429,keydown,,
s,18501,keydown,,
d,18547,keydown,,
f,18612,keydown,,
j,18652,keydown,,
r,18910,keydown,,
e,18980,keydown,,
i,19298,keydown,,
o,19391,keydown,,
d,19518,keydown,,
g,19554,keydown,,
d,19708,keydown,,
s,19753,keydown,,
f,19849,keydown,,
k,20011,keydown,,
s,20099,keydown,,
r,20280,keydown,,
j,20480,keydown,,
k,20502,keydown,,
