key,time,event,hold_time,flight_time
j,7885,keydown,,
s,7974,keydown,,
a,7990,keydown,,
k,8134,keydown,,
j,8235,keydown,,
d,8276,keydown,,
w,8652,keydown,,
e,8754,keydown,,
 ,8935,keydown,,
s,9172,keydown,,
a,9186,keydown,,
d,9379,keydown,,
j,9381,keydown,,
k,9511,keydown,,
w,9772,keydown,,
j,9786,keydown,,
e,9788,keydown,,
u,10099,keydown,,
d,10292,keydown,,
i,10294,keydown,,
a,10455,keydown,,
s,10463,keydown,,
u,10521,keydown,,
d,10712,keydown,,
w,10936,keydown,,
 ,10977,keydown,,
 ,11194,keydown,,
f,11494,keydown,,
j,11650,keydown,,
d,11734,keydown,,
k,11816,keydown,,
j,11974,keydown,,
w,12244,keydown,,
u,12385,keydown,,
e,12395,keydown,,
d,12535,keydown,,
s,12699,keydown,,
i,12730,keydown,,
a,12756,keydown,,
d,12959,keydown,,
w,13336,keydown,,
j,13810,keydown,,
k,13887,keydown,,
s,14073,keydown,,
 ,14325,keydown,,
d,14535,keydown,,
s,14656,keydown,,
a,14659,keydown,,
j,14743,keydown,,
k,14879,keydown,,
d,14893,keydown,,
w,15148,keydown,,
j,15208,keydown,,
e,15228,keydown,,
s,15575,keydown,,
a,15625,keydown,,
u,15639,keydown,,
i,15770,keydown,,
f,15984,keydown,,
u,16026,keydown,,
s,16039,keydown,,
a,16053,keydown,,
d,16261,keydown,,
a,16424,keydown,,
 ,16618,keydown,,
d,16806,keydown,,
a,16963,keydown,,
s,16997,keydown,,
j,17019,keydown,,
d,17109,keydown,,
k,17168,keydown,,
w,17528,keydown,,
j,17554,keydown,,
d,17811,keydown,,
i,17842,keydown,,
u,17913,keydown,,
s,17957,keydown,,
a,17965,keydown,,
u,18155,keydown,,
 ,18846,keydown,,
a,19324,keydown,,
j,19358,keydown,,
s,19380,keydown,,
d,19555,keydown,,
j,19576,keydown,,
k,19758,keydown,,
j,19845,keydown,,
w,19869,keydown,,
d,20081,keydown,,
a,20284,keydown,,
s,20295,keydown,,
u,20440,keydown,,
d,20461,keydown,,
i,20568,keydown,,
e,20690,keydown,,
d,20958,keydown,,
h,21130,keydown,,
s,21163,keydown,,
 ,21609,keydown,,
d,21859,keydown,,
s,21912,keydown,,
a,21955,keydown,,
j,22086,keydown,,
d,22256,keydown,,
j,22345,keydown,,
w,22507,keydown,,
e,22510,keydown,,
d,22770,keydown,,
u,22997,keydown,,
i,23084,keydown,,
s,23087,keydown,,
d,23253,keydown,,
s,23351,keydown,,
u,23360,keydown,,
a,23404,keydown,,
