key,time,event,hold_time,flight_time
j,33154,keydown,86.0,
d,33459,keydown,185.0,34.0
a,33624,keydown,-1003.0,267.0
k,33857,keydown,150.0,121.0
j,34243,keydown,145.0,286.0
d,34532,keydown,116.0,84.0
u,34776,keydown,-2718.0,150.0
e,35068,keydown,-3574.0,107.0
w,35212,keydown,158.0,227.0
y,35567,keydown,-2099.0,19.0
r,35793,keydown,-4524.0,377.0
h,36027,keydown,147.0,477.0
d,36308,keydown,-4346.0,565.0
s,36540,keydown,-4979.0,29.0
j,36814,keydown,-4043.0,193.0
n,37133,keydown,-7948.0,122.0
r,37413,keydown,-2433.0,15.0
e,37571,keydown,-6008.0,119.0
y,37808,keydown,163.0,392.0
s,38121,keydown,-8409.0,207.0
a,38333,keydown,-6617.0,93.0
j,38619,keydown,-9433.0,141.0
f,39233,keydown,-11978.0,100.0
h,39358,keydown,-8960.0,32.0
y,40055,keydown,-12037.0,147.0
r,40113,keydown,-10979.0,8.0
e,40214,keydown,-9377.0,319.0
u,40415,keydown,-14227.0,66.0
s,40750,keydown,-14894.0,95.0
a,40918,keydown,-15296.0,244.0
j,41188,keydown,-5828.0,149.0
h,41641,keydown,-13424.0,13.0
f,41813,keydown,-14644.0,50.0
r,41917,keydown,-6628.0,65.0
e,42127,keydown,-13355.0,291.0
u,42360,keydown,-3243.0,344.0
i,42881,keydown,-14593.0,185.0
f,43133,keydown,-18514.0,148.0
e,43644,keydown,-12717.0,84.0
n,43908,keydown,-17132.0,354.0
j,44555,keydown,-9749.0,236.0
f,44758,keydown,-18117.0,122.0
y,45142,keydown,-5765.0,218.0
s,45296,keydown,-17111.0,174.0
d,45568,keydown,-20753.0,128.0
s,45667,keydown,-19529.0,252.0
j,45822,keydown,-19264.0,296.0
d,45899,keydown,-19856.0,185.0
k,46013,keydown,-15429.0,12.0
e,46214,keydown,-22736.0,326.0
f,46623,keydown,-22239.0,43.0
n,46668,keydown,-16964.0,89.0
d,46993,keydown,-22027.0,54.0
 ,47630,keydown,-23725.0,75.0
d,47817,keydown,-10152.0,242.0
s,47968,keydown,-21493.0,176.0
j,48134,keydown,-24551.0,336.0
j,48536,keydown,-15792.0,327.0
f,48562,keydown,-24086.0,20.0
e,48756,keydown,-23706.0,490.0
i,48872,keydown,-12631.0,402.0
u,49211,keydown,-24980.0,164.0
r,49333,keydown,-28015.0,49.0
e,49433,keydown,-27808.0,44.0
u,49570,keydown,-26259.0,25.0
i,49672,keydown,-27082.0,111.0
d,49969,keydown,-25683.0,27.0
s,50062,keydown,-26338.0,133.0
j,50304,keydown,-29544.0,139.0
k,50519,keydown,-29367.0,102.0
 ,50994,keydown,-15715.0,40.0
d,51260,keydown,-27107.0,224.0
s,51300,keydown,-27723.0,291.0
j,51517,keydown,-30685.0,28.0
j,51754,keydown,-28974.0,96.0
k,51870,keydown,-29933.0,89.0
f,52097,keydown,-30026.0,95.0
r,52274,keydown,-29907.0,98.0
e,52367,keydown,-32243.0,484.0
u,52709,keydown,-18794.0,377.0
i,52793,keydown,-30215.0,231.0
d,52998,keydown,-33905.0,1.0
u,53043,keydown,-33418.0,45.0
s,53045,keydown,-31185.0,58.0
 ,53516,keydown,-32201.0,158.0
f,53662,keydown,-32413.0,135.0
s,53818,keydown,-32774.0,144.0
d,53909,keydown,-32369.0,214.0
j,53993,keydown,-32667.0,89.0
f,54219,keydown,-32882.0,77.0
u,54455,keydown,-35909.0,206.0
e,54499,keydown,-33602.0,248.0
i,54756,keydown,-34001.0,63.0
u,54782,keydown,-34919.0,180.0
f,54809,keydown,-35039.0,211.0
d,55075,keydown,-35129.0,112.0
 ,55530,keydown,-24263.0,263.0
s,55933,keydown,-35763.0,300.0
j,55976,keydown,-39432.0,57.0
d,56154,keydown,-36873.0,188.0
k,56215,keydown,-38235.0,167.0
f,56344,keydown,-37312.0,174.0
e,56584,keydown,-41246.0,81.0
u,56761,keydown,-41411.0,54.0
u,56953,keydown,-39608.0,176.0
i,57093,keydown,-39003.0,182.0
d,57315,keydown,,
s,57417,keydown,,
 ,57903,keydown,,
s,58200,keydown,,
j,58272,keydown,,
a,58360,keydown,,
d,58496,keydown,,
w,58798,keydown,,
i,58836,keydown,,
u,59012,keydown,,
f,59162,keydown,,
h,59864,keydown,,
 ,60382,keydown,,
s,60830,keydown,,
h,60839,keydown,,
d,61001,keydown,,
h,61138,keydown,,
s,61154,keydown,,
j,61255,keydown,,
d,61398,keydown,,
h,61573,keydown,,
w,61616,keydown,,
y,61879,keydown,,
u,62008,keydown,,
f,62235,keydown,,
d,62379,keydown,,
s,62390,keydown,,
h,62496,keydown,,
f,62525,keydown,,
s,62738,keydown,,
j,62784,keydown,,
d,62957,keydown,,
h,62959,keydown,,
w,63204,keydown,,
 ,63466,keydown,,
d,63768,keydown,,
s,63814,keydown,,
h,63881,keydown,,
j,64088,keydown,,
d,64275,keydown,,
h,64310,keydown,,
w,64480,keydown,,
y,64683,keydown,,
u,64859,keydown,,
f,64940,keydown,,
y,65238,keydown,,
e,65261,keydown,,
w,65264,keydown,,
d,65833,keydown,,
h,65876,keydown,,
s,65918,keydown,,
j,66009,keydown,,
 ,66545,keydown,,
s,66922,keydown,,
h,66963,keydown,,
d,67106,keydown,,
j,67145,keydown,,
a,67227,keydown,,
h,67343,keydown,,
d,67474,keydown,,
w,67648,keydown,,
u,67722,keydown,,
y,67910,keydown,,
e,68110,keydown,,
y,68122,keydown,,
w,68131,keydown,,
d,68475,keydown,,
h,68527,keydown,,
h,68825,keydown,,
s,68918,keydown,,
j,68996,keydown,,
 ,69382,keydown,,
s,69589,keydown,,
a,69718,keydown,,
h,69760,keydown,,
j,69948,keydown,,
d,69990,keydown,,
h,70159,keydown,,
w,70276,keydown,,
u,70447,keydown,,
y,70748,keydown,,
d,70984,keydown,,
a,71064,keydown,,
s,71226,keydown,,
h,71287,keydown,,
j,71593,keydown,,
 ,72014,keydown,,
h,72448,keydown,,
s,72470,keydown,,
j,72672,keydown,,
h,73031,keydown,,
j,73279,keydown,,
w,73592,keydown,,
 ,73694,keydown,,
s,74019,keydown,,
a,74123,keydown,,
h,74348,keydown,,
j,74486,keydown,,
d,74649,keydown,,
j,74651,keydown,,
w,74881,keydown,,
u,75145,keydown,,
y,75317,keydown,,
s,75710,keydown,,
a,75762,keydown,,
