key,time,event,hold_time,flight_time
j,7808,keydown,204.0,
s,7918,keydown,219.0,
d,7949,keydown,391.0,
k,7980,keydown,94.0,
j,8215,keydown,-593.0,62.0
f,8355,keydown,203.0,31.0
 ,9168,keydown,-1938.0,79.0
f,9308,keydown,-1937.0,172.0
e,9449,keydown,-1750.0,63.0
g,9730,keydown,-109.0,31.0
j,9902,keydown,-1235.0,125.0
r,9918,keydown,172.0,140.0
k,10012,keydown,-3656.0,594.0
j,10277,keydown,-4328.0,78.0
d,10277,keydown,-4313.0,16.0
f,10465,keydown,-4734.0,78.0
i,10808,keydown,-3937.0,171.0
e,10824,keydown,266.0,62.0
i,11074,keydown,-5406.0,266.0
g,11168,keydown,-4672.0,156.0
o,11183,keydown,-4391.0,31.0
g,11668,keydown,-4938.0,219.0
d,11996,keydown,-5859.0,281.0
f,11996,keydown,-5407.0,32.0
g,12277,keydown,-7437.0,234.0
j,12340,keydown,-7703.0,234.0
k,12387,keydown,-8030.0,46.0
r,12558,keydown,-5546.0,250.0
j,12746,keydown,265.0,392.0
k,12871,keydown,-7329.0,32.0
r,13105,keydown,-9702.0,140.0
 ,13183,keydown,-9343.0,156.0
y,13433,keydown,-10218.0,390.0
r,13621,keydown,-8438.0,17.0
k,13683,keydown,-10531.0,17.0
j,13996,keydown,-8906.0,47.0
f,14121,keydown,235.0,47.0
e,14371,keydown,-8406.0,109.0
r,14496,keydown,-12359.0,15.0
j,14512,keydown,-11515.0,141.0
k,14605,keydown,-12234.0,31.0
g,14824,keydown,-13670.0,187.0
r,15043,keydown,-12141.0,125.0
 ,15105,keydown,-14171.0,234.0
g,15340,keydown,-12515.0,62.0
f,15543,keydown,-5344.0,266.0
j,15652,keydown,-13922.0,235.0
d,15777,keydown,-14609.0,31.0
k,15777,keydown,-15561.0,280.0
g,16012,keydown,-14578.0,94.0
j,16042,keydown,-13453.0,47.0
r,16199,keydown,-7109.0,171.0
i,16511,keydown,-15172.0,126.0
d,16995,keydown,-17592.0,500.0
f,17012,keydown,-953.0,92.0
u,17168,keydown,204.0,62.0
g,17262,keydown,-18374.0,140.0
i,17307,keydown,-18061.0,139.0
r,17496,keydown,-18516.0,141.0
 ,17699,keydown,-18609.0,376.0
d,18042,keydown,-11094.0,47.0
f,18058,keydown,-17671.0,32.0
j,18167,keydown,-20125.0,16.0
g,18292,keydown,-19375.0,250.0
k,18292,keydown,-19218.0,155.0
r,18543,keydown,-19874.0,14.0
j,18543,keydown,-19437.0,172.0
g,18762,keydown,-22406.0,313.0
k,18777,keydown,-22297.0,33.0
j,18902,keydown,-19843.0,141.0
r,19011,keydown,-21391.0,126.0
t,19011,keydown,-3813.0,173.0
u,19262,keydown,,
i,19371,keydown,,
j,20277,keydown,,
k,20433,keydown,,
 ,20761,keydown,,
f,20949,keydown,,
e,21137,keydown,,
j,21276,keydown,,
g,21573,keydown,,
j,21682,keydown,,
k,21793,keydown,,
g,22074,keydown,,
j,22183,keydown,,
f,22292,keydown,,
k,22323,keydown,,
g,22448,keydown,,
r,22652,keydown,,
i,22746,keydown,,
u,22777,keydown,,
 ,23168,keydown,,
f,23324,keydown,,
j,23573,keydown,,
s,23808,keydown,,
d,23854,keydown,,
k,24012,keydown,,
f,24074,keydown,,
e,24277,keydown,,
i,24418,keydown,,
u,24542,keydown,,
g,24682,keydown,,
r,24840,keydown,,
e,24871,keydown,,
n,25073,keydown,,
d,25449,keydown,,
s,25729,keydown,,
n,26182,keydown,,
m,26433,keydown,,
f,26465,keydown,,
s,26511,keydown,,
f,26776,keydown,,
j,26917,keydown,,
s,27043,keydown,,
h,27121,keydown,,
e,27354,keydown,,
 ,27762,keydown,,
r,28293,keydown,,
e,28308,keydown,,
i,28324,keydown,,
u,28527,keydown,,
i,28636,keydown,,
f,28840,keydown,,
e,29074,keydown,,
r,29323,keydown,,
g,29652,keydown,,
j,29730,keydown,,
k,29839,keydown,,
e,29979,keydown,,
r,29979,keydown,,
i,30402,keydown,,
u,30417,keydown,,
f,30417,keydown,,
s,30543,keydown,,
d,30637,keydown,,
u,30714,keydown,,
i,30808,keydown,,
f,30917,keydown,,
e,31090,keydown,,
h,31137,keydown,,
n,31590,keydown,,
g,31887,keydown,,
e,32073,keydown,,
j,32104,keydown,,
