key,time,event,hold_time,flight_time
j,4190,keydown,78.0,
s,4409,keydown,187.0,157.0
d,4425,keydown,-172.0,172.0
j,4440,keydown,267.0,0.0
f,4612,keydown,-124.0,110.0
k,4691,keydown,202.0,48.0
j,4737,keydown,235.0,0.0
e,4785,keydown,-172.0,16.0
f,5003,keydown,219.0,31.0
i,5113,keydown,-751.0,0.0
r,5221,keydown,-172.0,172.0
e,5237,keydown,-672.0,124.0
i,5410,keydown,-906.0,61.0
r,5504,keydown,-686.0,31.0
o,5519,keydown,-1267.0,47.0
g,5597,keydown,-2141.0,203.0
r,5785,keydown,-1437.0,234.0
e,5816,keydown,-1530.0,31.0
 ,5847,keydown,-1890.0,32.0
g,5988,keydown,-3203.0,46.0
r,6128,keydown,-3936.0,202.0
e,6191,keydown,-3265.0,46.0
i,6221,keydown,-3751.0,109.0
g,6284,keydown,-4499.0,139.0
o,6346,keydown,-4281.0,15.0
i,6582,keydown,-4813.0,47.0
d,6643,keydown,-5969.0,63.0
s,6738,keydown,-5267.0,95.0
o,6785,keydown,-4876.0,95.0
i,6940,keydown,-6079.0,95.0
o,7206,keydown,-6000.0,283.0
g,7253,keydown,-5327.0,63.0
r,7346,keydown,-5593.0,188.0
 ,7518,keydown,-5983.0,93.0
g,7706,keydown,-6766.0,16.0
s,7800,keydown,-7592.0,281.0
i,8222,keydown,-7359.0,16.0
o,8457,keydown,-7689.0,47.0
s,8629,keydown,-8344.0,31.0
f,8815,keydown,-8156.0,47.0
i,8815,keydown,-7983.0,219.0
o,8925,keydown,-9374.0,140.0
i,9066,keydown,-9970.0,79.0
s,9096,keydown,-9313.0,219.0
 ,9393,keydown,,
g,9487,keydown,,
r,9737,keydown,,
j,9910,keydown,,
e,9925,keydown,,
g,10112,keydown,,
i,10128,keydown,,
j,10237,keydown,,
e,10332,keydown,,
r,10332,keydown,,
i,10504,keydown,,
d,10691,keydown,,
s,10737,keydown,,
i,10815,keydown,,
f,10879,keydown,,
o,10987,keydown,,
i,11143,keydown,,
e,11175,keydown,,
o,11253,keydown,,
f,11378,keydown,,
i,11518,keydown,,
o,11643,keydown,,
g,11690,keydown,,
e,11831,keydown,,
 ,12050,keydown,,
f,12471,keydown,,
e,12737,keydown,,
r,12815,keydown,,
f,12957,keydown,,
i,13004,keydown,,
g,13143,keydown,,
o,13269,keydown,,
e,13409,keydown,,
i,13471,keydown,,
o,13643,keydown,,
d,13846,keydown,,
s,13971,keydown,,
f,14081,keydown,,
j,14238,keydown,,
e,14378,keydown,,
k,14394,keydown,,
