key,time,event,hold_time,flight_time
d,15153,keydown,240.0,
j,15162,keydown,259.0,
k,15355,keydown,187.0,
s,15378,keydown,179.0,
a,15423,keydown,-222.0,73.0
d,15613,keydown,-1226.0,407.0
j,15643,keydown,-1282.0,612.0
w,15991,keydown,169.0,70.0
 ,16088,keydown,-1892.0,85.0
j,16589,keydown,-1683.0,135.0
d,16619,keydown,-2690.0,234.0
k,16824,keydown,-2727.0,284.0
s,16897,keydown,-3219.0,9.0
a,16927,keydown,-2860.0,132.0
u,17270,keydown,-4781.0,320.0
d,17285,keydown,-4727.0,430.0
i,17430,keydown,-4880.0,447.0
w,17561,keydown,-5229.0,700.0
 ,17895,keydown,-6357.0,381.0
s,18247,keydown,-6818.0,17.0
a,18297,keydown,-6940.0,113.0
j,18363,keydown,-6440.0,76.0
k,18529,keydown,-5238.0,90.0
d,18612,keydown,-7806.0,166.0
w,18952,keydown,-5882.0,37.0
u,19145,keydown,,
i,19315,keydown,,
w,19693,keydown,,
d,20174,keydown,,
s,20284,keydown,,
j,20301,keydown,,
a,20505,keydown,,
k,20526,keydown,,
 ,21441,keydown,,
j,21809,keydown,,
s,21893,keydown,,
a,21927,keydown,,
k,21967,keydown,,
d,22211,keydown,,
j,22361,keydown,,
w,22532,keydown,,
u,22677,keydown,,
i,22961,keydown,,
d,23198,keydown,,
a,23292,keydown,,
s,23363,keydown,,
u,23431,keydown,,
i,23549,keydown,,
