key,time,event,hold_time,flight_time
s,16184,keydown,220.0,
j,16231,keydown,139.0,
k,16542,keydown,187.0,169.0
j,16869,keydown,-972.0,164.0
d,16899,keydown,206.0,344.0
j,17127,keydown,337.0,7.0
s,17376,keydown,-435.0,233.0
a,17556,keydown,126.0,1051.0
u,17706,keydown,-2082.0,215.0
i,17906,keydown,-3648.0,152.0
e,18082,keydown,-3519.0,52.0
w,18126,keydown,-2406.0,209.0
u,18308,keydown,-2466.0,236.0
 ,19503,keydown,-5159.0,140.0
s,19714,keydown,191.0,236.0
a,19844,keydown,-3900.0,239.0
d,20133,keydown,-5462.0,86.0
j,20223,keydown,-5378.0,167.0
k,20378,keydown,-4841.0,306.0
s,20481,keydown,413.0,8.0
d,20605,keydown,-4845.0,103.0
w,20858,keydown,-5665.0,47.0
e,20885,keydown,-5581.0,102.0
u,20900,keydown,-6217.0,110.0
i,21090,keydown,-8184.0,170.0
u,21262,keydown,-5626.0,541.0
s,21563,keydown,-9709.0,169.0
d,21579,keydown,-4609.0,103.0
h,21659,keydown,-9401.0,131.0
a,21662,keydown,-8375.0,213.0
j,21832,keydown,-10247.0,252.0
 ,22163,keydown,-9955.0,103.0
d,22464,keydown,-10400.0,71.0
s,22466,keydown,-8880.0,123.0
a,22603,keydown,-12348.0,89.0
j,22657,keydown,-12583.0,290.0
k,22830,keydown,-5725.0,99.0
f,22983,keydown,-11610.0,144.0
j,23020,keydown,-13418.0,106.0
e,23264,keydown,76.0,613.0
w,23302,keydown,-14584.0,160.0
u,23538,keydown,115.0,28.0
i,23656,keydown,-15620.0,542.0
s,23922,keydown,-8976.0,83.0
a,23979,keydown,-16088.0,203.0
d,24157,keydown,-14829.0,42.0
s,24426,keydown,-14634.0,62.0
j,24554,keydown,-9990.0,25.0
w,25002,keydown,,
 ,25255,keydown,,
f,25432,keydown,,
w,25643,keydown,,
j,26079,keydown,,
h,26459,keydown,,
d,26487,keydown,,
w,26827,keydown,,
u,27188,keydown,,
d,27333,keydown,,
i,27382,keydown,,
s,27429,keydown,,
u,27880,keydown,,
f,27941,keydown,,
i,28030,keydown,,
s,28161,keydown,,
a,28162,keydown,,
 ,28509,keydown,,
s,28752,keydown,,
a,28765,keydown,,
j,28953,keydown,,
k,29069,keydown,,
f,29121,keydown,,
w,29279,keydown,,
e,29290,keydown,,
u,29555,keydown,,
i,29685,keydown,,
s,29822,keydown,,
d,30022,keydown,,
n,30752,keydown,,
s,30988,keydown,,
a,31042,keydown,,
n,31070,keydown,,
m,31367,keydown,,
f,31893,keydown,,
s,32024,keydown,,
a,32044,keydown,,
 ,32155,keydown,,
f,32372,keydown,,
s,32492,keydown,,
a,32591,keydown,,
i,32811,keydown,,
o,32920,keydown,,
f,33003,keydown,,
w,33086,keydown,,
f,33386,keydown,,
w,33634,keydown,,
e,33652,keydown,,
