key,time,event,hold_time,flight_time
j,6642,keydown,473.0,424.0
s,6723,keydown,326.0,481.0
a,6780,keydown,-131.0,131.0
j,6936,keydown,297.0,50.0
k,7058,keydown,-459.0,68.0
d,7166,keydown,134.0,135.0
j,7264,keydown,-1289.0,211.0
e,7383,keydown,-586.0,287.0
w,7439,keydown,-1658.0,40.0
 ,7749,keydown,-1489.0,128.0
f,7941,keydown,-1075.0,204.0
j,8094,keydown,104.0,26.0
w,8167,keydown,-48.0,48.0
e,8170,keydown,170.0,158.0
k,8384,keydown,-2531.0,48.0
j,8463,keydown,-3123.0,197.0
s,8598,keydown,-681.0,75.0
d,8683,keydown,-3374.0,127.0
k,8801,keydown,-1177.0,78.0
w,9103,keydown,-3437.0,117.0
e,9136,keydown,-1575.0,150.0
f,9343,keydown,-3051.0,90.0
i,9405,keydown,-4672.0,59.0
i,9557,keydown,-4580.0,234.0
o,9667,keydown,-2267.0,295.0
s,9931,keydown,-4887.0,14.0
i,9974,keydown,-4722.0,5.0
d,9994,keydown,-3509.0,33.0
 ,10122,keydown,-4031.0,282.0
s,10227,keydown,-6149.0,354.0
a,10229,keydown,-3848.0,427.0
d,10402,keydown,-6037.0,131.0
o,10518,keydown,-7271.0,8.0
s,10570,keydown,-7237.0,184.0
a,10571,keydown,-5283.0,75.0
i,10686,keydown,-7352.0,249.0
f,10825,keydown,-5533.0,18.0
e,11021,keydown,-8481.0,354.0
w,11051,keydown,-8927.0,71.0
i,11084,keydown,,
o,11294,keydown,,
f,11319,keydown,,
o,11499,keydown,,
 ,11553,keydown,,
s,11868,keydown,,
i,11970,keydown,,
d,12043,keydown,,
o,12104,keydown,,
i,12389,keydown,,
e,12472,keydown,,
w,12501,keydown,,
u,12764,keydown,,
f,12990,keydown,,
i,13018,keydown,,
d,13174,keydown,,
i,13540,keydown,,
d,13612,keydown,,
o,13685,keydown,,
e,13871,keydown,,
w,13874,keydown,,
 ,13992,keydown,,
i,14273,keydown,,
f,14305,keydown,,
o,14426,keydown,,
s,14467,keydown,,
d,14700,keydown,,
i,14792,keydown,,
o,14946,keydown,,
w,14966,keydown,,
e,15046,keydown,,
f,15152,keydown,,
i,15210,keydown,,
o,15370,keydown,,
s,15702,keydown,,
d,15944,keydown,,
a,16033,keydown,,
