key,time,event,hold_time,flight_time
g,20500,keydown,266.0,
e,20626,keydown,233.0,
t,20984,keydown,-329.0,329.0
j,21267,keydown,233.0,470.0
j,21798,keydown,139.0,157.0
s,21798,keydown,-421.0,125.0
k,21939,keydown,376.0,328.0
d,21985,keydown,-1656.0,187.0
 ,22392,keydown,172.0,155.0
d,22656,keydown,-1032.0,142.0
w,22859,keydown,-3611.0,142.0
j,23125,keydown,-3860.0,704.0
e,23220,keydown,-4734.0,875.0
h,23579,keydown,-6110.0,1095.0
f,23610,keydown,-7704.0,1564.0
e,23798,keydown,-7736.0,688.0
r,23953,keydown,-7046.0,422.0
g,24047,keydown,234.0,546.0
w,24267,keydown,-10688.0,109.0
e,24470,keydown,-8046.0,63.0
r,25031,keydown,-8670.0,374.0
k,26032,keydown,-8969.0,188.0
j,26203,keydown,1985.0,218.0
j,26985,keydown,1390.0,813.0
j,27517,keydown,1359.0,844.0
j,27547,keydown,1328.0,875.0
j,27579,keydown,1296.0,907.0
j,29173,keydown,1234.0,969.0
k,29344,keydown,1188.0,1015.0
 ,30267,keydown,1093.0,1110.0
d,30782,keydown,1031.0,1172.0
h,30844,keydown,1000.0,1203.0
s,30906,keydown,953.0,1250.0
a,30968,keydown,921.0,1282.0
h,31188,keydown,829.0,1374.0
e,31547,keydown,687.0,1516.0
f,31719,keydown,656.0,1547.0
h,31844,keydown,593.0,1610.0
d,32141,keydown,501.0,1702.0
s,32203,keydown,468.0,1735.0
h,32468,keydown,422.0,1781.0
j,32750,keydown,359.0,1844.0
r,33094,keydown,234.0,1969.0
n,33624,keydown,156.0,2047.0
n,34141,keydown,125.0,2078.0
n,34188,keydown,93.0,2110.0
n,34219,keydown,62.0,2141.0
n,34250,keydown,31.0,2172.0
n,34281,keydown,-12686.0,875.0
n,34313,keydown,-14656.0,203.0
n,34344,keydown,-14921.0,281.0
n,34375,keydown,-14469.0,312.0
n,34421,keydown,-15062.0,0.0
n,34453,keydown,-15327.0,78.0
n,34484,keydown,-16031.0,203.0
n,34516,keydown,-13748.0,0.0
n,34547,keydown,-15468.0,31.0
n,34578,keydown,-16500.0,78.0
n,34609,keydown,-14311.0,218.0
n,34656,keydown,-15937.0,218.0
n,34688,keydown,-17390.0,46.0
n,34719,keydown,-17015.0,156.0
n,34750,keydown,-16422.0,31.0
n,34780,keydown,-16765.0,203.0
n,34812,keydown,-16952.0,203.0
n,34844,keydown,-16953.0,94.0
n,34874,keydown,-15858.0,0.0
n,34922,keydown,-17686.0,78.0
n,34953,keydown,-17531.0,110.0
n,34984,keydown,-18515.0,125.0
n,35016,keydown,-16249.0,0.0
n,35047,keydown,-18266.0,188.0
n,35078,keydown,-19735.0,344.0
n,35108,keydown,-16672.0,109.0
n,35141,keydown,-19375.0,156.0
n,35187,keydown,-18780.0,93.0
n,35218,keydown,-20235.0,16.0
n,35250,keydown,-20000.0,156.0
n,35280,keydown,-19515.0,250.0
n,35312,keydown,-19453.0,312.0
n,35344,keydown,-20390.0,62.0
n,35375,keydown,-19998.0,249.0
n,35406,keydown,-19828.0,266.0
n,35453,keydown,-18358.0,63.0
n,35484,keydown,,
n,35516,keydown,,
n,35547,keydown,,
n,35578,keydown,,
h,36484,keydown,,
d,36891,keydown,,
s,36969,keydown,,
 ,37000,keydown,,
d,37297,keydown,,
s,37375,keydown,,
j,37500,keydown,,
f,37546,keydown,,
d,37703,keydown,,
j,37969,keydown,,
f,38109,keydown,,
k,38109,keydown,,
e,38249,keydown,,
j,38484,keydown,,
k,38594,keydown,,
d,39000,keydown,,
s,39000,keydown,,
 ,39484,keydown,,
f,39656,keydown,,
s,39734,keydown,,
d,39766,keydown,,
j,39984,keydown,,
f,40047,keydown,,
k,40438,keydown,,
e,40594,keydown,,
r,40797,keydown,,
j,40844,keydown,,
k,40952,keydown,,
e,41094,keydown,,
j,41469,keydown,,
s,41563,keydown,,
k,41625,keydown,,
j,41859,keydown,,
s,42046,keydown,,
d,42063,keydown,,
f,42156,keydown,,
