key,time,event,hold_time,flight_time
j,20943,keydown,184.0,
s,20958,keydown,277.0,
a,21170,keydown,194.0,35.0
k,21270,keydown,-623.0,394.0
d,21664,keydown,184.0,212.0
s,21858,keydown,-1440.0,80.0
j,21956,keydown,126.0,303.0
k,22162,keydown,-2449.0,313.0
e,22303,keydown,-2393.0,394.0
j,22567,keydown,230.0,179.0
k,22805,keydown,-3415.0,43.0
 ,23245,keydown,-3852.0,88.0
d,23575,keydown,-4251.0,43.0
j,23644,keydown,-4065.0,194.0
s,23684,keydown,-2544.0,305.0
a,23765,keydown,-1784.0,130.0
k,23816,keydown,-5297.0,389.0
j,24150,keydown,-342.0,342.0
f,24151,keydown,-771.0,520.0
e,24331,keydown,-6844.0,241.0
j,24542,keydown,-7503.0,215.0
f,24755,keydown,-7536.0,166.0
s,25087,keydown,-4925.0,108.0
d,25193,keydown,-7090.0,177.0
j,25378,keydown,-9070.0,54.0
k,25529,keydown,-3384.0,200.0
 ,25915,keydown,-3762.0,35.0
f,26165,keydown,-9900.0,270.0
r,26278,keydown,-7117.0,352.0
j,26424,keydown,-10446.0,427.0
e,26426,keydown,-10252.0,570.0
i,26740,keydown,-11805.0,291.0
u,26930,keydown,-11962.0,37.0
s,27407,keydown,-12407.0,7.0
u,27409,keydown,-9274.0,128.0
i,27587,keydown,-7283.0,129.0
d,27622,keydown,-11480.0,279.0
j,27971,keydown,-12702.0,480.0
 ,28403,keydown,-10730.0,106.0
d,28643,keydown,-8682.0,190.0
s,28738,keydown,-8960.0,217.0
j,28815,keydown,-11588.0,21.0
k,29000,keydown,-1672.0,356.0
j,29212,keydown,-2291.0,12.0
f,29306,keydown,-16215.0,111.0
e,29577,keydown,-15331.0,371.0
u,30006,keydown,-16875.0,363.0
i,30040,keydown,-11618.0,58.0
s,30305,keydown,-18551.0,462.0
u,30451,keydown,-17904.0,479.0
d,30480,keydown,-18678.0,481.0
a,30560,keydown,-19066.0,118.0
i,30578,keydown,-18778.0,167.0
s,30615,keydown,-16018.0,40.0
j,31027,keydown,-20174.0,91.0
f,31498,keydown,-19937.0,98.0
j,31573,keydown,-14912.0,201.0
k,31716,keydown,-19448.0,68.0
d,31951,keydown,158.0,252.0
a,32095,keydown,-20867.0,38.0
s,32107,keydown,-21501.0,145.0
 ,32509,keydown,-21602.0,40.0
j,32932,keydown,-8915.0,34.0
k,33165,keydown,-19722.0,17.0
s,33197,keydown,-17727.0,175.0
a,33250,keydown,-21870.0,271.0
j,33534,keydown,-23752.0,228.0
f,33655,keydown,-24055.0,56.0
r,33817,keydown,-21265.0,271.0
u,33965,keydown,-19234.0,393.0
e,33967,keydown,-23451.0,563.0
i,33996,keydown,,
s,34506,keydown,,
d,34601,keydown,,
h,34815,keydown,,
j,34896,keydown,,
f,35111,keydown,,
i,35455,keydown,,
u,35749,keydown,,
i,35776,keydown,,
f,35969,keydown,,
e,36120,keydown,,
h,36624,keydown,,
s,36751,keydown,,
j,36797,keydown,,
f,37065,keydown,,
h,37243,keydown,,
j,37342,keydown,,
f,37648,keydown,,
e,37818,keydown,,
d,38143,keydown,,
s,38236,keydown,,
a,38247,keydown,,
i,38434,keydown,,
i,38651,keydown,,
 ,39220,keydown,,
s,39786,keydown,,
d,39803,keydown,,
j,39805,keydown,,
a,39885,keydown,,
j,40193,keydown,,
k,40242,keydown,,
f,40399,keydown,,
e,40492,keydown,,
j,40724,keydown,,
k,40957,keydown,,
s,41002,keydown,,
d,41141,keydown,,
j,41301,keydown,,
a,41400,keydown,,
k,41401,keydown,,
i,41728,keydown,,
e,41935,keydown,,
u,42050,keydown,,
f,42134,keydown,,
i,42150,keydown,,
n,42570,keydown,,
d,42766,keydown,,
a,42873,keydown,,
s,42885,keydown,,
 ,43111,keydown,,
s,43334,keydown,,
d,43501,keydown,,
s,43698,keydown,,
h,43867,keydown,,
j,43971,keydown,,
f,44103,keydown,,
r,44261,keydown,,
e,44357,keydown,,
j,44704,keydown,,
d,44917,keydown,,
s,45121,keydown,,
a,45124,keydown,,
j,45182,keydown,,
k,45206,keydown,,
f,45646,keydown,,
r,45768,keydown,,
e,45938,keydown,,
i,45973,keydown,,
