key,time,event,hold_time,flight_time
j,11741,keydown,,
s,11761,keydown,,
k,11898,keydown,,
j,12167,keydown,,
d,12201,keydown,,
e,12361,keydown,,
w,12429,keydown,,
 ,12528,keydown,,
f,12718,keydown,,
w,12932,keydown,,
j,12946,keydown,,
k,13074,keydown,,
j,13302,keydown,,
s,13395,keydown,,
 ,13672,keydown,,
f,13700,keydown,,
e,13896,keydown,,
j,14057,keydown,,
f,14086,keydown,,
k,14298,keydown,,
s,14322,keydown,,
j,14444,keydown,,
d,14712,keydown,,
e,14786,keydown,,
k,14873,keydown,,
w,14896,keydown,,
 ,15272,keydown,,
d,15410,keydown,,
s,15497,keydown,,
f,15599,keydown,,
e,15835,keydown,,
o,15947,keydown,,
i,16102,keydown,,
f,16161,keydown,,
s,16342,keydown,,
d,16365,keydown,,
 ,16623,keydown,,
f,16809,keydown,,
d,16974,keydown,,
s,16995,keydown,,
k,17061,keydown,,
f,17215,keydown,,
k,17277,keydown,,
e,17506,keydown,,
r,17596,keydown,,
j,17716,keydown,,
f,17736,keydown,,
e,17938,keydown,,
i,17974,keydown,,
j,18135,keydown,,
s,18441,keydown,,
 ,18608,keydown,,
d,18729,keydown,,
f,18807,keydown,,
s,18937,keydown,,
j,19003,keydown,,
d,19086,keydown,,
f,19158,keydown,,
k,19160,keydown,,
j,19416,keydown,,
e,19519,keydown,,
i,20087,keydown,,
o,20222,keydown,,
d,20363,keydown,,
i,20483,keydown,,
o,20634,keydown,,
d,20748,keydown,,
e,20847,keydown,,
w,20901,keydown,,
 ,21140,keydown,,
f,21427,keydown,,
s,21483,keydown,,
d,21645,keydown,,
f,21690,keydown,,
j,21716,keydown,,
k,21898,keydown,,
e,22075,keydown,,
j,22267,keydown,,
f,22540,keydown,,
d,22637,keydown,,
s,22655,keydown,,
o,22788,keydown,,
f,22906,keydown,,
i,22938,keydown,,
o,23089,keydown,,
s,23131,keydown,,
