key,time,event
u,27065,keydown
u,27237,keyup
e,27253,keydown
w,27378,keydown
e,27471,keyup
u,27503,keydown
i,27612,keydown
w,27659,keyup
u,27674,keyup
i,27784,keyup
r,28129,keydown
u,28221,keydown
w,28331,keydown
r,28378,keyup
u,28393,keyup
u,28503,keydown
e,28503,keydown
w,28534,keyup
i,28612,keydown
u,28690,keyup
i,28768,keyup
e,28799,keyup
 ,28893,keydown
 ,29049,keyup
u,29315,keydown
w,29315,keydown
i,29424,keydown
u,29503,keyup
w,29549,keyup
i,29565,keyup
d,29690,keydown
n,29690,keydown
s,29862,keydown
n,29862,keyup
j,29924,keydown
f,30096,keydown
h,30096,keydown
d,30112,keyup
j,30128,keyup
s,30143,keyup
h,30190,keyup
s,30253,keydown
h,30331,keydown
s,30331,keyup
h,30487,keyup
e,30581,keydown
u,30721,keydown
f,30721,keyup
f,30846,keydown
e,30878,keyup
u,31034,keyup
i,31081,keydown
f,31174,keyup
i,31315,keyup
d,31471,keydown
s,31471,keydown
d,31737,keyup
s,31799,keyup
s,31940,keydown
 ,32049,keydown
f,32112,keydown
s,32159,keyup
 ,32206,keyup
s,32254,keydown
d,32254,keydown
f,32254,keyup
f,32378,keydown
d,32456,keyup
s,32471,keyup
s,32565,keydown
f,32581,keyup
d,32581,keydown
j,32659,keydown
h,32878,keydown
s,32909,keyup
d,32909,keyup
j,32909,keyup
g,32940,keydown
h,33034,keyup
r,33221,keydown
e,33331,keydown
g,33362,keyup
r,33409,keyup
i,33456,keydown
e,33565,keyup
u,33596,keydown
i,33768,keyup
u,33846,keyup
s,33862,keydown
d,33987,keydown
s,34065,keyup
d,34190,keyup
s,34190,keydown
s,34659,keyup
j,34674,keydown
d,34690,keydown
f,34690,keydown
s,34862,keydown
f,34893,keyup
j,34909,keyup
k,35003,keydown
s,35081,keyup
d,35096,keyup
k,35174,keyup
d,35299,keydown
 ,35362,keydown
f,35456,keydown
d,35487,keyup
 ,35534,keyup
d,35565,keydown
f,35596,keyup
s,35612,keydown
f,35721,keydown
s,35753,keyup
d,35815,keyup
f,35924,keyup
j,35956,keydown
f,36018,keydown
e,36268,keydown
f,36362,keyup
j,36378,keyup
u,36503,keydown
u,36565,keyup
i,36674,keydown
u,36737,keydown
e,36816,keyup
u,36940,keyup
i,37003,keyup
e,37034,keydown
j,37221,keydown
e,37331,keyup
f,37362,keydown
j,37424,keyup
k,37565,keydown
f,37628,keyup
j,37706,keydown
k,37721,keyup
d,37878,keydown
s,37956,keydown
j,37971,keyup
j,38081,keydown
s,38128,keyup
f,38128,keydown
d,38221,keyup
i,38315,keydown
j,38393,keyup
e,38424,keydown
f,38487,keyup
u,38659,keydown
i,38690,keyup
f,38706,keydown
e,38846,keyup
e,38925,keydown
r,38925,keydown
f,38956,keyup
r,39159,keyup
f,39221,keydown
e,39253,keyup
u,39331,keyup
f,39393,keyup
e,39534,keydown
g,39659,keydown
e,39721,keyup
h,39831,keydown
g,39862,keyup
d,40049,keydown
h,40081,keyup
s,40143,keydown
h,40331,keydown
j,40424,keydown
d,40440,keyup
s,40456,keyup
h,40487,keyup
j,40581,keyup
