key,time,event
CapsLock,16189,keydown
CapsLock,16328,keyup
j,16594,keydown
j,16751,keyup
d,16781,keydown
s,16953,keydown
j,17032,keydown
d,17078,keyup
k,17125,keydown
j,17204,keyup
s,17219,keyup
k,17297,keyup
j,17407,keydown
e,17469,keydown
k,17579,keydown
j,17642,keyup
e,17672,keyup
k,17688,keyup
j,17782,keydown
e,17797,keydown
r,17923,keydown
e,17970,keyup
j,17985,keyup
r,18110,keyup
i,18220,keydown
i,18375,keyup
u,18454,keydown
f,18563,keydown
u,18611,keyup
r,18751,keydown
e,18875,keydown
f,18906,keyup
 ,18922,keydown
r,19047,keyup
e,19078,keyup
 ,19078,keyup
f,19110,keydown
e,19266,keydown
j,19328,keydown
f,19344,keyup
k,19485,keydown
g,19547,keydown
j,19578,keyup
e,19594,keyup
k,19703,keyup
r,19766,keydown
j,19781,keydown
g,19828,keyup
r,19953,keyup
j,19953,keyup
k,20000,keydown
f,20078,keydown
d,20141,keydown
j,20156,keydown
s,20156,keydown
f,20235,keyup
k,20328,keyup
j,20328,keyup
s,20375,keyup
d,20406,keyup
g,20438,keydown
 ,20547,keydown
s,20625,keydown
g,20625,keyup
d,20625,keydown
 ,20703,keyup
g,20766,keydown
s,20813,keyup
d,20844,keyup
d,20953,keydown
j,20969,keydown
s,20969,keydown
g,21016,keyup
k,21078,keydown
g,21094,keydown
d,21141,keyup
s,21141,keyup
j,21172,keyup
k,21297,keyup
j,21313,keydown
r,21328,keydown
e,21406,keydown
g,21438,keyup
r,21516,keyup
k,21516,keydown
e,21594,keyup
g,21719,keydown
j,21719,keyup
k,21766,keyup
 ,21938,keydown
e,22078,keydown
r,22078,keydown
g,22110,keyup
 ,22172,keyup
e,22266,keyup
r,22281,keyup
h,22344,keydown
h,22438,keyup
j,22469,keydown
h,22531,keydown
k,22672,keydown
j,22703,keyup
h,22703,keyup
k,22813,keyup
j,22860,keydown
f,22938,keydown
j,23078,keyup
i,23313,keydown
e,23313,keydown
r,23313,keydown
u,23328,keydown
f,23344,keyup
e,23610,keyup
i,23656,keyup
u,23672,keyup
g,23719,keydown
r,23719,keyup
e,23953,keydown
g,23969,keyup
r,24078,keydown
j,24172,keydown
e,24203,keyup
r,24235,keyup
k,24297,keydown
j,24344,keyup
g,24391,keydown
k,24406,keyup
r,24438,keydown
e,24500,keydown
 ,24531,keydown
g,24531,keyup
g,24656,keydown
e,24688,keyup
r,24688,keyup
 ,24719,keyup
r,24844,keydown
e,24906,keydown
j,24922,keydown
g,24938,keyup
g,25078,keydown
e,25078,keyup
r,25094,keyup
k,25110,keydown
j,25156,keyup
g,25250,keyup
k,25422,keyup
g,25422,keydown
d,25547,keydown
g,25563,keyup
 ,25641,keydown
 ,25797,keyup
g,25813,keydown
d,25875,keyup
d,25985,keydown
j,26000,keydown
s,26000,keydown
g,26063,keyup
k,26156,keydown
s,26203,keyup
j,26250,keyup
f,26281,keydown
d,26297,keyup
j,26438,keydown
k,26453,keyup
e,26531,keydown
f,26563,keyup
r,26781,keydown
e,26860,keyup
g,26860,keydown
j,26891,keyup
r,26906,keyup
r,27031,keydown
g,27047,keyup
i,27094,keydown
e,27110,keydown
r,27188,keyup
u,27344,keydown
e,27344,keyup
h,27469,keydown
i,27500,keyup
u,27547,keyup
h,27594,keyup
f,27813,keydown
s,27938,keydown
j,27938,keydown
d,27953,keydown
f,27999,keyup
k,28047,keydown
f,28110,keydown
s,28125,keyup
j,28141,keyup
d,28156,keyup
j,28219,keydown
k,28281,keyup
e,28453,keydown
r,28453,keydown
f,28485,keyup
j,28500,keyup
i,28531,keydown
u,28672,keydown
g,28672,keydown
i,28688,keyup
e,28703,keyup
r,28703,keyup
e,28875,keydown
r,28875,keydown
g,28906,keyup
u,28906,keyup
i,29000,keydown
g,29156,keydown
u,29156,keydown
r,29188,keyup
e,29203,keyup
u,29219,keyup
i,29250,keyup
d,29391,keydown
g,29391,keyup
f,29531,keydown
f,29625,keyup
d,29656,keyup
 ,29938,keydown
 ,30094,keyup
f,30156,keydown
d,30188,keydown
s,30250,keydown
j,30344,keydown
f,30375,keyup
s,30469,keyup
k,30469,keydown
j,30531,keyup
g,30625,keydown
k,30656,keyup
d,30672,keyup
j,30766,keydown
d,30781,keydown
s,30781,keydown
g,30860,keyup
k,30875,keydown
j,31000,keyup
s,31000,keyup
d,31016,keyup
g,31016,keydown
k,31063,keyup
e,31188,keydown
r,31266,keydown
g,31297,keyup
e,31438,keyup
r,31438,keyup
