key,time,event
s,17168,keydown
k,17293,keydown
d,17386,keydown
j,17496,keydown
s,17543,keyup
k,17636,keyup
e,17699,keydown
w,17699,keydown
d,17714,keyup
j,17730,keyup
u,17871,keydown
f,17886,keydown
w,17950,keyup
e,17964,keyup
i,18074,keydown
u,18074,keyup
e,18090,keydown
f,18200,keyup
u,18200,keydown
e,18308,keyup
f,18308,keydown
i,18325,keyup
u,18355,keyup
s,18464,keydown
d,18527,keydown
j,18544,keydown
f,18544,keyup
k,18669,keydown
j,18715,keyup
f,18746,keydown
d,18761,keyup
s,18777,keyup
j,18887,keydown
k,18933,keyup
e,19027,keydown
f,19043,keyup
j,19105,keyup
e,19230,keyup
 ,23512,keydown
 ,23683,keyup
f,23777,keydown
j,23918,keydown
s,23949,keydown
d,23965,keydown
k,23997,keydown
f,24043,keyup
j,24122,keyup
f,24169,keydown
k,24199,keyup
d,24247,keyup
j,24247,keydown
s,24262,keyup
k,24419,keydown
e,24575,keydown
r,24575,keydown
f,24606,keyup
j,24606,keyup
k,24637,keyup
j,24652,keydown
r,24700,keyup
e,24730,keyup
f,24746,keydown
d,24872,keydown
s,24872,keydown
j,24902,keyup
f,24918,keyup
 ,25044,keydown
s,25106,keyup
 ,25183,keyup
g,25278,keydown
d,25309,keyup
i,25402,keydown
i,25589,keyup
r,25683,keydown
e,25683,keydown
g,25714,keyup
i,25730,keydown
o,25840,keydown
r,25887,keyup
e,25902,keyup
i,25918,keyup
s,26027,keydown
d,26027,keydown
o,26043,keyup
i,26043,keydown
i,26230,keyup
g,26246,keydown
o,26261,keydown
s,26293,keyup
d,26293,keyup
i,26402,keydown
d,26464,keydown
s,26464,keydown
o,26527,keyup
g,26543,keyup
f,26699,keydown
s,26762,keyup
d,26778,keyup
i,26794,keyup
e,26950,keydown
o,27028,keydown
r,27044,keydown
f,27075,keyup
r,27247,keyup
i,27293,keydown
g,27293,keydown
e,27293,keyup
e,27450,keydown
g,27481,keyup
i,27481,keyup
e,27590,keyup
o,27653,keyup
f,27747,keydown
d,27793,keydown
s,27793,keydown
f,27824,keyup
f,27964,keydown
s,27981,keyup
d,27996,keyup
s,28106,keydown
d,28106,keydown
f,28106,keyup
g,28246,keydown
s,28262,keyup
d,28294,keyup
r,28449,keydown
e,28543,keydown
g,28589,keyup
r,28731,keyup
e,28746,keyup
 ,28794,keydown
 ,28950,keyup
 ,28950,keydown
d,29340,keydown
 ,29371,keyup
s,29730,keydown
f,29855,keydown
s,29919,keyup
d,29965,keyup
e,30153,keydown
r,30153,keydown
f,30184,keyup
f,30262,keydown
r,30277,keyup
f,30402,keyup
e,30700,keyup
g,30762,keydown
g,30964,keyup
