key,time,event
s,12023,keydown
a,12147,keydown
j,12178,keydown
k,12256,keydown
s,12303,keyup
j,12320,keyup
s,12336,keydown
k,12398,keyup
a,12445,keyup
s,12476,keyup
d,12506,keydown
j,12506,keydown
j,12835,keyup
d,12882,keyup
e,12897,keydown
u,13086,keydown
f,13257,keydown
e,13272,keyup
u,13350,keyup
u,13460,keydown
e,13538,keydown
w,13538,keydown
u,13585,keyup
f,13601,keyup
w,13679,keyup
e,13710,keyup
 ,13772,keydown
 ,13928,keyup
f,14038,keydown
u,14070,keydown
w,14116,keydown
e,14131,keydown
f,14210,keyup
u,14225,keyup
i,14256,keydown
e,14303,keyup
w,14319,keyup
u,14398,keydown
i,14461,keyup
s,14461,keydown
d,14475,keydown
u,14507,keyup
f,14678,keydown
d,14710,keyup
j,14725,keydown
k,14819,keydown
j,14866,keyup
s,14881,keyup
k,14975,keyup
e,15039,keydown
f,15178,keyup
u,15241,keydown
e,15351,keyup
u,15428,keyup
 ,15647,keydown
 ,15757,keyup
f,15866,keydown
u,15866,keydown
e,15991,keydown
i,15991,keydown
u,16053,keyup
f,16101,keyup
f,16148,keydown
e,16163,keyup
i,16179,keyup
d,16288,keydown
s,16303,keydown
f,16398,keyup
f,16522,keydown
j,16522,keydown
s,16538,keyup
d,16554,keyup
k,16600,keydown
j,16678,keyup
e,16788,keydown
k,16788,keyup
f,16912,keyup
u,16927,keydown
e,17052,keyup
u,17162,keyup
i,17178,keydown
i,17380,keyup
f,17647,keydown
d,17710,keydown
s,17787,keydown
d,17865,keyup
f,17927,keyup
s,17975,keyup
 ,18319,keydown
 ,18460,keyup
f,18553,keydown
u,18631,keydown
e,18771,keydown
r,18771,keydown
i,18771,keydown
f,18803,keyup
u,18803,keyup
r,18834,keyup
i,18881,keyup
e,18881,keyup
u,19005,keydown
f,19038,keydown
u,19163,keyup
d,19224,keydown
s,19241,keydown
f,19272,keyup
f,19397,keydown
s,19412,keyup
d,19444,keyup
j,19599,keydown
e,19755,keydown
r,19755,keydown
k,19755,keydown
f,19788,keyup
j,19819,keyup
r,19880,keyup
k,19927,keyup
e,19960,keyup
