key,time,event
j,5452,keydown
s,5530,keydown
j,5639,keyup
k,5655,keydown
j,5874,keydown
k,5936,keyup
s,6030,keyup
j,6077,keyup
f,6093,keydown
j,6171,keydown
r,6389,keydown
e,6405,keydown
j,6421,keyup
f,6436,keyup
r,6468,keyup
 ,6546,keydown
e,6577,keyup
 ,6718,keyup
s,6780,keydown
j,6936,keydown
s,7030,keyup
k,7093,keydown
j,7108,keyup
f,7218,keydown
k,7265,keyup
e,7358,keydown
j,7514,keydown
f,7561,keyup
j,7749,keyup
e,7858,keyup
f,7874,keydown
i,7983,keydown
r,8311,keydown
e,8311,keydown
i,8343,keyup
f,8358,keyup
i,8374,keydown
r,8374,keyup
e,8468,keyup
i,8483,keyup
f,8952,keydown
f,9125,keyup
 ,9483,keydown
 ,9639,keyup
f,9702,keydown
s,9874,keydown
d,9889,keydown
j,9921,keydown
f,9936,keyup
k,10076,keydown
j,10170,keyup
f,10202,keydown
d,10202,keyup
s,10233,keyup
k,10436,keyup
j,10436,keydown
j,10608,keyup
w,10732,keydown
f,10796,keyup
j,10921,keydown
w,11061,keyup
k,11093,keydown
j,11155,keyup
k,11296,keyup
d,11373,keydown
j,11405,keydown
s,11499,keydown
f,11546,keydown
d,11561,keyup
s,11577,keyup
k,11593,keydown
j,11624,keyup
k,11733,keyup
f,11779,keyup
s,11826,keydown
j,11905,keydown
f,11905,keydown
s,11968,keyup
j,12077,keyup
e,12249,keydown
f,12326,keyup
i,12374,keydown
e,12561,keyup
o,12655,keydown
i,12718,keyup
r,12779,keydown
o,12842,keyup
r,13045,keyup
 ,13499,keydown
 ,13671,keyup
j,13968,keydown
j,14155,keyup
k,14296,keydown
d,14327,keydown
s,14405,keydown
j,14436,keydown
k,14499,keyup
j,14624,keyup
f,14732,keydown
s,14764,keyup
d,14827,keyup
j,14843,keydown
k,15030,keydown
e,15061,keydown
j,15077,keyup
k,15202,keyup
f,15218,keyup
e,15405,keyup
j,15405,keydown
j,15483,keyup
d,15780,keydown
j,15983,keydown
j,16124,keyup
g,16218,keydown
j,16279,keydown
d,16327,keyup
j,16436,keyup
g,16468,keyup
d,16514,keydown
j,16577,keydown
f,16577,keydown
d,16655,keyup
j,16733,keyup
s,16763,keydown
f,16763,keyup
d,16780,keydown
j,16874,keydown
f,16888,keydown
s,16936,keyup
d,16951,keyup
j,17077,keyup
i,17124,keydown
e,17155,keydown
f,17264,keyup
i,17296,keyup
i,17405,keydown
e,17436,keyup
i,17577,keyup
i,17686,keydown
d,17733,keydown
s,17733,keydown
i,17843,keyup
f,17905,keydown
d,17983,keyup
j,18014,keydown
k,18046,keydown
f,18108,keyup
j,18154,keyup
f,18280,keydown
k,18296,keyup
s,18310,keyup
j,18343,keydown
e,18468,keydown
j,18530,keyup
f,18577,keyup
e,18811,keyup
 ,19201,keydown
 ,19374,keyup
f,19623,keydown
j,19671,keydown
e,19733,keydown
j,19858,keyup
e,19874,keyup
f,20202,keyup
k,20218,keydown
d,20233,keydown
s,20248,keydown
k,20421,keyup
s,20483,keyup
f,20499,keydown
d,20514,keyup
j,20561,keydown
k,20749,keydown
f,20763,keyup
s,20780,keydown
d,20843,keydown
j,20843,keyup
j,21030,keydown
k,21076,keyup
s,21093,keyup
f,21093,keydown
d,21139,keyup
e,21577,keydown
f,21717,keyup
j,21749,keyup
i,22046,keydown
e,22108,keyup
i,22279,keyup
u,22482,keydown
u,22655,keyup
i,22763,keydown
u,22827,keydown
i,22920,keyup
u,23343,keydown
u,23374,keydown
i,23405,keydown
u,23546,keyup
i,23796,keyup
