key,time,event
w,4359,keydown
e,4484,keydown
j,4625,keydown
e,4749,keyup
h,4843,keydown
e,4985,keydown
j,5031,keyup
r,5062,keydown
h,5078,keyup
e,5187,keyup
r,5234,keyup
w,5249,keyup
d,5360,keydown
h,5375,keydown
s,5438,keydown
j,5515,keydown
h,5546,keyup
f,5641,keydown
s,5704,keyup
d,5718,keyup
j,5735,keyup
h,5766,keydown
e,5874,keydown
h,5968,keyup
f,5999,keyup
 ,6124,keydown
f,6234,keydown
e,6266,keyup
 ,6297,keyup
e,6454,keydown
f,6484,keyup
r,6499,keydown
j,6516,keydown
g,6704,keydown
r,6734,keyup
e,6766,keyup
e,6781,keydown
j,6812,keyup
j,7016,keydown
e,7109,keyup
j,7125,keyup
g,7125,keyup
j,7234,keydown
d,7281,keydown
k,7374,keydown
j,7468,keyup
g,7563,keydown
j,7640,keydown
d,7656,keyup
k,7656,keyup
r,7905,keydown
e,7905,keydown
k,7920,keydown
j,7936,keyup
g,7936,keyup
j,8015,keydown
r,8077,keyup
k,8123,keyup
e,8123,keyup
j,8343,keyup
 ,8639,keydown
f,8671,keydown
 ,8795,keyup
w,8874,keydown
e,8890,keydown
f,9014,keyup
e,9170,keyup
w,9187,keyup
f,9202,keydown
s,9328,keydown
 ,9373,keydown
f,9420,keyup
f,9531,keydown
s,9578,keyup
 ,9578,keyup
w,9812,keydown
e,9953,keydown
e,10108,keyup
w,10249,keyup
j,10311,keydown
d,10311,keydown
f,10311,keyup
f,10437,keydown
j,10452,keyup
d,10452,keyup
f,10546,keyup
j,10562,keydown
r,10670,keydown
k,10670,keydown
j,10764,keyup
e,10796,keydown
j,10890,keydown
r,10999,keyup
k,11030,keyup
j,11062,keyup
e,11108,keyup
 ,11202,keydown
d,11265,keydown
 ,11421,keyup
g,11531,keydown
d,11593,keyup
j,11765,keydown
e,11873,keydown
j,12030,keyup
g,12045,keyup
k,12109,keydown
e,12186,keyup
g,12202,keydown
g,12311,keyup
j,12406,keydown
k,12421,keyup
f,12421,keydown
e,12593,keydown
j,12593,keyup
k,12624,keydown
f,12670,keyup
j,12748,keydown
g,12921,keydown
j,12968,keyup
k,12983,keyup
e,12998,keyup
e,13139,keydown
r,13156,keydown
h,13171,keydown
g,13187,keyup
j,13295,keydown
h,13374,keyup
e,13405,keyup
r,13405,keyup
j,13468,keyup
 ,13609,keydown
f,13687,keydown
 ,13812,keyup
d,13827,keydown
s,13843,keydown
f,13890,keyup
f,14030,keydown
s,14078,keyup
j,14124,keydown
d,14124,keyup
j,14264,keyup
e,14498,keydown
r,14498,keydown
k,14514,keydown
j,14514,keydown
f,14531,keyup
r,14593,keyup
j,14608,keyup
e,14656,keyup
j,14780,keydown
k,14780,keyup
s,14843,keydown
d,14873,keydown
j,14953,keyup
f,15077,keydown
s,15186,keyup
d,15186,keyup
 ,15218,keydown
f,15342,keyup
 ,15389,keyup
r,15421,keydown
j,15655,keydown
e,15687,keydown
g,15827,keydown
k,15827,keydown
j,15858,keyup
e,15858,keyup
r,15873,keyup
k,15953,keyup
j,15998,keydown
g,16015,keyup
e,16015,keydown
e,16155,keyup
j,16187,keyup
k,16280,keydown
d,16328,keydown
k,16484,keyup
s,16546,keydown
f,16592,keydown
k,16671,keydown
f,16781,keyup
k,16795,keyup
d,16843,keyup
s,16873,keyup
