key,time,event
Tab,9282,keyup
j,10401,keydown
s,10443,keydown
k,10503,keydown
a,10537,keydown
j,10566,keyup
s,10610,keyup
k,10657,keyup
a,10708,keyup
j,10795,keydown
d,10947,keydown
j,10979,keyup
k,10983,keydown
e,11164,keydown
w,11177,keydown
d,11203,keyup
k,11225,keyup
e,11298,keyup
j,11311,keydown
w,11339,keyup
j,11447,keyup
 ,11638,keydown
 ,11770,keyup
d,11982,keydown
j,12076,keydown
s,12078,keydown
j,12235,keyup
k,12237,keydown
d,12330,keyup
f,12358,keydown
s,12358,keyup
j,12366,keydown
k,12379,keyup
r,12592,keydown
j,12615,keyup
k,12729,keydown
e,12732,keydown
f,12756,keyup
r,12817,keyup
k,12857,keyup
e,12858,keyup
j,13006,keydown
k,13167,keydown
d,13170,keydown
s,13199,keydown
j,13234,keyup
k,13290,keyup
d,13361,keyup
s,13422,keyup
 ,13538,keydown
 ,13674,keyup
d,13687,keydown
s,13721,keydown
f,13772,keydown
j,13917,keydown
f,13945,keyup
k,14003,keydown
f,14066,keydown
j,14071,keyup
s,14084,keyup
d,14106,keyup
k,14184,keyup
j,14277,keydown
j,14465,keyup
e,14520,keydown
f,14538,keyup
e,14584,keyup
o,15006,keydown
i,15065,keydown
o,15081,keyup
s,15167,keydown
o,15287,keydown
i,15354,keyup
d,15393,keydown
s,15458,keyup
f,15459,keydown
d,15504,keyup
o,15511,keyup
d,15599,keydown
s,15600,keydown
f,15636,keyup
d,15704,keyup
s,15747,keyup
 ,15833,keydown
 ,15973,keyup
f,16027,keydown
s,16145,keydown
d,16165,keydown
f,16196,keyup
j,16205,keydown
f,16299,keydown
d,16313,keyup
k,16329,keydown
s,16330,keyup
j,16395,keyup
r,16525,keydown
k,16543,keyup
e,16630,keydown
f,16654,keyup
r,16731,keyup
k,16761,keydown
e,16770,keyup
j,16970,keydown
k,16993,keyup
f,17120,keydown
j,17163,keyup
k,17205,keydown
f,17257,keyup
d,17258,keydown
s,17273,keydown
f,17429,keydown
k,17445,keyup
s,17450,keyup
d,17454,keyup
e,17742,keydown
r,17753,keydown
f,17772,keyup
r,17884,keyup
e,17933,keyup
 ,17961,keydown
 ,18130,keyup
s,18139,keydown
d,18148,keydown
f,18255,keydown
j,18318,keydown
s,18346,keyup
d,18348,keyup
k,18429,keydown
f,18484,keyup
s,18501,keydown
j,18512,keyup
d,18547,keydown
f,18612,keydown
k,18634,keyup
j,18652,keydown
s,18682,keyup
d,18686,keyup
j,18796,keyup
r,18910,keydown
e,18980,keydown
f,19001,keyup
r,19118,keyup
e,19178,keyup
i,19298,keydown
o,19391,keydown
i,19488,keyup
d,19518,keydown
g,19554,keydown
o,19577,keyup
d,19650,keyup
d,19708,keydown
g,19717,keyup
s,19753,keydown
f,19849,keydown
s,19894,keyup
d,19905,keyup
f,19975,keyup
k,20011,keydown
s,20099,keydown
k,20209,keyup
r,20280,keydown
j,20480,keydown
k,20502,keydown
r,20537,keyup
s,20567,keyup
j,20602,keyup
k,20667,keyup
