key,time,event
j,6079,keydown
s,6110,keydown
k,6221,keydown
d,6235,keydown
j,6283,keyup
s,6345,keyup
d,6360,keyup
k,6392,keyup
r,6564,keydown
j,6657,keydown
e,6735,keydown
j,6830,keyup
r,6892,keyup
e,7017,keyup
i,7157,keydown
i,7299,keyup
f,7314,keydown
i,7657,keydown
d,7704,keydown
f,7767,keyup
o,7830,keydown
i,7892,keyup
d,7954,keyup
o,8001,keyup
r,8252,keydown
i,8267,keydown
e,8345,keydown
o,8360,keydown
r,8485,keyup
i,8517,keyup
e,8548,keyup
o,8548,keyup
 ,10532,keydown
 ,10690,keyup
f,10845,keydown
d,10907,keydown
s,10923,keydown
f,11001,keyup
k,11095,keydown
s,11189,keyup
d,11220,keyup
k,11220,keyup
f,11314,keydown
k,11470,keydown
e,11485,keydown
f,11580,keyup
k,11626,keyup
k,11720,keydown
e,11751,keyup
o,11829,keydown
k,11954,keyup
o,12048,keyup
 ,12220,keydown
 ,12330,keyup
s,12548,keydown
d,12767,keydown
k,12783,keydown
s,12829,keyup
f,12829,keydown
d,12876,keyup
j,13017,keydown
e,13126,keydown
k,13126,keyup
r,13142,keydown
f,13173,keyup
j,13189,keyup
k,13282,keydown
r,13329,keyup
e,13345,keyup
k,13501,keyup
f,13532,keydown
s,13579,keydown
d,13595,keydown
f,13642,keyup
f,13735,keydown
s,13783,keyup
d,13814,keyup
f,13845,keyup
