key,time,event
j,7808,keydown
s,7918,keydown
d,7949,keydown
k,7980,keydown
j,8012,keyup
k,8074,keyup
s,8137,keyup
j,8215,keydown
d,8340,keyup
f,8355,keydown
j,8418,keyup
f,8715,keyup
 ,9168,keydown
 ,9246,keyup
f,9308,keydown
e,9449,keydown
f,9465,keyup
e,9699,keyup
g,9730,keydown
j,9902,keydown
r,9918,keydown
g,9933,keyup
k,10012,keydown
j,10074,keyup
r,10105,keyup
j,10277,keydown
d,10277,keydown
k,10402,keyup
f,10465,keydown
j,10480,keyup
d,10527,keyup
i,10808,keydown
e,10824,keydown
f,10855,keyup
i,10965,keyup
e,11043,keyup
i,11074,keydown
g,11168,keydown
o,11183,keydown
i,11293,keyup
o,11355,keyup
g,11402,keyup
g,11668,keydown
d,11996,keydown
f,11996,keydown
g,12027,keyup
d,12262,keyup
g,12277,keydown
j,12340,keydown
f,12371,keyup
k,12387,keydown
j,12496,keyup
r,12558,keydown
g,12637,keyup
k,12668,keyup
j,12746,keydown
k,12871,keydown
r,12902,keyup
j,12949,keyup
k,13012,keyup
r,13105,keydown
 ,13183,keydown
 ,13355,keyup
r,13371,keyup
y,13433,keydown
r,13621,keydown
k,13683,keydown
y,13699,keyup
r,13824,keyup
k,13855,keyup
j,13996,keydown
f,14121,keydown
j,14215,keyup
e,14371,keydown
f,14465,keyup
r,14496,keydown
j,14512,keydown
k,14605,keydown
e,14698,keyup
j,14715,keyup
r,14762,keyup
g,14824,keydown
k,14824,keyup
r,15043,keydown
 ,15105,keydown
g,15121,keyup
 ,15308,keyup
g,15340,keydown
r,15371,keyup
g,15543,keyup
f,15543,keydown
j,15652,keydown
d,15777,keydown
k,15777,keydown
j,15808,keyup
k,15965,keyup
d,15980,keyup
f,15996,keyup
g,16012,keydown
j,16042,keydown
r,16199,keydown
j,16245,keyup
g,16261,keyup
i,16511,keydown
r,16511,keyup
i,16776,keyup
d,16995,keydown
f,17012,keydown
u,17168,keydown
d,17230,keyup
g,17262,keydown
i,17307,keydown
f,17339,keyup
u,17433,keyup
g,17465,keyup
i,17479,keyup
r,17496,keydown
r,17699,keyup
 ,17699,keydown
 ,17902,keyup
d,18042,keydown
f,18058,keydown
j,18167,keydown
g,18292,keydown
k,18292,keydown
d,18308,keyup
f,18323,keyup
j,18371,keyup
k,18526,keyup
r,18543,keydown
j,18543,keydown
g,18652,keyup
j,18746,keyup
g,18762,keydown
k,18777,keydown
r,18793,keyup
j,18902,keydown
k,18964,keyup
r,19011,keydown
t,19011,keydown
g,19090,keyup
j,19090,keyup
t,19246,keyup
r,19262,keyup
u,19262,keydown
i,19371,keydown
u,19496,keyup
i,19542,keyup
j,20277,keydown
j,20418,keyup
k,20433,keydown
k,20620,keyup
 ,20761,keydown
 ,20918,keyup
f,20949,keydown
e,21137,keydown
f,21245,keyup
j,21276,keydown
e,21480,keyup
j,21495,keyup
g,21573,keydown
j,21682,keydown
k,21793,keydown
g,21855,keyup
j,21918,keyup
k,21949,keyup
g,22074,keydown
j,22183,keydown
f,22292,keydown
k,22323,keydown
g,22323,keyup
j,22386,keyup
g,22448,keydown
k,22448,keyup
f,22511,keyup
r,22652,keydown
i,22746,keydown
u,22777,keydown
g,22777,keyup
i,22918,keyup
r,22918,keyup
u,22933,keyup
 ,23168,keydown
 ,23293,keyup
f,23324,keydown
j,23573,keydown
j,23808,keyup
s,23808,keydown
d,23854,keydown
f,23902,keyup
k,24012,keydown
s,24058,keyup
f,24074,keydown
d,24090,keyup
k,24183,keyup
e,24277,keydown
f,24371,keyup
i,24418,keydown
u,24542,keydown
e,24558,keyup
g,24682,keydown
i,24682,keyup
u,24745,keyup
r,24840,keydown
e,24871,keydown
g,24902,keyup
r,25027,keyup
e,25058,keyup
n,25073,keydown
n,25229,keyup
d,25449,keydown
s,25729,keydown
d,25980,keyup
s,26090,keyup
n,26182,keydown
n,26371,keyup
m,26433,keydown
f,26465,keydown
s,26511,keydown
f,26542,keyup
m,26637,keyup
f,26776,keydown
s,26776,keyup
j,26917,keydown
f,26964,keyup
s,27043,keydown
h,27121,keydown
j,27152,keyup
s,27168,keyup
h,27324,keyup
e,27354,keydown
e,27621,keyup
 ,27762,keydown
 ,27932,keyup
r,28293,keydown
e,28308,keydown
i,28324,keydown
i,28480,keyup
u,28527,keydown
r,28590,keyup
e,28604,keyup
i,28636,keydown
u,28729,keyup
i,28824,keyup
f,28840,keydown
e,29074,keydown
f,29168,keyup
r,29323,keydown
e,29465,keyup
r,29574,keyup
g,29652,keydown
j,29730,keydown
k,29839,keydown
j,29901,keyup
g,29965,keyup
e,29979,keydown
r,29979,keydown
k,30073,keyup
e,30214,keyup
r,30230,keyup
i,30402,keydown
u,30417,keydown
f,30417,keydown
s,30543,keydown
u,30558,keyup
f,30604,keyup
d,30637,keydown
i,30667,keyup
u,30714,keydown
i,30808,keydown
s,30855,keyup
d,30871,keyup
f,30917,keydown
u,30917,keyup
i,30964,keyup
e,31090,keydown
h,31137,keydown
f,31168,keyup
h,31323,keyup
e,31387,keyup
n,31590,keydown
n,31762,keyup
g,31887,keydown
e,32073,keydown
j,32104,keydown
g,32136,keyup
j,32262,keyup
e,32402,keyup
