key,time,event
j,4190,keydown
j,4268,keyup
s,4409,keydown
d,4425,keydown
j,4440,keydown
j,4582,keyup
s,4597,keyup
d,4612,keyup
f,4612,keydown
k,4691,keydown
j,4737,keydown
e,4785,keydown
k,4847,keyup
f,4879,keyup
j,4893,keyup
f,5003,keydown
e,5065,keyup
i,5113,keydown
f,5221,keyup
r,5221,keydown
e,5237,keydown
i,5315,keyup
i,5410,keydown
r,5456,keyup
r,5504,keydown
o,5519,keydown
e,5566,keyup
g,5597,keydown
r,5597,keyup
i,5613,keyup
o,5660,keyup
r,5785,keydown
g,5816,keyup
e,5816,keydown
 ,5847,keydown
g,5988,keydown
 ,5988,keyup
r,6004,keyup
e,6004,keyup
r,6128,keydown
g,6160,keyup
e,6191,keydown
i,6221,keydown
g,6284,keydown
r,6300,keyup
e,6315,keyup
o,6346,keydown
i,6378,keyup
g,6457,keyup
o,6535,keyup
i,6582,keydown
d,6643,keydown
s,6738,keydown
o,6785,keydown
i,6800,keyup
i,6940,keydown
d,6940,keyup
o,7019,keyup
o,7206,keydown
g,7253,keydown
o,7332,keyup
i,7332,keyup
r,7346,keydown
s,7378,keyup
g,7487,keyup
 ,7518,keydown
 ,7674,keyup
g,7706,keydown
r,7754,keyup
s,7800,keydown
g,8050,keyup
i,8222,keydown
s,8331,keyup
o,8457,keydown
o,8581,keyup
i,8613,keyup
s,8629,keydown
f,8815,keydown
i,8815,keydown
s,8879,keyup
o,8925,keydown
i,8957,keyup
i,9066,keydown
s,9096,keydown
o,9221,keyup
i,9253,keyup
f,9316,keyup
 ,9393,keydown
s,9424,keyup
g,9487,keydown
 ,9722,keyup
g,9722,keyup
r,9737,keydown
j,9910,keydown
e,9925,keydown
j,10081,keyup
g,10112,keydown
i,10128,keydown
r,10128,keyup
e,10174,keyup
j,10237,keydown
i,10237,keyup
e,10332,keydown
r,10332,keydown
g,10362,keyup
j,10409,keyup
i,10504,keydown
e,10504,keyup
r,10519,keyup
i,10596,keyup
d,10691,keydown
s,10737,keydown
i,10815,keydown
f,10879,keydown
s,10893,keyup
d,10924,keyup
o,10987,keydown
i,11049,keyup
o,11065,keyup
i,11143,keydown
e,11175,keydown
o,11253,keydown
f,11253,keyup
e,11378,keyup
f,11378,keydown
i,11378,keyup
o,11424,keyup
i,11518,keydown
f,11550,keyup
o,11643,keydown
g,11690,keydown
i,11753,keyup
o,11815,keyup
e,11831,keydown
g,11910,keyup
e,12003,keyup
 ,12050,keydown
 ,12190,keyup
f,12471,keydown
e,12737,keydown
f,12799,keyup
r,12815,keydown
e,12957,keyup
f,12957,keydown
r,12957,keyup
i,13004,keydown
f,13034,keyup
g,13143,keydown
i,13237,keyup
o,13269,keydown
o,13378,keyup
e,13409,keydown
g,13424,keyup
i,13471,keydown
o,13643,keydown
e,13643,keyup
i,13643,keyup
o,13831,keyup
d,13846,keydown
s,13971,keydown
f,14081,keydown
d,14112,keyup
s,14159,keyup
j,14238,keydown
e,14378,keydown
k,14394,keydown
j,14440,keyup
f,14503,keyup
e,14596,keyup
k,14596,keyup
