key,time,event
h,7442,keydown
h,7540,keyup
e,7617,keydown
e,7726,keyup
l,7845,keydown
l,7924,keyup
l,7991,keydown
l,8123,keyup
o,8197,keydown
o,8294,keyup
 ,8444,keydown
 ,8555,keyup
h,8727,keydown
h,8820,keyup
e,8927,keydown
e,9045,keyup
l,9145,keydown
l,9230,keyup
l,9309,keydown
l,9402,keyup
o,9510,keydown
o,9615,keyup
 ,9740,keydown
 ,9846,keyup
h,10041,keydown
h,10159,keyup
e,10248,keydown
e,10363,keyup
l,10438,keydown
l,10516,keyup
l,10580,keydown
l,10734,keyup
o,10772,keydown
o,10865,keyup
 ,11021,keydown
 ,11124,keyup
h,11280,keydown
h,11381,keyup
e,11494,keydown
e,11616,keyup
l,11677,keydown
l,11765,keyup
l,11831,keydown
l,11948,keyup
o,12031,keydown
o,12115,keyup
 ,12249,keydown
 ,12364,keyup
h,12501,keydown
h,12593,keyup
e,12669,keydown
e,12794,keyup
l,12894,keydown
l,12979,keyup
l,13048,keydown
l,13165,keyup
l,13472,keydown
l,13600,keyup
o,13703,keydown
o,13794,keyup
 ,13969,keydown
 ,14064,keyup
h,14607,keydown
h,14699,keyup
e,14774,keydown
e,14915,keyup
l,15009,keydown
l,15126,keyup
l,15157,keydown
l,15261,keyup
l,15276,keydown
l,15404,keyup
l,15923,keydown
l,16020,keyup
o,16147,keydown
o,16231,keyup
 ,16411,keydown
 ,16508,keyup
s,17008,keydown
j,17099,keydown
k,17202,keydown
a,17203,keydown
j,17248,keyup
k,17337,keyup
a,17409,keyup
s,17441,keyup
j,17488,keydown
d,17500,keydown
j,17611,keyup
d,17691,keyup
w,17793,keydown
e,17794,keydown
i,17889,keydown
e,17932,keyup
w,17988,keyup
o,17995,keydown
i,18051,keyup
o,18065,keyup
d,18328,keydown
s,18383,keydown
a,18437,keydown
d,18439,keyup
k,18484,keydown
j,18498,keydown
a,18561,keyup
s,18618,keyup
j,18618,keyup
k,18631,keyup
h,18875,keydown
h,18980,keyup
e,19052,keydown
e,19152,keyup
l,19247,keydown
l,19340,keyup
l,19415,keydown
l,19527,keyup
o,19639,keydown
o,19736,keyup
 ,19862,keydown
 ,19978,keyup
h,20223,keydown
h,20369,keyup
e,20450,keydown
e,20551,keyup
l,20622,keydown
l,20694,keyup
l,20768,keydown
l,20879,keyup
o,20980,keydown
o,21059,keyup
 ,21201,keydown
 ,21316,keyup
s,21468,keydown
j,21533,keydown
a,21578,keydown
j,21666,keyup
a,21775,keyup
s,21776,keyup
d,21823,keydown
j,21965,keydown
d,21973,keyup
s,21995,keydown
s,22109,keyup
j,22131,keyup
k,22132,keydown
d,22179,keydown
k,22294,keyup
e,22416,keydown
d,22434,keyup
w,22506,keydown
i,22508,keydown
e,22565,keyup
w,22633,keyup
i,22639,keyup
 ,22801,keydown
 ,22889,keyup
j,23111,keydown
j,23220,keyup
s,23235,keydown
a,23282,keydown
k,23309,keydown
k,23497,keyup
a,23524,keyup
d,23594,keydown
s,23626,keyup
k,23678,keydown
k,23876,keyup
d,23882,keyup
e,23922,keydown
j,23971,keydown
w,24002,keydown
e,24079,keyup
w,24109,keyup
j,24122,keyup
 ,24476,keydown
 ,24577,keyup
j,24762,keydown
j,24867,keyup
a,24902,keydown
s,24910,keydown
h,25028,keydown
a,25059,keyup
d,25073,keydown
s,25176,keyup
h,25190,keyup
d,25295,keyup
j,25296,keydown
h,25346,keydown
e,25406,keydown
j,25464,keyup
h,25504,keyup
e,25591,keyup
h,25627,keydown
f,25645,keydown
f,25701,keyup
j,25710,keydown
h,25737,keyup
j,25810,keyup
s,25849,keydown
s,25888,keyup
 ,26077,keydown
 ,26160,keyup
h,26343,keydown
s,26453,keydown
h,26481,keyup
d,26491,keydown
s,26623,keyup
a,26694,keydown
d,26754,keyup
s,26789,keydown
j,26929,keydown
d,26980,keydown
a,26982,keyup
s,26998,keyup
h,27091,keydown
j,27102,keyup
d,27144,keyup
h,27177,keyup
e,27196,keydown
w,27208,keydown
e,27365,keyup
w,27383,keyup
u,27541,keydown
u,27706,keyup
d,27734,keydown
a,27882,keydown
d,27902,keyup
s,27911,keydown
s,28017,keyup
a,28017,keyup
j,28062,keydown
j,28128,keyup
 ,28343,keydown
 ,28473,keyup
s,28589,keydown
a,28608,keydown
j,28645,keydown
k,28738,keydown
j,28803,keyup
a,28831,keyup
d,28835,keydown
s,28844,keyup
k,28906,keyup
j,28931,keydown
d,29004,keyup
j,29138,keyup
e,29182,keydown
i,29187,keydown
w,29191,keydown
u,29306,keydown
w,29326,keyup
e,29326,keyup
i,29327,keyup
u,29497,keyup
j,29588,keydown
d,29686,keydown
j,29707,keyup
d,29880,keyup
e,29936,keydown
w,29976,keydown
e,30099,keyup
w,30129,keyup
