key,time,event
j,6206,keydown
s,6286,keydown
k,6316,keydown
j,6378,keyup
k,6472,keyup
j,6566,keydown
d,6645,keydown
f,6707,keydown
k,6739,keydown
j,6817,keyup
f,6832,keyup
f,6878,keydown
k,6895,keyup
s,6989,keyup
d,7020,keyup
f,7050,keyup
 ,7144,keydown
 ,7269,keyup
f,7348,keydown
s,7503,keydown
d,7535,keydown
j,7581,keydown
f,7581,keyup
f,7675,keydown
s,7691,keyup
k,7723,keydown
d,7738,keyup
j,7785,keyup
k,7925,keyup
e,8004,keydown
r,8004,keydown
f,8036,keyup
j,8128,keydown
r,8128,keyup
e,8206,keyup
j,8269,keyup
 ,8425,keydown
 ,8550,keyup
d,8581,keydown
s,8613,keydown
f,8706,keydown
j,8816,keydown
s,8847,keyup
d,8847,keyup
k,8956,keydown
j,9019,keyup
e,9082,keydown
r,9097,keydown
k,9114,keyup
f,9114,keyup
j,9270,keydown
r,9331,keyup
e,9347,keyup
k,9364,keydown
j,9442,keyup
d,9550,keydown
f,9550,keydown
k,9566,keyup
s,9722,keydown
f,9753,keyup
s,9816,keyup
d,9831,keyup
 ,49128,keydown
 ,49269,keyup
s,49441,keydown
a,49660,keydown
a,49847,keyup
j,49956,keydown
s,50081,keyup
k,50081,keydown
d,50097,keydown
j,50175,keyup
e,50363,keydown
w,50363,keydown
j,50378,keydown
d,50394,keyup
k,50456,keyup
j,50503,keyup
e,50581,keyup
w,50660,keyup
 ,50675,keydown
f,50753,keydown
 ,50815,keyup
w,50910,keydown
e,50925,keydown
f,50988,keyup
j,51097,keydown
e,51191,keyup
w,51206,keyup
f,51238,keydown
k,51253,keydown
j,51300,keyup
s,51425,keydown
k,51456,keyup
f,51472,keyup
j,51550,keydown
k,51691,keydown
j,51738,keyup
d,51752,keydown
s,51800,keyup
k,51956,keyup
w,51971,keydown
d,52035,keyup
 ,52127,keydown
w,52190,keyup
f,52284,keydown
 ,52300,keyup
e,52519,keydown
w,52535,keydown
f,52597,keyup
j,52613,keydown
k,52706,keydown
w,52706,keyup
f,52738,keydown
e,52738,keyup
j,52785,keyup
s,52910,keydown
d,52910,keydown
k,52925,keyup
f,52956,keyup
d,53050,keyup
j,53066,keydown
k,53144,keydown
s,53175,keyup
d,53237,keydown
j,53237,keyup
w,53393,keydown
j,53393,keydown
d,53425,keyup
k,53425,keyup
f,53597,keydown
j,53660,keyup
w,53675,keyup
f,53830,keyup
 ,54003,keydown
f,54097,keydown
 ,54144,keyup
s,54160,keydown
d,54175,keydown
f,54253,keyup
f,54347,keydown
s,54394,keyup
j,54394,keydown
d,54410,keyup
k,54519,keydown
e,54613,keydown
j,54613,keyup
f,54690,keyup
k,54722,keyup
j,54847,keydown
f,54877,keydown
e,54894,keyup
k,54940,keydown
j,55035,keyup
f,55049,keyup
k,55113,keyup
s,55127,keydown
j,55206,keydown
d,55253,keydown
f,55285,keydown
k,55285,keydown
d,55347,keyup
s,55347,keyup
j,55363,keyup
k,55488,keyup
e,55503,keydown
f,55566,keyup
e,55691,keyup
