key,time,event
d,15153,keydown
j,15162,keydown
k,15355,keydown
s,15378,keydown
d,15393,keyup
j,15421,keyup
a,15423,keydown
k,15542,keyup
s,15557,keyup
a,15570,keyup
d,15613,keydown
j,15643,keydown
d,15759,keyup
j,15798,keyup
w,15991,keydown
 ,16088,keydown
w,16092,keyup
 ,16212,keyup
j,16589,keydown
d,16619,keydown
k,16824,keydown
j,16873,keyup
d,16873,keyup
s,16897,keydown
a,16927,keydown
k,17024,keyup
a,17155,keyup
s,17200,keyup
u,17270,keydown
d,17285,keydown
i,17430,keydown
u,17439,keyup
d,17489,keyup
w,17561,keydown
i,17667,keyup
w,17760,keyup
 ,17895,keydown
 ,18013,keyup
s,18247,keydown
a,18297,keydown
j,18363,keydown
k,18529,keydown
s,18559,keyup
a,18567,keyup
j,18603,keyup
d,18612,keydown
k,18820,keyup
w,18952,keydown
d,19003,keyup
u,19145,keydown
w,19277,keyup
i,19315,keydown
i,19550,keyup
w,19693,keydown
u,19847,keyup
w,19854,keyup
d,20174,keydown
s,20284,keydown
j,20301,keydown
a,20505,keydown
k,20526,keydown
d,20542,keyup
j,20579,keyup
a,20729,keyup
s,20738,keyup
k,20741,keyup
 ,21441,keydown
 ,21546,keyup
j,21809,keydown
s,21893,keydown
a,21927,keydown
k,21967,keydown
j,22056,keyup
s,22169,keyup
a,22194,keyup
d,22211,keydown
k,22248,keyup
j,22361,keydown
j,22456,keyup
w,22532,keydown
d,22587,keyup
u,22677,keydown
w,22821,keyup
u,22913,keyup
i,22961,keydown
i,23197,keyup
d,23198,keydown
a,23292,keydown
s,23363,keydown
d,23399,keyup
u,23431,keydown
s,23492,keyup
a,23512,keyup
i,23549,keydown
u,23599,keyup
i,23659,keyup
