key,time,event
s,16184,keydown
j,16231,keydown
j,16370,keyup
s,16404,keyup
k,16542,keydown
k,16730,keyup
j,16869,keydown
d,16899,keydown
j,16972,keyup
d,17086,keyup
j,17127,keydown
j,17212,keyup
s,17376,keydown
a,17556,keydown
s,17637,keyup
u,17706,keydown
a,17762,keyup
u,17873,keyup
i,17906,keydown
i,18075,keyup
e,18082,keydown
w,18126,keydown
u,18308,keydown
e,18419,keyup
u,18447,keyup
w,18452,keyup
 ,19503,keydown
 ,19629,keyup
s,19714,keydown
a,19844,keydown
d,20133,keydown
a,20182,keyup
j,20223,keydown
s,20226,keyup
k,20378,keydown
d,20414,keyup
j,20432,keyup
s,20481,keydown
k,20553,keyup
d,20605,keydown
s,20649,keyup
w,20858,keydown
e,20885,keydown
d,20886,keyup
u,20900,keydown
e,20990,keyup
u,21047,keyup
i,21090,keydown
w,21147,keyup
u,21262,keydown
i,21382,keyup
u,21423,keyup
s,21563,keydown
d,21579,keydown
h,21659,keydown
a,21662,keydown
d,21746,keyup
j,21832,keydown
a,21833,keyup
h,21850,keyup
s,21856,keyup
j,21915,keyup
 ,22163,keydown
 ,22297,keyup
d,22464,keydown
s,22466,keydown
a,22603,keydown
d,22651,keyup
j,22657,keydown
j,22786,keyup
k,22830,keydown
s,22920,keyup
a,22920,keyup
k,22975,keyup
f,22983,keydown
j,23020,keydown
j,23161,keyup
e,23264,keydown
w,23302,keydown
f,23396,keyup
e,23491,keyup
u,23538,keydown
w,23554,keyup
i,23656,keydown
u,23702,keyup
i,23869,keyup
s,23922,keydown
a,23979,keydown
d,24157,keydown
a,24173,keyup
s,24228,keyup
d,24384,keyup
s,24426,keydown
j,24554,keydown
s,24643,keyup
j,24714,keyup
w,25002,keydown
 ,25255,keydown
w,25288,keyup
 ,25399,keyup
f,25432,keydown
w,25643,keydown
f,25790,keyup
w,25910,keyup
j,26079,keydown
j,26356,keyup
h,26459,keydown
d,26487,keydown
d,26603,keyup
h,26614,keyup
w,26827,keydown
w,27081,keyup
u,27188,keydown
d,27333,keydown
i,27382,keydown
u,27397,keyup
s,27429,keydown
d,27476,keyup
i,27561,keyup
u,27880,keydown
s,27927,keyup
f,27941,keydown
i,28030,keydown
u,28091,keyup
s,28161,keydown
a,28162,keydown
f,28195,keyup
i,28211,keyup
a,28350,keyup
s,28386,keyup
 ,28509,keydown
 ,28663,keyup
s,28752,keydown
a,28765,keydown
j,28953,keydown
s,29022,keyup
a,29022,keyup
k,29069,keydown
f,29121,keydown
j,29136,keyup
k,29220,keyup
w,29279,keydown
e,29290,keydown
f,29383,keyup
e,29540,keyup
w,29541,keyup
u,29555,keydown
i,29685,keydown
u,29716,keyup
s,29822,keydown
i,29868,keyup
d,30022,keydown
s,30081,keyup
d,30139,keyup
n,30752,keydown
n,30828,keyup
s,30988,keydown
a,31042,keydown
n,31070,keydown
a,31252,keyup
n,31270,keyup
s,31339,keyup
m,31367,keydown
m,31482,keyup
f,31893,keydown
s,32024,keydown
a,32044,keydown
f,32120,keyup
a,32140,keyup
 ,32155,keydown
s,32168,keyup
 ,32289,keyup
f,32372,keydown
s,32492,keydown
f,32549,keyup
a,32591,keydown
s,32790,keyup
i,32811,keydown
a,32828,keyup
o,32920,keydown
f,33003,keydown
i,33024,keyup
w,33086,keydown
f,33094,keyup
o,33106,keyup
w,33361,keyup
f,33386,keydown
f,33618,keyup
w,33634,keydown
e,33652,keydown
e,33813,keyup
w,33857,keyup
