key,time,event
j,10382,keydown
d,10492,keydown
j,10554,keyup
s,10632,keydown
k,10679,keydown
d,10757,keyup
k,10883,keyup
s,10898,keyup
u,11305,keydown
u,11507,keyup
r,11522,keydown
i,11539,keydown
e,11602,keydown
r,11757,keyup
i,11757,keyup
e,11835,keyup
 ,12132,keydown
 ,12289,keyup
d,12444,keydown
s,12554,keydown
j,12569,keydown
k,12632,keydown
j,12742,keyup
d,12772,keyup
k,12789,keyup
s,12835,keyup
j,12929,keydown
f,13038,keydown
j,13179,keyup
f,13257,keyup
u,13383,keydown
r,13633,keydown
e,13664,keydown
u,13679,keyup
i,13695,keydown
u,13897,keydown
r,13929,keyup
e,13929,keyup
i,13991,keyup
u,14069,keyup
 ,14272,keydown
 ,14414,keyup
d,14539,keydown
s,14647,keydown
j,14741,keydown
k,14819,keydown
d,14851,keyup
s,14914,keyup
j,14929,keyup
k,14991,keyup
d,15132,keydown
e,15257,keydown
d,15288,keyup
i,15413,keydown
u,15491,keydown
e,15554,keyup
i,15601,keyup
u,15694,keyup
r,15711,keydown
r,15897,keyup
