key,time
s,6708
j,6871
a,6918
k,6990
j,7252
 ,7582
w,7726
e,7747
j,7965
k,8145
d,8354
j,8478
w,8644
 ,8940
d,9147
a,9183
s,9210
j,9350
k,9442
d,9494
w,9673
j,9799
k,9917
d,10122
a,10180
s,10217
 ,10428
d,10593
w,10743
i,11192
d,11414
i,11442
o,11543
w,11644
d,11950
a,12093
 ,12098
s,12109
d,12316
d,12823
d,12859
d,12887
a,12912
s,12922
j,12975
k,13029
d,13162
w,13375
e,13396
j,13478
i,13663
s,13924
a,13963
 ,14161
d,14225
w,14577
i,15004
s,15052
a,15065
o,15129
d,15307
i,15401
o,15502
w,15529
 ,15846
a,16054
s,16075
d,16369
j,16612
s,16681
k,16724
a,16757
j,16950
d,17031
i,17227
w,17307
u,17373
 ,17805
d,17965
s,17982
a,18075
j,18200
k,18351
d,18440
w,18627
o,19228
s,19271
a,19275
i,19435
d,19508
