key,time,event
Tab,6299,keyup
j,6642,keydown
s,6723,keydown
a,6780,keydown
j,6805,keyup
j,6936,keydown
k,7058,keydown
a,7106,keyup
j,7116,keyup
d,7166,keydown
s,7196,keyup
j,7264,keydown
k,7335,keyup
e,7383,keydown
j,7405,keyup
w,7439,keydown
d,7463,keyup
e,7584,keyup
w,7614,keyup
 ,7749,keydown
 ,7883,keyup
f,7941,keydown
j,8094,keydown
w,8167,keydown
e,8170,keydown
j,8264,keyup
f,8268,keyup
k,8384,keydown
e,8412,keyup
w,8423,keyup
j,8463,keydown
k,8543,keyup
s,8598,keydown
d,8683,keydown
s,8732,keyup
k,8801,keydown
j,8888,keyup
k,8975,keyup
w,9103,keydown
e,9136,keydown
d,9139,keyup
f,9343,keydown
w,9373,keyup
e,9379,keyup
i,9405,keydown
i,9509,keyup
i,9557,keydown
o,9667,keydown
f,9825,keyup
o,9837,keyup
s,9931,keydown
i,9946,keyup
i,9974,keydown
d,9994,keydown
s,10032,keyup
 ,10122,keydown
s,10227,keydown
a,10229,keydown
d,10259,keyup
 ,10300,keyup
i,10301,keyup
a,10401,keyup
d,10402,keydown
s,10443,keyup
o,10518,keydown
s,10570,keydown
a,10571,keydown
d,10608,keyup
i,10686,keydown
a,10772,keyup
o,10782,keyup
s,10797,keyup
f,10825,keydown
i,10934,keyup
e,11021,keydown
w,11051,keydown
i,11084,keydown
f,11174,keyup
e,11229,keyup
o,11294,keydown
f,11319,keydown
i,11331,keyup
w,11332,keyup
o,11467,keyup
o,11499,keydown
 ,11553,keydown
f,11591,keyup
o,11771,keyup
 ,11809,keyup
s,11868,keydown
i,11970,keydown
d,12043,keydown
o,12104,keydown
s,12109,keyup
i,12226,keyup
o,12352,keyup
i,12389,keydown
e,12472,keydown
d,12487,keyup
w,12501,keydown
i,12561,keyup
e,12566,keyup
w,12593,keyup
u,12764,keydown
u,12985,keyup
f,12990,keydown
i,13018,keydown
f,13131,keyup
i,13159,keyup
d,13174,keydown
d,13258,keyup
i,13540,keydown
d,13612,keydown
o,13685,keydown
i,13857,keyup
e,13871,keydown
w,13874,keydown
d,13904,keyup
o,13934,keyup
 ,13992,keydown
e,14024,keyup
w,14040,keyup
 ,14174,keyup
i,14273,keydown
f,14305,keydown
o,14426,keydown
f,14459,keyup
s,14467,keydown
i,14516,keyup
d,14700,keydown
o,14702,keyup
s,14717,keyup
i,14792,keydown
o,14946,keydown
w,14966,keydown
d,14988,keyup
i,15029,keyup
e,15046,keydown
o,15125,keyup
e,15151,keyup
f,15152,keydown
w,15181,keyup
i,15210,keydown
f,15352,keyup
o,15370,keydown
i,15490,keyup
o,15590,keyup
s,15702,keydown
d,15944,keydown
s,15962,keyup
a,16033,keydown
d,16067,keyup
a,16208,keyup
