key,time,event
j,11939,keydown
j,12079,keyup
k,12250,keydown
j,12298,keydown
f,12376,keydown
k,12405,keyup
j,12438,keyup
d,12469,keydown
f,12610,keyup
j,12625,keydown
k,12766,keydown
j,12828,keyup
d,12828,keyup
k,12906,keyup
r,13047,keydown
r,13391,keyup
t,13485,keydown
t,13672,keyup
 ,13953,keydown
 ,14094,keyup
f,14188,keydown
d,14438,keydown
j,14438,keydown
j,14516,keyup
k,14547,keydown
f,14563,keyup
k,14672,keyup
d,14688,keyup
j,14703,keydown
g,14749,keydown
j,14890,keyup
g,14922,keyup
j,15047,keydown
d,15110,keydown
j,15219,keyup
d,15219,keyup
r,15328,keydown
j,15422,keydown
k,15531,keydown
j,15609,keyup
e,15641,keydown
k,15672,keyup
r,15750,keyup
 ,15844,keydown
e,15860,keyup
 ,16000,keyup
f,16110,keydown
d,16235,keydown
j,16281,keydown
k,16391,keydown
j,16453,keyup
d,16485,keyup
k,16531,keyup
j,16625,keydown
f,16797,keyup
j,16813,keyup
k,16828,keydown
k,16922,keyup
j,17000,keydown
r,17188,keydown
j,17203,keyup
e,17328,keydown
r,17391,keyup
j,17406,keydown
e,17499,keyup
k,17516,keydown
t,17516,keydown
j,17594,keyup
e,17656,keydown
k,17656,keyup
t,17750,keyup
e,17905,keyup
