key,time,event
g,20500,keydown
e,20626,keydown
g,20766,keyup
e,20859,keyup
t,20984,keydown
t,21142,keyup
j,21267,keydown
j,21469,keyup
j,21798,keydown
s,21798,keydown
k,21939,keydown
d,21985,keydown
j,22001,keyup
s,22048,keyup
k,22172,keyup
d,22235,keyup
 ,22392,keydown
 ,22531,keyup
d,22656,keydown
w,22859,keydown
d,22938,keyup
j,23125,keydown
e,23220,keydown
w,23235,keyup
j,23328,keyup
e,23470,keyup
h,23579,keydown
f,23610,keydown
h,23798,keyup
e,23798,keydown
f,23798,keyup
r,23953,keydown
e,24047,keyup
g,24047,keydown
r,24125,keyup
w,24267,keydown
g,24328,keyup
e,24470,keydown
w,24531,keyup
e,24641,keyup
r,25031,keydown
r,25328,keyup
k,26032,keydown
j,26203,keydown
k,26313,keyup
j,26484,keyup
j,26985,keydown
j,27517,keydown
j,27547,keydown
j,27579,keydown
j,27609,keyup
j,29173,keydown
k,29344,keydown
j,29359,keyup
k,29579,keyup
 ,30267,keydown
 ,30422,keyup
d,30782,keydown
h,30844,keydown
s,30906,keydown
a,30968,keydown
h,31031,keyup
d,31047,keyup
h,31188,keydown
a,31202,keyup
s,31219,keyup
h,31438,keyup
e,31547,keydown
f,31719,keydown
e,31781,keyup
h,31844,keydown
f,32016,keyup
h,32094,keyup
d,32141,keydown
s,32203,keydown
h,32468,keydown
s,32578,keyup
j,32750,keydown
h,32781,keyup
d,32797,keyup
j,32906,keyup
r,33094,keydown
r,33406,keyup
n,33624,keydown
n,34141,keydown
n,34188,keydown
n,34219,keydown
n,34250,keydown
n,34281,keydown
n,34313,keydown
n,34344,keydown
n,34375,keydown
n,34421,keydown
n,34453,keydown
n,34484,keydown
n,34516,keydown
n,34547,keydown
n,34578,keydown
n,34609,keydown
n,34656,keydown
n,34688,keydown
n,34719,keydown
n,34750,keydown
n,34780,keydown
n,34812,keydown
n,34844,keydown
n,34874,keydown
n,34922,keydown
n,34953,keydown
n,34984,keydown
n,35016,keydown
n,35047,keydown
n,35078,keydown
n,35108,keydown
n,35141,keydown
n,35187,keydown
n,35218,keydown
n,35250,keydown
n,35280,keydown
n,35312,keydown
n,35344,keydown
n,35375,keydown
n,35406,keydown
n,35453,keydown
n,35484,keydown
n,35516,keydown
n,35547,keydown
n,35578,keydown
n,35609,keyup
h,36484,keydown
h,36688,keyup
d,36891,keydown
s,36969,keydown
 ,37000,keydown
d,37094,keyup
s,37125,keyup
 ,37297,keyup
d,37297,keydown
s,37375,keydown
j,37500,keydown
s,37546,keyup
f,37546,keydown
d,37563,keyup
j,37672,keyup
d,37703,keydown
f,37749,keyup
d,37891,keyup
j,37969,keydown
f,38109,keydown
k,38109,keydown
j,38203,keyup
e,38249,keydown
k,38313,keyup
f,38328,keyup
j,38484,keydown
e,38563,keyup
k,38594,keydown
j,38688,keyup
k,38797,keyup
d,39000,keydown
s,39000,keydown
d,39313,keyup
s,39390,keyup
 ,39484,keydown
 ,39656,keyup
f,39656,keydown
s,39734,keydown
d,39766,keydown
f,39859,keyup
j,39984,keydown
s,40047,keyup
f,40047,keydown
d,40047,keyup
j,40156,keyup
f,40250,keyup
k,40438,keydown
e,40594,keydown
k,40688,keyup
r,40797,keydown
j,40844,keydown
e,40859,keyup
k,40952,keydown
r,41031,keyup
j,41078,keyup
e,41094,keydown
k,41297,keyup
e,41313,keyup
j,41469,keydown
s,41563,keydown
k,41625,keydown
j,41672,keyup
s,41780,keyup
k,41797,keyup
j,41859,keydown
s,42046,keydown
d,42063,keydown
j,42093,keyup
f,42156,keydown
s,42234,keyup
d,42266,keyup
f,42563,keyup
