key,time
j,8413
s,8575
a,8678
j,8869
k,9086
e,9349
w,9505
 ,9541
w,9874
e,9983
j,10149
k,10285
s,10509
d,10725
a,10822
j,10872
k,10981
d,11244
w,11439
 ,11718
s,11986
a,12008
j,12208
d,12229
k,12448
w,12641
j,12717
k,12916
f,13167
j,13200
w,13239
k,13598
j,13738
d,14032
s,14065
 ,14253
a,14534
j,14774
d,14872
w,15174
k,15220
j,15283
k,15677
d,15842
a,15983
s,16077
j,16129
k,16342
d,16357
w,16515
 ,17032
s,17279
a,17371
j,17482
k,17622
d,17688
j,17883
w,17911
k,18060
s,18452
a,18502
d,18550
s,18719
a,18725
