key,time,event
s,9364,keydown
j,9379,keydown
j,9504,keyup
a,9568,keydown
s,9629,keyup
k,9676,keydown
a,9708,keyup
k,9926,keyup
f,10068,keydown
j,10146,keydown
e,10240,keydown
j,10302,keyup
f,10365,keyup
e,10474,keyup
 ,10568,keydown
 ,10661,keyup
f,10755,keydown
j,10943,keydown
e,10958,keydown
f,11051,keyup
k,11082,keydown
j,11130,keyup
e,11146,keyup
k,11240,keyup
s,11473,keydown
d,11630,keydown
s,11693,keyup
k,11786,keydown
d,11865,keyup
k,12005,keyup
 ,12396,keydown
 ,12457,keyup
 ,12614,keydown
 ,12708,keyup
f,12958,keydown
e,13130,keydown
f,13208,keyup
j,13332,keydown
e,13365,keyup
k,13458,keydown
j,13536,keyup
k,13645,keyup
d,13926,keydown
s,14114,keydown
i,14146,keydown
d,14177,keyup
s,14302,keyup
f,14318,keydown
i,14364,keyup
e,14520,keydown
f,14614,keyup
i,14740,keydown
e,14754,keyup
o,14832,keydown
i,14957,keyup
o,15005,keyup
