key,time,event
d,10796,keydown
d,10938,keyup
j,11016,keydown
d,11078,keydown
k,11141,keydown
s,11172,keydown
j,11172,keyup
d,11296,keyup
k,11296,keyup
j,11374,keydown
s,11453,keyup
k,11546,keydown
j,11577,keyup
e,11640,keydown
k,11765,keyup
j,11922,keydown
e,11953,keyup
k,12063,keydown
j,12141,keyup
r,12203,keydown
k,12266,keyup
r,12453,keyup
 ,12484,keydown
 ,12672,keyup
j,13030,keydown
j,13203,keyup
d,13344,keydown
d,13438,keyup
s,13453,keydown
k,13578,keydown
s,13640,keyup
f,13672,keydown
k,13780,keyup
r,13953,keydown
e,14000,keydown
f,14046,keyup
r,14109,keyup
e,14202,keyup
i,14406,keydown
o,14531,keydown
i,14577,keyup
o,14671,keyup
s,14891,keydown
d,15046,keydown
s,15078,keyup
s,15155,keydown
d,15187,keyup
s,15360,keyup
 ,15702,keydown
 ,15860,keyup
j,16219,keydown
e,16391,keydown
k,16406,keydown
j,16438,keyup
w,16484,keydown
k,16563,keyup
f,16672,keydown
w,16672,keyup
e,16718,keyup
k,16968,keydown
j,17062,keydown
f,17109,keyup
k,17171,keyup
j,17234,keyup
d,17265,keydown
a,17405,keydown
s,17421,keydown
d,17468,keyup
j,17514,keydown
i,17609,keydown
a,17624,keyup
s,17687,keyup
j,17702,keyup
i,17812,keyup
w,17921,keydown
e,17952,keydown
w,18140,keyup
e,18171,keyup
 ,18343,keydown
 ,18515,keyup
s,18702,keydown
d,18812,keydown
s,18859,keyup
s,18968,keydown
a,19030,keydown
d,19046,keyup
j,19187,keydown
a,19202,keyup
s,19280,keyup
k,19312,keydown
j,19390,keyup
j,19577,keydown
k,19640,keyup
e,19765,keydown
w,19765,keydown
j,19905,keyup
w,20046,keyup
e,20046,keyup
j,20202,keydown
i,20327,keydown
f,20343,keydown
j,20390,keyup
s,20530,keydown
i,20546,keyup
f,20624,keyup
d,20624,keydown
f,20734,keydown
s,20749,keyup
d,20765,keyup
f,20905,keyup
 ,21359,keydown
 ,21530,keyup
s,21671,keydown
d,21717,keydown
f,21859,keydown
s,21905,keyup
d,21921,keyup
k,21999,keydown
k,22218,keyup
j,22280,keydown
e,22327,keydown
j,22405,keyup
f,22437,keyup
k,22452,keydown
e,22546,keyup
j,22593,keydown
k,22671,keyup
j,22765,keyup
s,22843,keydown
d,22859,keydown
s,22999,keyup
f,22999,keydown
d,23077,keyup
f,23202,keyup
 ,23468,keydown
 ,23623,keyup
s,23780,keydown
d,24015,keydown
s,24062,keyup
s,24171,keydown
a,24171,keydown
d,24218,keyup
j,24249,keydown
a,24343,keyup
s,24359,keyup
j,24437,keyup
j,24546,keydown
k,24562,keydown
f,24593,keydown
k,24859,keyup
e,24874,keydown
r,24874,keydown
j,24890,keyup
f,24905,keyup
j,24952,keydown
r,24984,keyup
i,25046,keydown
e,25046,keyup
j,25186,keyup
i,25265,keyup
s,25545,keydown
j,25717,keydown
k,25827,keydown
j,25905,keyup
d,25952,keydown
s,26030,keyup
k,26046,keyup
a,26123,keydown
s,26140,keydown
d,26170,keyup
s,26264,keyup
a,26343,keyup
