key,time,event
s,11797,keydown
a,12002,keydown
k,12084,keydown
a,12247,keyup
k,12307,keyup
s,12369,keyup
j,12448,keydown
d,12465,keydown
k,12636,keydown
j,12693,keyup
w,12728,keydown
d,12782,keyup
k,12863,keyup
w,12952,keyup
j,12966,keydown
j,13175,keyup
j,13443,keydown
d,13480,keydown
s,13497,keydown
d,13660,keyup
j,13689,keyup
s,13699,keyup
 ,13983,keydown
 ,14105,keyup
s,14238,keydown
d,14296,keydown
a,14364,keydown
a,14552,keyup
s,14581,keyup
w,14844,keydown
d,14954,keyup
i,15060,keydown
w,15112,keyup
o,15185,keydown
i,15244,keyup
o,15400,keyup
d,15471,keydown
s,15574,keydown
a,15628,keydown
d,15718,keyup
o,15798,keydown
a,15835,keyup
s,15841,keyup
o,15982,keyup
