key,hold_time,flight_time,delay_time
 ,121,667,637
 ,121,667,475
 ,121,667,471
 ,121,667,455
 ,121,667,486
 ,121,667,518
 ,121,667,262
 ,121,667,536
 ,121,667,386
 ,121,667,421
 ,121,667,102
 ,121,465,637
 ,121,465,475
 ,121,465,471
 ,121,465,455
 ,121,465,486
 ,121,465,518
 ,121,465,262
 ,121,465,536
 ,121,465,386
 ,121,465,421
 ,121,465,102
 ,121,346,637
 ,121,346,475
 ,121,346,471
 ,121,346,455
 ,121,346,486
 ,121,346,518
 ,121,346,262
 ,121,346,536
 ,121,346,386
 ,121,346,421
 ,121,346,102
 ,121,498,637
 ,121,498,475
 ,121,498,471
 ,121,498,455
 ,121,498,486
 ,121,498,518
 ,121,498,262
 ,121,498,536
 ,121,498,386
 ,121,498,421
 ,121,498,102
 ,121,363,637
 ,121,363,475
 ,121,363,471
 ,121,363,455
 ,121,363,486
 ,121,363,518
 ,121,363,262
 ,121,363,536
 ,121,363,386
 ,121,363,421
 ,121,363,102
 ,121,515,637
 ,121,515,475
 ,121,515,471
 ,121,515,455
 ,121,515,486
 ,121,515,518
 ,121,515,262
 ,121,515,536
 ,121,515,386
 ,121,515,421
 ,121,515,102
 ,121,164,637
 ,121,164,475
 ,121,164,471
 ,121,164,455
 ,121,164,486
 ,121,164,518
 ,121,164,262
 ,121,164,536
 ,121,164,386
 ,121,164,421
 ,121,164,102
 ,121,523,637
 ,121,523,475
 ,121,523,471
 ,121,523,455
 ,121,523,486
 ,121,523,518
 ,121,523,262
 ,121,523,536
 ,121,523,386
 ,121,523,421
 ,121,523,102
 ,121,411,637
 ,121,411,475
 ,121,411,471
 ,121,411,455
 ,121,411,486
 ,121,411,518
 ,121,411,262
 ,121,411,536
 ,121,411,386
 ,121,411,421
 ,121,411,102
 ,121,419,637
 ,121,419,475
 ,121,419,471
 ,121,419,455
 ,121,419,486
 ,121,419,518
 ,121,419,262
 ,121,419,536
 ,121,419,386
 ,121,419,421
 ,121,419,102
 ,121,56,637
 ,121,56,475
 ,121,56,471
 ,121,56,455
 ,121,56,486
 ,121,56,518
 ,121,56,262
 ,121,56,536
 ,121,56,386
 ,121,56,421
 ,121,56,102
 ,121,667,637
 ,121,667,475
 ,121,667,471
 ,121,667,455
 ,121,667,486
 ,121,667,518
 ,121,667,262
 ,121,667,536
 ,121,667,386
 ,121,667,421
 ,121,667,102
 ,121,465,637
 ,121,465,475
 ,121,465,471
 ,121,465,455
 ,121,465,486
 ,121,465,518
 ,121,465,262
 ,121,465,536
 ,121,465,386
 ,121,465,421
 ,121,465,102
 ,121,346,637
 ,121,346,475
 ,121,346,471
 ,121,346,455
 ,121,346,486
 ,121,346,518
 ,121,346,262
 ,121,346,536
 ,121,346,386
 ,121,346,421
 ,121,346,102
 ,121,498,637
 ,121,498,475
 ,121,498,471
 ,121,498,455
 ,121,498,486
 ,121,498,518
 ,121,498,262
 ,121,498,536
 ,121,498,386
 ,121,498,421
 ,121,498,102
 ,121,363,637
 ,121,363,475
 ,121,363,471
 ,121,363,455
 ,121,363,486
 ,121,363,518
 ,121,363,262
 ,121,363,536
 ,121,363,386
 ,121,363,421
 ,121,363,102
 ,121,515,637
 ,121,515,475
 ,121,515,471
 ,121,515,455
 ,121,515,486
 ,121,515,518
 ,121,515,262
 ,121,515,536
 ,121,515,386
 ,121,515,421
 ,121,515,102
 ,121,164,637
 ,121,164,475
 ,121,164,471
 ,121,164,455
 ,121,164,486
 ,121,164,518
 ,121,164,262
 ,121,164,536
 ,121,164,386
 ,121,164,421
 ,121,164,102
 ,121,523,637
 ,121,523,475
 ,121,523,471
 ,121,523,455
 ,121,523,486
 ,121,523,518
 ,121,523,262
 ,121,523,536
 ,121,523,386
 ,121,523,421
 ,121,523,102
 ,121,411,637
 ,121,411,475
 ,121,411,471
 ,121,411,455
 ,121,411,486
 ,121,411,518
 ,121,411,262
 ,121,411,536
 ,121,411,386
 ,121,411,421
 ,121,411,102
 ,121,419,637
 ,121,419,475
 ,121,419,471
 ,121,419,455
 ,121,419,486
 ,121,419,518
 ,121,419,262
 ,121,419,536
 ,121,419,386
 ,121,419,421
 ,121,419,102
 ,121,56,637
 ,121,56,475
 ,121,56,471
 ,121,56,455
 ,121,56,486
 ,121,56,518
 ,121,56,262
 ,121,56,536
 ,121,56,386
 ,121,56,421
 ,121,56,102
 ,128,667,637
 ,128,667,475
 ,128,667,471
 ,128,667,455
 ,128,667,486
 ,128,667,518
 ,128,667,262
 ,128,667,536
 ,128,667,386
 ,128,667,421
 ,128,667,102
 ,128,465,637
 ,128,465,475
 ,128,465,471
 ,128,465,455
 ,128,465,486
 ,128,465,518
 ,128,465,262
 ,128,465,536
 ,128,465,386
 ,128,465,421
 ,128,465,102
 ,128,346,637
 ,128,346,475
 ,128,346,471
 ,128,346,455
 ,128,346,486
 ,128,346,518
 ,128,346,262
 ,128,346,536
 ,128,346,386
 ,128,346,421
 ,128,346,102
 ,128,498,637
 ,128,498,475
 ,128,498,471
 ,128,498,455
 ,128,498,486
 ,128,498,518
 ,128,498,262
 ,128,498,536
 ,128,498,386
 ,128,498,421
 ,128,498,102
 ,128,363,637
 ,128,363,475
 ,128,363,471
 ,128,363,455
 ,128,363,486
 ,128,363,518
 ,128,363,262
 ,128,363,536
 ,128,363,386
 ,128,363,421
 ,128,363,102
 ,128,515,637
 ,128,515,475
 ,128,515,471
 ,128,515,455
 ,128,515,486
 ,128,515,518
 ,128,515,262
 ,128,515,536
 ,128,515,386
 ,128,515,421
 ,128,515,102
 ,128,164,637
 ,128,164,475
 ,128,164,471
 ,128,164,455
 ,128,164,486
 ,128,164,518
 ,128,164,262
 ,128,164,536
 ,128,164,386
 ,128,164,421
 ,128,164,102
 ,128,523,637
 ,128,523,475
 ,128,523,471
 ,128,523,455
 ,128,523,486
 ,128,523,518
 ,128,523,262
 ,128,523,536
 ,128,523,386
 ,128,523,421
 ,128,523,102
 ,128,411,637
 ,128,411,475
 ,128,411,471
 ,128,411,455
 ,128,411,486
 ,128,411,518
 ,128,411,262
 ,128,411,536
 ,128,411,386
 ,128,411,421
 ,128,411,102
 ,128,419,637
 ,128,419,475
 ,128,419,471
 ,128,419,455
 ,128,419,486
 ,128,419,518
 ,128,419,262
 ,128,419,536
 ,128,419,386
 ,128,419,421
 ,128,419,102
 ,128,56,637
 ,128,56,475
 ,128,56,471
 ,128,56,455
 ,128,56,486
 ,128,56,518
 ,128,56,262
 ,128,56,536
 ,128,56,386
 ,128,56,421
 ,128,56,102
 ,120,667,637
 ,120,667,475
 ,120,667,471
 ,120,667,455
 ,120,667,486
 ,120,667,518
 ,120,667,262
 ,120,667,536
 ,120,667,386
 ,120,667,421
 ,120,667,102
 ,120,465,637
 ,120,465,475
 ,120,465,471
 ,120,465,455
 ,120,465,486
 ,120,465,518
 ,120,465,262
 ,120,465,536
 ,120,465,386
 ,120,465,421
 ,120,465,102
 ,120,346,637
 ,120,346,475
 ,120,346,471
 ,120,346,455
 ,120,346,486
 ,120,346,518
 ,120,346,262
 ,120,346,536
 ,120,346,386
 ,120,346,421
 ,120,346,102
 ,120,498,637
 ,120,498,475
 ,120,498,471
 ,120,498,455
 ,120,498,486
 ,120,498,518
 ,120,498,262
 ,120,498,536
 ,120,498,386
 ,120,498,421
 ,120,498,102
 ,120,363,637
 ,120,363,475
 ,120,363,471
 ,120,363,455
 ,120,363,486
 ,120,363,518
 ,120,363,262
 ,120,363,536
 ,120,363,386
 ,120,363,421
 ,120,363,102
 ,120,515,637
 ,120,515,475
 ,120,515,471
 ,120,515,455
 ,120,515,486
 ,120,515,518
 ,120,515,262
 ,120,515,536
 ,120,515,386
 ,120,515,421
 ,120,515,102
 ,120,164,637
 ,120,164,475
 ,120,164,471
 ,120,164,455
 ,120,164,486
 ,120,164,518
 ,120,164,262
 ,120,164,536
 ,120,164,386
 ,120,164,421
 ,120,164,102
 ,120,523,637
 ,120,523,475
 ,120,523,471
 ,120,523,455
 ,120,523,486
 ,120,523,518
 ,120,523,262
 ,120,523,536
 ,120,523,386
 ,120,523,421
 ,120,523,102
 ,120,411,637
 ,120,411,475
 ,120,411,471
 ,120,411,455
 ,120,411,486
 ,120,411,518
 ,120,411,262
 ,120,411,536
 ,120,411,386
 ,120,411,421
 ,120,411,102
 ,120,419,637
 ,120,419,475
 ,120,419,471
 ,120,419,455
 ,120,419,486
 ,120,419,518
 ,120,419,262
 ,120,419,536
 ,120,419,386
 ,120,419,421
 ,120,419,102
 ,120,56,637
 ,120,56,475
 ,120,56,471
 ,120,56,455
 ,120,56,486
 ,120,56,518
 ,120,56,262
 ,120,56,536
 ,120,56,386
 ,120,56,421
 ,120,56,102
 ,121,667,637
 ,121,667,475
 ,121,667,471
 ,121,667,455
 ,121,667,486
 ,121,667,518
 ,121,667,262
 ,121,667,536
 ,121,667,386
 ,121,667,421
 ,121,667,102
 ,121,465,637
 ,121,465,475
 ,121,465,471
 ,121,465,455
 ,121,465,486
 ,121,465,518
 ,121,465,262
 ,121,465,536
 ,121,465,386
 ,121,465,421
 ,121,465,102
 ,121,346,637
 ,121,346,475
 ,121,346,471
 ,121,346,455
 ,121,346,486
 ,121,346,518
 ,121,346,262
 ,121,346,536
 ,121,346,386
 ,121,346,421
 ,121,346,102
 ,121,498,637
 ,121,498,475
 ,121,498,471
 ,121,498,455
 ,121,498,486
 ,121,498,518
 ,121,498,262
 ,121,498,536
 ,121,498,386
 ,121,498,421
 ,121,498,102
 ,121,363,637
 ,121,363,475
 ,121,363,471
 ,121,363,455
 ,121,363,486
 ,121,363,518
 ,121,363,262
 ,121,363,536
 ,121,363,386
 ,121,363,421
 ,121,363,102
 ,121,515,637
 ,121,515,475
 ,121,515,471
 ,121,515,455
 ,121,515,486
 ,121,515,518
 ,121,515,262
 ,121,515,536
 ,121,515,386
 ,121,515,421
 ,121,515,102
 ,121,164,637
 ,121,164,475
 ,121,164,471
 ,121,164,455
 ,121,164,486
 ,121,164,518
 ,121,164,262
 ,121,164,536
 ,121,164,386
 ,121,164,421
 ,121,164,102
 ,121,523,637
 ,121,523,475
 ,121,523,471
 ,121,523,455
 ,121,523,486
 ,121,523,518
 ,121,523,262
 ,121,523,536
 ,121,523,386
 ,121,523,421
 ,121,523,102
 ,121,411,637
 ,121,411,475
 ,121,411,471
 ,121,411,455
 ,121,411,486
 ,121,411,518
 ,121,411,262
 ,121,411,536
 ,121,411,386
 ,121,411,421
 ,121,411,102
 ,121,419,637
 ,121,419,475
 ,121,419,471
 ,121,419,455
 ,121,419,486
 ,121,419,518
 ,121,419,262
 ,121,419,536
 ,121,419,386
 ,121,419,421
 ,121,419,102
 ,121,56,637
 ,121,56,475
 ,121,56,471
 ,121,56,455
 ,121,56,486
 ,121,56,518
 ,121,56,262
 ,121,56,536
 ,121,56,386
 ,121,56,421
 ,121,56,102
 ,113,667,637
 ,113,667,475
 ,113,667,471
 ,113,667,455
 ,113,667,486
 ,113,667,518
 ,113,667,262
 ,113,667,536
 ,113,667,386
 ,113,667,421
 ,113,667,102
 ,113,465,637
 ,113,465,475
 ,113,465,471
 ,113,465,455
 ,113,465,486
 ,113,465,518
 ,113,465,262
 ,113,465,536
 ,113,465,386
 ,113,465,421
 ,113,465,102
 ,113,346,637
 ,113,346,475
 ,113,346,471
 ,113,346,455
 ,113,346,486
 ,113,346,518
 ,113,346,262
 ,113,346,536
 ,113,346,386
 ,113,346,421
 ,113,346,102
 ,113,498,637
 ,113,498,475
 ,113,498,471
 ,113,498,455
 ,113,498,486
 ,113,498,518
 ,113,498,262
 ,113,498,536
 ,113,498,386
 ,113,498,421
 ,113,498,102
 ,113,363,637
 ,113,363,475
 ,113,363,471
 ,113,363,455
 ,113,363,486
 ,113,363,518
 ,113,363,262
 ,113,363,536
 ,113,363,386
 ,113,363,421
 ,113,363,102
 ,113,515,637
 ,113,515,475
 ,113,515,471
 ,113,515,455
 ,113,515,486
 ,113,515,518
 ,113,515,262
 ,113,515,536
 ,113,515,386
 ,113,515,421
 ,113,515,102
 ,113,164,637
 ,113,164,475
 ,113,164,471
 ,113,164,455
 ,113,164,486
 ,113,164,518
 ,113,164,262
 ,113,164,536
 ,113,164,386
 ,113,164,421
 ,113,164,102
 ,113,523,637
 ,113,523,475
 ,113,523,471
 ,113,523,455
 ,113,523,486
 ,113,523,518
 ,113,523,262
 ,113,523,536
 ,113,523,386
 ,113,523,421
 ,113,523,102
 ,113,411,637
 ,113,411,475
 ,113,411,471
 ,113,411,455
 ,113,411,486
 ,113,411,518
 ,113,411,262
 ,113,411,536
 ,113,411,386
 ,113,411,421
 ,113,411,102
 ,113,419,637
 ,113,419,475
 ,113,419,471
 ,113,419,455
 ,113,419,486
 ,113,419,518
 ,113,419,262
 ,113,419,536
 ,113,419,386
 ,113,419,421
 ,113,419,102
 ,113,56,637
 ,113,56,475
 ,113,56,471
 ,113,56,455
 ,113,56,486
 ,113,56,518
 ,113,56,262
 ,113,56,536
 ,113,56,386
 ,113,56,421
 ,113,56,102
 ,124,667,637
 ,124,667,475
 ,124,667,471
 ,124,667,455
 ,124,667,486
 ,124,667,518
 ,124,667,262
 ,124,667,536
 ,124,667,386
 ,124,667,421
 ,124,667,102
 ,124,465,637
 ,124,465,475
 ,124,465,471
 ,124,465,455
 ,124,465,486
 ,124,465,518
 ,124,465,262
 ,124,465,536
 ,124,465,386
 ,124,465,421
 ,124,465,102
 ,124,346,637
 ,124,346,475
 ,124,346,471
 ,124,346,455
 ,124,346,486
 ,124,346,518
 ,124,346,262
 ,124,346,536
 ,124,346,386
 ,124,346,421
 ,124,346,102
 ,124,498,637
 ,124,498,475
 ,124,498,471
 ,124,498,455
 ,124,498,486
 ,124,498,518
 ,124,498,262
 ,124,498,536
 ,124,498,386
 ,124,498,421
 ,124,498,102
 ,124,363,637
 ,124,363,475
 ,124,363,471
 ,124,363,455
 ,124,363,486
 ,124,363,518
 ,124,363,262
 ,124,363,536
 ,124,363,386
 ,124,363,421
 ,124,363,102
 ,124,515,637
 ,124,515,475
 ,124,515,471
 ,124,515,455
 ,124,515,486
 ,124,515,518
 ,124,515,262
 ,124,515,536
 ,124,515,386
 ,124,515,421
 ,124,515,102
 ,124,164,637
 ,124,164,475
 ,124,164,471
 ,124,164,455
 ,124,164,486
 ,124,164,518
 ,124,164,262
 ,124,164,536
 ,124,164,386
 ,124,164,421
 ,124,164,102
 ,124,523,637
 ,124,523,475
 ,124,523,471
 ,124,523,455
 ,124,523,486
 ,124,523,518
 ,124,523,262
 ,124,523,536
 ,124,523,386
 ,124,523,421
 ,124,523,102
 ,124,411,637
 ,124,411,475
 ,124,411,471
 ,124,411,455
 ,124,411,486
 ,124,411,518
 ,124,411,262
 ,124,411,536
 ,124,411,386
 ,124,411,421
 ,124,411,102
 ,124,419,637
 ,124,419,475
 ,124,419,471
 ,124,419,455
 ,124,419,486
 ,124,419,518
 ,124,419,262
 ,124,419,536
 ,124,419,386
 ,124,419,421
 ,124,419,102
 ,124,56,637
 ,124,56,475
 ,124,56,471
 ,124,56,455
 ,124,56,486
 ,124,56,518
 ,124,56,262
 ,124,56,536
 ,124,56,386
 ,124,56,421
 ,124,56,102
 ,146,667,637
 ,146,667,475
 ,146,667,471
 ,146,667,455
 ,146,667,486
 ,146,667,518
 ,146,667,262
 ,146,667,536
 ,146,667,386
 ,146,667,421
 ,146,667,102
 ,146,465,637
 ,146,465,475
 ,146,465,471
 ,146,465,455
 ,146,465,486
 ,146,465,518
 ,146,465,262
 ,146,465,536
 ,146,465,386
 ,146,465,421
 ,146,465,102
 ,146,346,637
 ,146,346,475
 ,146,346,471
 ,146,346,455
 ,146,346,486
 ,146,346,518
 ,146,346,262
 ,146,346,536
 ,146,346,386
 ,146,346,421
 ,146,346,102
 ,146,498,637
 ,146,498,475
 ,146,498,471
 ,146,498,455
 ,146,498,486
 ,146,498,518
 ,146,498,262
 ,146,498,536
 ,146,498,386
 ,146,498,421
 ,146,498,102
 ,146,363,637
 ,146,363,475
 ,146,363,471
 ,146,363,455
 ,146,363,486
 ,146,363,518
 ,146,363,262
 ,146,363,536
 ,146,363,386
 ,146,363,421
 ,146,363,102
 ,146,515,637
 ,146,515,475
 ,146,515,471
 ,146,515,455
 ,146,515,486
 ,146,515,518
 ,146,515,262
 ,146,515,536
 ,146,515,386
 ,146,515,421
 ,146,515,102
 ,146,164,637
 ,146,164,475
 ,146,164,471
 ,146,164,455
 ,146,164,486
 ,146,164,518
 ,146,164,262
 ,146,164,536
 ,146,164,386
 ,146,164,421
 ,146,164,102
 ,146,523,637
 ,146,523,475
 ,146,523,471
 ,146,523,455
 ,146,523,486
 ,146,523,518
 ,146,523,262
 ,146,523,536
 ,146,523,386
 ,146,523,421
 ,146,523,102
 ,146,411,637
 ,146,411,475
 ,146,411,471
 ,146,411,455
 ,146,411,486
 ,146,411,518
 ,146,411,262
 ,146,411,536
 ,146,411,386
 ,146,411,421
 ,146,411,102
 ,146,419,637
 ,146,419,475
 ,146,419,471
 ,146,419,455
 ,146,419,486
 ,146,419,518
 ,146,419,262
 ,146,419,536
 ,146,419,386
 ,146,419,421
 ,146,419,102
 ,146,56,637
 ,146,56,475
 ,146,56,471
 ,146,56,455
 ,146,56,486
 ,146,56,518
 ,146,56,262
 ,146,56,536
 ,146,56,386
 ,146,56,421
 ,146,56,102
 ,130,667,637
 ,130,667,475
 ,130,667,471
 ,130,667,455
 ,130,667,486
 ,130,667,518
 ,130,667,262
 ,130,667,536
 ,130,667,386
 ,130,667,421
 ,130,667,102
 ,130,465,637
 ,130,465,475
 ,130,465,471
 ,130,465,455
 ,130,465,486
 ,130,465,518
 ,130,465,262
 ,130,465,536
 ,130,465,386
 ,130,465,421
 ,130,465,102
 ,130,346,637
 ,130,346,475
 ,130,346,471
 ,130,346,455
 ,130,346,486
 ,130,346,518
 ,130,346,262
 ,130,346,536
 ,130,346,386
 ,130,346,421
 ,130,346,102
 ,130,498,637
 ,130,498,475
 ,130,498,471
 ,130,498,455
 ,130,498,486
 ,130,498,518
 ,130,498,262
 ,130,498,536
 ,130,498,386
 ,130,498,421
 ,130,498,102
 ,130,363,637
 ,130,363,475
 ,130,363,471
 ,130,363,455
 ,130,363,486
 ,130,363,518
 ,130,363,262
 ,130,363,536
 ,130,363,386
 ,130,363,421
 ,130,363,102
 ,130,515,637
 ,130,515,475
 ,130,515,471
 ,130,515,455
 ,130,515,486
 ,130,515,518
 ,130,515,262
 ,130,515,536
 ,130,515,386
 ,130,515,421
 ,130,515,102
 ,130,164,637
 ,130,164,475
 ,130,164,471
 ,130,164,455
 ,130,164,486
 ,130,164,518
 ,130,164,262
 ,130,164,536
 ,130,164,386
 ,130,164,421
 ,130,164,102
 ,130,523,637
 ,130,523,475
 ,130,523,471
 ,130,523,455
 ,130,523,486
 ,130,523,518
 ,130,523,262
 ,130,523,536
 ,130,523,386
 ,130,523,421
 ,130,523,102
 ,130,411,637
 ,130,411,475
 ,130,411,471
 ,130,411,455
 ,130,411,486
 ,130,411,518
 ,130,411,262
 ,130,411,536
 ,130,411,386
 ,130,411,421
 ,130,411,102
 ,130,419,637
 ,130,419,475
 ,130,419,471
 ,130,419,455
 ,130,419,486
