key,hold_time,flight_time,delay_time
 ,158,2142,2172
 ,158,2142,391
 ,158,282,2172
 ,158,282,391
 ,110,2142,2172
 ,110,2142,391
 ,110,282,2172
 ,110,282,391
d,125,15,14
d,125,15,47
d,125,15,62
d,125,15,219
d,125,15,16
d,125,62,14
d,125,62,47
d,125,62,62
d,125,62,219
d,125,62,16
d,125,31,14
d,125,31,47
d,125,31,62
d,125,31,219
d,125,31,16
d,125,47,14
d,125,47,47
d,125,47,62
d,125,47,219
d,125,47,16
d,125,31,14
d,125,31,47
d,125,31,62
d,125,31,219
d,125,31,16
d,124,15,14
d,124,15,47
d,124,15,62
d,124,15,219
d,124,15,16
d,124,62,14
d,124,62,47
d,124,62,62
d,124,62,219
d,124,62,16
d,124,31,14
d,124,31,47
d,124,31,62
d,124,31,219
d,124,31,16
d,124,47,14
d,124,47,47
d,124,47,62
d,124,47,219
d,124,47,16
d,124,31,14
d,124,31,47
d,124,31,62
d,124,31,219
d,124,31,16
d,125,15,14
d,125,15,47
d,125,15,62
d,125,15,219
d,125,15,16
d,125,62,14
d,125,62,47
d,125,62,62
d,125,62,219
d,125,62,16
d,125,31,14
d,125,31,47
d,125,31,62
d,125,31,219
d,125,31,16
d,125,47,14
d,125,47,47
d,125,47,62
d,125,47,219
d,125,47,16
d,125,31,14
d,125,31,47
d,125,31,62
d,125,31,219
d,125,31,16
d,47,15,14
d,47,15,47
d,47,15,62
d,47,15,219
d,47,15,16
d,47,62,14
d,47,62,47
d,47,62,62
d,47,62,219
d,47,62,16
d,47,31,14
d,47,31,47
d,47,31,62
d,47,31,219
d,47,31,16
d,47,47,14
d,47,47,47
d,47,47,62
d,47,47,219
d,47,47,16
d,47,31,14
d,47,31,47
d,47,31,62
d,47,31,219
d,47,31,16
d,79,15,14
d,79,15,47
d,79,15,62
d,79,15,219
d,79,15,16
d,79,62,14
d,79,62,47
d,79,62,62
d,79,62,219
d,79,62,16
d,79,31,14
d,79,31,47
d,79,31,62
d,79,31,219
d,79,31,16
d,79,47,14
d,79,47,47
d,79,47,62
d,79,47,219
d,79,47,16
d,79,31,14
d,79,31,47
d,79,31,62
d,79,31,219
d,79,31,16
e,282,125,78
e,282,125,78
e,282,125,15
e,282,125,109
e,282,31,78
e,282,31,78
e,282,31,15
e,282,31,109
e,282,125,78
e,282,125,78
e,282,125,15
e,282,125,109
e,282,16,78
e,282,16,78
e,282,16,15
e,282,16,109
e,188,125,78
e,188,125,78
e,188,125,15
e,188,125,109
e,188,31,78
e,188,31,78
e,188,31,15
e,188,31,109
e,188,125,78
e,188,125,78
e,188,125,15
e,188,125,109
e,188,16,78
e,188,16,78
e,188,16,15
e,188,16,109
e,31,125,78
e,31,125,78
e,31,125,15
e,31,125,109
e,31,31,78
e,31,31,78
e,31,31,15
e,31,31,109
e,31,125,78
e,31,125,78
e,31,125,15
e,31,125,109
e,31,16,78
e,31,16,78
e,31,16,15
e,31,16,109
e,63,125,78
e,63,125,78
e,63,125,15
e,63,125,109
e,63,31,78
e,63,31,78
e,63,31,15
e,63,31,109
e,63,125,78
e,63,125,78
e,63,125,15
e,63,125,109
e,63,16,78
e,63,16,78
e,63,16,15
e,63,16,109
f,63,468,157
f,63,468,313
f,63,468,219
f,63,468,46
f,63,468,250
f,63,468,140
f,63,311,157
f,63,311,313
f,63,311,219
f,63,311,46
f,63,311,250
f,63,311,140
f,63,360,157
f,63,360,313
f,63,360,219
f,63,360,46
f,63,360,250
f,63,360,140
f,63,47,157
f,63,47,313
f,63,47,219
f,63,47,46
f,63,47,250
f,63,47,140
f,63,141,157
f,63,141,313
f,63,141,219
f,63,141,46
f,63,141,250
f,63,141,140
f,63,31,157
f,63,31,313
f,63,31,219
f,63,31,46
f,63,31,250
f,63,31,140
f,78,468,157
f,78,468,313
f,78,468,219
f,78,468,46
f,78,468,250
f,78,468,140
f,78,311,157
f,78,311,313
f,78,311,219
f,78,311,46
f,78,311,250
f,78,311,140
f,78,360,157
f,78,360,313
f,78,360,219
f,78,360,46
f,78,360,250
f,78,360,140
f,78,47,157
f,78,47,313
f,78,47,219
f,78,47,46
f,78,47,250
f,78,47,140
f,78,141,157
f,78,141,313
f,78,141,219
f,78,141,46
f,78,141,250
f,78,141,140
f,78,31,157
f,78,31,313
f,78,31,219
f,78,31,46
f,78,31,250
f,78,31,140
f,95,468,157
f,95,468,313
f,95,468,219
f,95,468,46
f,95,468,250
f,95,468,140
f,95,311,157
f,95,311,313
f,95,311,219
f,95,311,46
f,95,311,250
f,95,311,140
f,95,360,157
f,95,360,313
f,95,360,219
f,95,360,46
f,95,360,250
f,95,360,140
f,95,47,157
f,95,47,313
f,95,47,219
f,95,47,46
f,95,47,250
f,95,47,140
f,95,141,157
f,95,141,313
f,95,141,219
f,95,141,46
f,95,141,250
f,95,141,140
f,95,31,157
f,95,31,313
f,95,31,219
f,95,31,46
f,95,31,250
f,95,31,140
f,31,468,157
f,31,468,313
f,31,468,219
f,31,468,46
f,31,468,250
f,31,468,140
f,31,311,157
f,31,311,313
f,31,311,219
f,31,311,46
f,31,311,250
f,31,311,140
f,31,360,157
f,31,360,313
f,31,360,219
f,31,360,46
f,31,360,250
f,31,360,140
f,31,47,157
f,31,47,313
f,31,47,219
f,31,47,46
f,31,47,250
f,31,47,140
f,31,141,157
f,31,141,313
f,31,141,219
f,31,141,46
f,31,141,250
f,31,141,140
f,31,31,157
f,31,31,313
f,31,31,219
f,31,31,46
f,31,31,250
f,31,31,140
f,47,468,157
f,47,468,313
f,47,468,219
f,47,468,46
f,47,468,250
f,47,468,140
f,47,311,157
f,47,311,313
f,47,311,219
f,47,311,46
f,47,311,250
f,47,311,140
f,47,360,157
f,47,360,313
f,47,360,219
f,47,360,46
f,47,360,250
f,47,360,140
f,47,47,157
f,47,47,313
f,47,47,219
f,47,47,46
f,47,47,250
f,47,47,140
f,47,141,157
f,47,141,313
f,47,141,219
f,47,141,46
f,47,141,250
f,47,141,140
f,47,31,157
f,47,31,313
f,47,31,219
f,47,31,46
f,47,31,250
f,47,31,140
f,110,468,157
f,110,468,313
f,110,468,219
f,110,468,46
f,110,468,250
f,110,468,140
f,110,311,157
f,110,311,313
f,110,311,219
f,110,311,46
f,110,311,250
f,110,311,140
f,110,360,157
f,110,360,313
f,110,360,219
f,110,360,46
f,110,360,250
f,110,360,140
f,110,47,157
f,110,47,313
f,110,47,219
f,110,47,46
f,110,47,250
f,110,47,140
f,110,141,157
f,110,141,313
f,110,141,219
f,110,141,46
f,110,141,250
f,110,141,140
f,110,31,157
f,110,31,313
f,110,31,219
f,110,31,46
f,110,31,250
f,110,31,140
i,142,282,422
i,142,282,343
i,142,282,15
i,142,125,422
i,142,125,343
i,142,125,15
i,142,32,422
i,142,32,343
i,142,32,15
i,62,282,422
i,62,282,343
i,62,282,15
i,62,125,422
i,62,125,343
i,62,125,15
i,62,32,422
i,62,32,343
i,62,32,15
i,157,282,422
i,157,282,343
i,157,282,15
i,157,125,422
i,157,125,343
i,157,125,15
i,157,32,422
i,157,32,343
i,157,32,15
j,48,438,93
j,48,438,188
j,48,16,93
j,48,16,188
j,95,438,93
j,95,438,188
j,95,16,93
j,95,16,188
j,47,438,93
j,47,438,188
j,47,16,93
j,47,16,188
k,157,32,111
k,157,32,172
k,157,32,156
k,157,32,235
k,157,32,16
k,157,32,140
k,157,0,111
k,157,0,172
k,157,0,156
k,157,0,235
k,157,0,16
k,157,0,140
k,157,46,111
k,157,46,172
k,157,46,156
k,157,46,235
k,157,46,16
k,157,46,140
k,157,203,111
k,157,203,172
k,157,203,156
k,157,203,235
k,157,203,16
k,157,203,140
k,157,250,111
k,157,250,172
k,157,250,156
k,157,250,235
k,157,250,16
k,157,250,140
k,157,156,111
k,157,156,172
k,157,156,156
k,157,156,235
k,157,156,16
k,157,156,140
k,125,32,111
k,125,32,172
k,125,32,156
k,125,32,235
k,125,32,16
k,125,32,140
k,125,0,111
k,125,0,172
k,125,0,156
k,125,0,235
k,125,0,16
k,125,0,140
k,125,46,111
k,125,46,172
k,125,46,156
k,125,46,235
k,125,46,16
k,125,46,140
k,125,203,111
k,125,203,172
k,125,203,156
k,125,203,235
k,125,203,16
k,125,203,140
k,125,250,111
k,125,250,172
k,125,250,156
k,125,250,235
k,125,250,16
k,125,250,140
k,125,156,111
k,125,156,172
k,125,156,156
k,125,156,235
k,125,156,16
k,125,156,140
k,141,32,111
k,141,32,172
k,141,32,156
k,141,32,235
k,141,32,16
k,141,32,140
k,141,0,111
k,141,0,172
k,141,0,156
k,141,0,235
k,141,0,16
k,141,0,140
k,141,46,111
k,141,46,172
k,141,46,156
k,141,46,235
k,141,46,16
k,141,46,140
k,141,203,111
k,141,203,172
k,141,203,156
k,141,203,235
k,141,203,16
k,141,203,140
k,141,250,111
k,141,250,172
k,141,250,156
k,141,250,235
k,141,250,16
k,141,250,140
k,141,156,111
k,141,156,172
k,141,156,156
k,141,156,235
k,141,156,16
k,141,156,140
k,125,32,111
k,125,32,172
k,125,32,156
k,125,32,235
k,125,32,16
k,125,32,140
k,125,0,111
k,125,0,172
k,125,0,156
k,125,0,235
k,125,0,16
k,125,0,140
k,125,46,111
k,125,46,172
k,125,46,156
k,125,46,235
k,125,46,16
k,125,46,140
k,125,203,111
k,125,203,172
k,125,203,156
k,125,203,235
k,125,203,16
k,125,203,140
k,125,250,111
k,125,250,172
k,125,250,156
k,125,250,235
k,125,250,16
k,125,250,140
k,125,156,111
k,125,156,172
k,125,156,156
k,125,156,235
k,125,156,16
k,125,156,140
k,0,32,111
k,0,32,172
k,0,32,156
k,0,32,235
k,0,32,16
k,0,32,140
k,0,0,111
k,0,0,172
k,0,0,156
k,0,0,235
k,0,0,16
k,0,0,140
k,0,46,111
k,0,46,172
k,0,46,156
k,0,46,235
k,0,46,16
k,0,46,140
k,0,203,111
k,0,203,172
k,0,203,156
k,0,203,235
k,0,203,16
k,0,203,140
k,0,250,111
k,0,250,172
k,0,250,156
k,0,250,235
k,0,250,16
k,0,250,140
k,0,156,111
k,0,156,172
k,0,156,156
k,0,156,235
k,0,156,16
k,0,156,140
k,219,32,111
k,219,32,172
k,219,32,156
k,219,32,235
k,219,32,16
k,219,32,140
k,219,0,111
k,219,0,172
k,219,0,156
k,219,0,235
k,219,0,16
k,219,0,140
k,219,46,111
k,219,46,172
k,219,46,156
k,219,46,235
k,219,46,16
k,219,46,140
k,219,203,111
k,219,203,172
k,219,203,156
k,219,203,235
k,219,203,16
k,219,203,140
k,219,250,111
k,219,250,172
k,219,250,156
k,219,250,235
k,219,250,16
k,219,250,140
k,219,156,111
k,219,156,172
k,219,156,156
k,219,156,235
k,219,156,16
k,219,156,140
o,171,47,126
o,171,47,15
o,171,47,109
o,171,0,126
o,171,0,15
o,171,0,109
o,171,94,126
o,171,94,15
o,171,94,109
o,188,47,126
o,188,47,15
o,188,47,109
o,188,0,126
o,188,0,15
o,188,0,109
o,188,94,126
o,188,94,15
o,188,94,109
o,219,47,126
o,219,47,15
o,219,47,109
o,219,0,126
o,219,0,15
o,219,0,109
o,219,94,126
o,219,94,15
o,219,94,109
r,157,62,329
r,157,62,422
r,157,62,16
r,157,484,329
r,157,484,422
r,157,484,16
r,157,140,329
r,157,140,422
r,157,140,16
r,125,62,329
r,125,62,422
r,125,62,16
r,125,484,329
r,125,484,422
r,125,484,16
r,125,140,329
r,125,140,422
r,125,140,16
r,47,62,329
r,47,62,422
r,47,62,16
r,47,484,329
r,47,484,422
r,47,484,16
r,47,140,329
r,47,140,422
r,47,140,16
s,110,62,31
s,110,62,16
s,110,62,328
s,110,62,47
s,110,188,31
s,110,188,16
s,110,188,328
s,110,188,47
s,110,499,31
s,110,499,16
s,110,499,328
s,110,499,47
s,110,141,31
s,110,141,16
s,110,141,328
s,110,141,47
s,94,62,31
s,94,62,16
s,94,62,328
s,94,62,47
s,94,188,31
s,94,188,16
s,94,188,328
s,94,188,47
s,94,499,31
s,94,499,16
s,94,499,328
s,94,499,47
s,94,141,31
s,94,141,16
s,94,141,328
s,94,141,47
s,0,62,31
s,0,62,16
s,0,62,328
s,0,62,47
s,0,188,31
s,0,188,16
s,0,188,328
s,0,188,47
s,0,499,31
s,0,499,16
s,0,499,328
s,0,499,47
s,0,141,31
s,0,141,16
s,0,141,328
s,0,141,47
s,48,62,31
s,48,62,16
s,48,62,328
s,48,62,47
s,48,188,31
s,48,188,16
s,48,188,328
s,48,188,47
s,48,499,31
s,48,499,16
s,48,499,328
s,48,499,47
s,48,141,31
s,48,141,16
s,48,141,328
s,48,141,47
