key,hold_time,flight_time,delay_time
 ,109,312,313
 ,109,312,547
 ,109,562,313
 ,109,562,547
 ,156,312,313
 ,156,312,547
 ,156,562,313
 ,156,562,547
e,141,234,203
e,141,234,328
e,141,234,312
e,141,359,203
e,141,359,328
e,141,359,312
e,141,359,203
e,141,359,328
e,141,359,312
e,172,234,203
e,172,234,328
e,172,234,312
e,172,359,203
e,172,359,328
e,172,359,312
e,172,359,203
e,172,359,328
e,172,359,312
e,219,234,203
e,219,234,328
e,219,234,312
e,219,359,203
e,219,359,328
e,219,359,312
e,219,359,203
e,219,359,328
e,219,359,312
h,110,438,406
h,110,438,375
h,110,391,406
h,110,391,375
h,141,438,406
h,141,438,375
h,141,391,406
h,141,391,375
h,172,438,406
h,172,438,375
h,172,391,406
h,172,391,375
y,110,266,297
y,110,266,344
y,110,266,375
y,110,313,297
y,110,313,344
y,110,313,375
y,110,313,297
y,110,313,344
y,110,313,375
y,141,266,297
y,141,266,344
y,141,266,375
y,141,313,297
y,141,313,344
y,141,313,375
y,141,313,297
y,141,313,344
y,141,313,375
y,157,266,297
y,157,266,344
y,157,266,375
y,157,313,297
y,157,313,344
y,157,313,375
y,157,313,297
y,157,313,344
y,157,313,375
