key,hold_time,flight_time,delay_time
 ,125,219,266
 ,125,219,297
 ,125,219,39406
 ,125,219,297
 ,125,219,156
 ,125,219,406
 ,125,281,266
 ,125,281,297
 ,125,281,39406
 ,125,281,297
 ,125,281,156
 ,125,281,406
 ,125,39438,266
 ,125,39438,297
 ,125,39438,39406
 ,125,39438,297
 ,125,39438,156
 ,125,39438,406
 ,125,155,266
 ,125,155,297
 ,125,155,39406
 ,125,155,297
 ,125,155,156
 ,125,155,406
 ,125,110,266
 ,125,110,297
 ,125,110,39406
 ,125,110,297
 ,125,110,156
 ,125,110,406
 ,125,314,266
 ,125,314,297
 ,125,314,39406
 ,125,314,297
 ,125,314,156
 ,125,314,406
 ,125,219,266
 ,125,219,297
 ,125,219,39406
 ,125,219,297
 ,125,219,156
 ,125,219,406
 ,125,281,266
 ,125,281,297
 ,125,281,39406
 ,125,281,297
 ,125,281,156
 ,125,281,406
 ,125,39438,266
 ,125,39438,297
 ,125,39438,39406
 ,125,39438,297
 ,125,39438,156
 ,125,39438,406
 ,125,155,266
 ,125,155,297
 ,125,155,39406
 ,125,155,297
 ,125,155,156
 ,125,155,406
 ,125,110,266
 ,125,110,297
 ,125,110,39406
 ,125,110,297
 ,125,110,156
 ,125,110,406
 ,125,314,266
 ,125,314,297
 ,125,314,39406
 ,125,314,297
 ,125,314,156
 ,125,314,406
 ,141,219,266
 ,141,219,297
 ,141,219,39406
 ,141,219,297
 ,141,219,156
 ,141,219,406
 ,141,281,266
 ,141,281,297
 ,141,281,39406
 ,141,281,297
 ,141,281,156
 ,141,281,406
 ,141,39438,266
 ,141,39438,297
 ,141,39438,39406
 ,141,39438,297
 ,141,39438,156
 ,141,39438,406
 ,141,155,266
 ,141,155,297
 ,141,155,39406
 ,141,155,297
 ,141,155,156
 ,141,155,406
 ,141,110,266
 ,141,110,297
 ,141,110,39406
 ,141,110,297
 ,141,110,156
 ,141,110,406
 ,141,314,266
 ,141,314,297
 ,141,314,39406
 ,141,314,297
 ,141,314,156
 ,141,314,406
 ,62,219,266
 ,62,219,297
 ,62,219,39406
 ,62,219,297
 ,62,219,156
 ,62,219,406
 ,62,281,266
 ,62,281,297
 ,62,281,39406
 ,62,281,297
 ,62,281,156
 ,62,281,406
