key,hold_time,flight_time,delay_time
 ,141,249,295
 ,141,249,453
 ,141,249,46
 ,141,249,233
 ,141,407,295
 ,141,407,453
 ,141,407,46
 ,141,407,233
 ,141,15,295
 ,141,15,453
 ,141,15,46
 ,141,15,233
 ,141,110,295
 ,141,110,453
 ,141,110,46
 ,141,110,233
 ,125,249,295
 ,125,249,453
 ,125,249,46
 ,125,249,233
 ,125,407,295
 ,125,407,453
 ,125,407,46
 ,125,407,233
 ,125,15,295
 ,125,15,453
 ,125,15,46
 ,125,15,233
 ,125,110,295
 ,125,110,453
 ,125,110,46
 ,125,110,233
 ,188,249,295
 ,188,249,453
 ,188,249,46
 ,188,249,233
 ,188,407,295
 ,188,407,453
 ,188,407,46
 ,188,407,233
 ,188,15,295
 ,188,15,453
 ,188,15,46
 ,188,15,233
 ,188,110,295
 ,188,110,453
 ,188,110,46
 ,188,110,233
 ,158,249,295
 ,158,249,453
 ,158,249,46
 ,158,249,233
 ,158,407,295
 ,158,407,453
 ,158,407,46
 ,158,407,233
 ,158,15,295
 ,158,15,453
 ,158,15,46
 ,158,15,233
 ,158,110,295
 ,158,110,453
 ,158,110,46
 ,158,110,233
a,110,125,78
a,110,125,16
a,31,125,78
a,31,125,16
d,15,251,219
d,15,251,30
d,15,251,172
d,15,251,62
d,15,251,125
d,15,171,219
d,15,171,30
d,15,171,172
d,15,171,62
d,15,171,125
d,15,46,219
d,15,46,30
d,15,46,172
d,15,46,62
d,15,46,125
d,15,171,219
d,15,171,30
d,15,171,172
d,15,171,62
d,15,171,125
d,15,14,219
d,15,14,30
d,15,14,172
d,15,14,62
d,15,14,125
d,15,251,219
d,15,251,30
d,15,251,172
d,15,251,62
d,15,251,125
d,15,171,219
d,15,171,30
d,15,171,172
d,15,171,62
d,15,171,125
d,15,46,219
d,15,46,30
d,15,46,172
d,15,46,62
d,15,46,125
d,15,171,219
d,15,171,30
d,15,171,172
d,15,171,62
d,15,171,125
d,15,14,219
d,15,14,30
d,15,14,172
d,15,14,62
d,15,14,125
d,16,251,219
d,16,251,30
d,16,251,172
d,16,251,62
d,16,251,125
d,16,171,219
d,16,171,30
d,16,171,172
d,16,171,62
d,16,171,125
d,16,46,219
d,16,46,30
d,16,46,172
d,16,46,62
d,16,46,125
d,16,171,219
d,16,171,30
d,16,171,172
d,16,171,62
d,16,171,125
d,16,14,219
d,16,14,30
d,16,14,172
d,16,14,62
d,16,14,125
d,124,251,219
d,124,251,30
d,124,251,172
d,124,251,62
d,124,251,125
d,124,171,219
d,124,171,30
d,124,171,172
d,124,171,62
d,124,171,125
d,124,46,219
d,124,46,30
d,124,46,172
d,124,46,62
d,124,46,125
d,124,171,219
d,124,171,30
d,124,171,172
d,124,171,62
d,124,171,125
d,124,14,219
d,124,14,30
d,124,14,172
d,124,14,62
d,124,14,125
d,30,251,219
d,30,251,30
d,30,251,172
d,30,251,62
d,30,251,125
d,30,171,219
d,30,171,30
d,30,171,172
d,30,171,62
d,30,171,125
d,30,46,219
d,30,46,30
d,30,46,172
d,30,46,62
d,30,46,125
d,30,171,219
d,30,171,30
d,30,171,172
d,30,171,62
d,30,171,125
d,30,14,219
d,30,14,30
d,30,14,172
d,30,14,62
d,30,14,125
e,16,157,93
e,16,157,0
e,16,157,172
e,16,186,93
e,16,186,0
e,16,186,172
e,16,157,93
e,16,157,0
e,16,157,172
e,125,157,93
e,125,157,0
e,125,157,172
e,125,186,93
e,125,186,0
e,125,186,172
e,125,157,93
e,125,157,0
e,125,157,172
e,48,157,93
e,48,157,0
e,48,157,172
e,48,186,93
e,48,186,0
e,48,186,172
e,48,157,93
e,48,157,0
e,48,157,172
f,234,313,220
f,234,313,64
f,234,313,266
f,234,313,250
f,234,313,297
f,234,313,282
f,234,313,125
