key,hold_time,flight_time,delay_time
 ,93,187,328
 ,93,187,610
 ,93,187,218
 ,93,452,328
 ,93,452,610
 ,93,452,218
 ,93,251,328
 ,93,251,610
 ,93,251,218
 ,61,187,328
 ,61,187,610
 ,61,187,218
 ,61,452,328
 ,61,452,610
 ,61,452,218
 ,61,251,328
 ,61,251,610
 ,61,251,218
 ,94,187,328
 ,94,187,610
 ,94,187,218
 ,94,452,328
 ,94,452,610
 ,94,452,218
 ,94,251,328
 ,94,251,610
 ,94,251,218
a,32,79,189
d,79,172,157
d,79,172,468
d,79,532,157
d,79,532,468
d,31,172,157
d,31,172,468
d,31,532,157
d,31,532,468
e,234,109,94
e,234,109,15
e,234,109,172
e,234,109,202
e,234,16,94
e,234,16,15
e,234,16,172
e,234,16,202
e,234,157,94
e,234,157,15
e,234,157,172
e,234,157,202
e,234,140,94
e,234,140,15
e,234,140,172
e,234,140,202
e,64,109,94
e,64,109,15
e,64,109,172
e,64,109,202
e,64,16,94
e,64,16,15
e,64,16,172
e,64,16,202
e,64,157,94
e,64,157,15
e,64,157,172
e,64,157,202
e,64,140,94
e,64,140,15
e,64,140,172
e,64,140,202
e,33,109,94
e,33,109,15
e,33,109,172
e,33,109,202
e,33,16,94
e,33,16,15
e,33,16,172
e,33,16,202
e,33,157,94
e,33,157,15
e,33,157,172
e,33,157,202
e,33,140,94
e,33,140,15
e,33,140,172
e,33,140,202
e,14,109,94
e,14,109,15
e,14,109,172
e,14,109,202
e,14,16,94
e,14,16,15
e,14,16,172
e,14,16,202
e,14,157,94
e,14,157,15
e,14,157,172
e,14,157,202
e,14,140,94
e,14,140,15
e,14,140,172
e,14,140,202
f,125,63,392
f,125,63,187
f,125,63,344
f,125,63,172
f,125,390,392
f,125,390,187
f,125,390,344
f,125,390,172
f,125,500,392
f,125,500,187
f,125,500,344
f,125,500,172
f,125,250,392
f,125,250,187
f,125,250,344
f,125,250,172
f,93,63,392
f,93,63,187
f,93,63,344
f,93,63,172
f,93,390,392
f,93,390,187
f,93,390,344
f,93,390,172
f,93,500,392
f,93,500,187
f,93,500,344
f,93,500,172
f,93,250,392
f,93,250,187
f,93,250,344
f,93,250,172
f,78,63,392
f,78,63,187
f,78,63,344
f,78,63,172
f,78,390,392
f,78,390,187
f,78,390,344
f,78,390,172
f,78,500,392
f,78,500,187
f,78,500,344
f,78,500,172
f,78,250,392
f,78,250,187
f,78,250,344
f,78,250,172
f,94,63,392
f,94,63,187
f,94,63,344
f,94,63,172
f,94,390,392
f,94,390,187
f,94,390,344
f,94,390,172
f,94,500,392
f,94,500,187
f,94,500,344
f,94,500,172
f,94,250,392
f,94,250,187
f,94,250,344
f,94,250,172
i,46,62,32
i,46,62,220
i,46,203,32
i,46,203,220
i,125,62,32
i,125,62,220
i,125,203,32
i,125,203,220
j,125,376,15
j,125,376,78
j,125,376,188
j,125,376,202
j,125,79,15
j,125,79,78
j,125,79,188
j,125,79,202
j,125,171,15
j,125,171,78
j,125,171,188
j,125,171,202
j,62,376,15
j,62,376,78
j,62,376,188
j,62,376,202
j,62,79,15
j,62,79,78
j,62,79,188
j,62,79,202
j,62,171,15
j,62,171,78
j,62,171,188
j,62,171,202
j,48,376,15
j,48,376,78
j,48,376,188
j,48,376,202
j,48,79,15
j,48,79,78
j,48,79,188
j,48,79,202
j,48,171,15
j,48,171,78
j,48,171,188
j,48,171,202
j,78,376,15
j,78,376,78
j,78,376,188
j,78,376,202
j,78,79,15
j,78,79,78
j,78,79,188
j,78,79,202
j,78,171,15
j,78,171,78
j,78,171,188
j,78,171,202
k,250,218,108
k,250,218,124
k,250,218,156
k,250,218,126
k,250,94,108
k,250,94,124
k,250,94,156
k,250,94,126
k,250,140,108
k,250,140,124
k,250,140,156
k,250,140,126
k,250,109,108
k,250,109,124
k,250,109,156
k,250,109,126
k,158,218,108
k,158,218,124
k,158,218,156
k,158,218,126
k,158,94,108
k,158,94,124
k,158,94,156
k,158,94,126
k,158,140,108
k,158,140,124
k,158,140,156
k,158,140,126
k,158,109,108
k,158,109,124
k,158,109,156
k,158,109,126
k,219,218,108
k,219,218,124
k,219,218,156
k,219,218,126
k,219,94,108
k,219,94,124
k,219,94,156
k,219,94,126
k,219,140,108
k,219,140,124
k,219,140,156
k,219,140,126
k,219,109,108
k,219,109,124
k,219,109,156
k,219,109,126
k,187,218,108
k,187,218,124
k,187,218,156
k,187,218,126
k,187,94,108
k,187,94,124
k,187,94,156
k,187,94,126
k,187,140,108
k,187,140,124
k,187,140,156
k,187,140,126
k,187,109,108
k,187,109,124
k,187,109,156
k,187,109,126
o,173,48,92
s,61,125,391
s,61,125,188
s,61,453,391
s,61,453,188
s,61,125,391
s,61,125,188
s,63,125,391
s,63,125,188
s,63,453,391
s,63,453,188
s,63,125,391
s,63,125,188
s,156,125,391
s,156,125,188
s,156,453,391
s,156,453,188
s,156,125,391
s,156,125,188
