key,hold_time,flight_time,delay_time
 ,188,219,281
 ,188,219,547
 ,188,219,391
 ,188,219,625
 ,188,219,469
 ,188,500,281
 ,188,500,547
 ,188,500,391
 ,188,500,625
 ,188,500,469
 ,188,344,281
 ,188,344,547
 ,188,344,391
 ,188,344,625
 ,188,344,469
 ,188,625,281
 ,188,625,547
 ,188,625,391
 ,188,625,625
 ,188,625,469
 ,188,421,281
 ,188,421,547
 ,188,421,391
 ,188,421,625
 ,188,421,469
 ,158,219,281
 ,158,219,547
 ,158,219,391
 ,158,219,625
 ,158,219,469
 ,158,500,281
 ,158,500,547
 ,158,500,391
 ,158,500,625
 ,158,500,469
 ,158,344,281
 ,158,344,547
 ,158,344,391
 ,158,344,625
 ,158,344,469
 ,158,625,281
 ,158,625,547
 ,158,625,391
 ,158,625,625
 ,158,625,469
 ,158,421,281
 ,158,421,547
 ,158,421,391
 ,158,421,625
 ,158,421,469
 ,172,219,281
 ,172,219,547
 ,172,219,391
 ,172,219,625
 ,172,219,469
 ,172,500,281
 ,172,500,547
 ,172,500,391
 ,172,500,625
 ,172,500,469
 ,172,344,281
 ,172,344,547
 ,172,344,391
 ,172,344,625
 ,172,344,469
 ,172,625,281
 ,172,625,547
 ,172,625,391
 ,172,625,625
 ,172,625,469
 ,172,421,281
 ,172,421,547
 ,172,421,391
 ,172,421,625
 ,172,421,469
 ,171,219,281
 ,171,219,547
 ,171,219,391
 ,171,219,625
 ,171,219,469
 ,171,500,281
 ,171,500,547
 ,171,500,391
 ,171,500,625
 ,171,500,469
 ,171,344,281
 ,171,344,547
 ,171,344,391
 ,171,344,625
 ,171,344,469
 ,171,625,281
 ,171,625,547
 ,171,625,391
 ,171,625,625
 ,171,625,469
 ,171,421,281
 ,171,421,547
 ,171,421,391
 ,171,421,625
 ,171,421,469
 ,155,219,281
 ,155,219,547
 ,155,219,391
 ,155,219,625
 ,155,219,469
 ,155,500,281
 ,155,500,547
 ,155,500,391
 ,155,500,625
 ,155,500,469
 ,155,344,281
 ,155,344,547
 ,155,344,391
 ,155,344,625
 ,155,344,469
 ,155,625,281
 ,155,625,547
 ,155,625,391
 ,155,625,625
 ,155,625,469
 ,155,421,281
 ,155,421,547
 ,155,421,391
 ,155,421,625
 ,155,421,469
a,15,156,140
a,15,156,62
a,15,156,156
a,15,156,171
a,15,156,140
a,15,156,62
a,15,156,156
a,15,156,171
a,15,125,140
a,15,125,62
a,15,125,156
a,15,125,171
a,15,79,140
a,15,79,62
a,15,79,156
a,15,79,171
a,15,156,140
a,15,156,62
a,15,156,156
a,15,156,171
a,15,156,140
a,15,156,62
a,15,156,156
a,15,156,171
a,15,125,140
a,15,125,62
a,15,125,156
a,15,125,171
a,15,79,140
a,15,79,62
a,15,79,156
a,15,79,171
a,94,156,140
a,94,156,62
a,94,156,156
a,94,156,171
a,94,156,140
a,94,156,62
a,94,156,156
a,94,156,171
a,94,125,140
a,94,125,62
a,94,125,156
a,94,125,171
a,94,79,140
a,94,79,62
a,94,79,156
a,94,79,171
a,203,156,140
a,203,156,62
a,203,156,156
a,203,156,171
a,203,156,140
a,203,156,62
a,203,156,156
a,203,156,171
a,203,125,140
a,203,125,62
a,203,125,156
a,203,125,171
a,203,79,140
a,203,79,62
a,203,79,156
a,203,79,171
d,142,124,62
d,142,124,314
d,142,124,155
d,142,124,203
d,142,124,110
d,142,124,94
d,142,124,46
d,142,124,16
d,142,124,235
d,142,124,125
d,142,235,62
d,142,235,314
d,142,235,155
d,142,235,203
d,142,235,110
d,142,235,94
d,142,235,46
d,142,235,16
d,142,235,235
d,142,235,125
d,142,109,62
d,142,109,314
d,142,109,155
d,142,109,203
d,142,109,110
d,142,109,94
d,142,109,46
d,142,109,16
d,142,109,235
d,142,109,125
d,142,234,62
d,142,234,314
d,142,234,155
d,142,234,203
d,142,234,110
d,142,234,94
d,142,234,46
d,142,234,16
d,142,234,235
d,142,234,125
d,142,187,62
d,142,187,314
d,142,187,155
d,142,187,203
d,142,187,110
d,142,187,94
d,142,187,46
d,142,187,16
d,142,187,235
d,142,187,125
d,142,16,62
d,142,16,314
d,142,16,155
d,142,16,203
d,142,16,110
d,142,16,94
d,142,16,46
d,142,16,16
d,142,16,235
d,142,16,125
d,142,16,62
d,142,16,314
d,142,16,155
d,142,16,203
d,142,16,110
d,142,16,94
d,142,16,46
d,142,16,16
d,142,16,235
d,142,16,125
d,142,78,62
d,142,78,314
d,142,78,155
d,142,78,203
d,142,78,110
d,142,78,94
d,142,78,46
d,142,78,16
d,142,78,235
d,142,78,125
d,142,156,62
d,142,156,314
d,142,156,155
d,142,156,203
d,142,156,110
d,142,156,94
d,142,156,46
d,142,156,16
d,142,156,235
d,142,156,125
d,142,124,62
d,142,124,314
d,142,124,155
d,142,124,203
d,142,124,110
d,142,124,94
d,142,124,46
d,142,124,16
d,142,124,235
d,142,124,125
d,124,124,62
d,124,124,314
d,124,124,155
d,124,124,203
d,124,124,110
d,124,124,94
d,124,124,46
d,124,124,16
d,124,124,235
d,124,124,125
d,124,235,62
d,124,235,314
d,124,235,155
d,124,235,203
d,124,235,110
d,124,235,94
d,124,235,46
d,124,235,16
d,124,235,235
d,124,235,125
d,124,109,62
d,124,109,314
d,124,109,155
d,124,109,203
d,124,109,110
d,124,109,94
d,124,109,46
d,124,109,16
d,124,109,235
d,124,109,125
d,124,234,62
d,124,234,314
d,124,234,155
d,124,234,203
d,124,234,110
d,124,234,94
d,124,234,46
d,124,234,16
d,124,234,235
d,124,234,125
d,124,187,62
d,124,187,314
d,124,187,155
d,124,187,203
d,124,187,110
d,124,187,94
d,124,187,46
d,124,187,16
d,124,187,235
d,124,187,125
d,124,16,62
d,124,16,314
d,124,16,155
d,124,16,203
d,124,16,110
d,124,16,94
d,124,16,46
d,124,16,16
d,124,16,235
d,124,16,125
d,124,16,62
d,124,16,314
d,124,16,155
d,124,16,203
d,124,16,110
d,124,16,94
d,124,16,46
d,124,16,16
d,124,16,235
d,124,16,125
d,124,78,62
d,124,78,314
d,124,78,155
d,124,78,203
d,124,78,110
d,124,78,94
d,124,78,46
d,124,78,16
d,124,78,235
d,124,78,125
d,124,156,62
d,124,156,314
d,124,156,155
d,124,156,203
d,124,156,110
d,124,156,94
d,124,156,46
d,124,156,16
d,124,156,235
d,124,156,125
d,124,124,62
d,124,124,314
d,124,124,155
d,124,124,203
d,124,124,110
d,124,124,94
d,124,124,46
d,124,124,16
d,124,124,235
d,124,124,125
d,94,124,62
d,94,124,314
d,94,124,155
d,94,124,203
d,94,124,110
d,94,124,94
d,94,124,46
d,94,124,16
d,94,124,235
d,94,124,125
d,94,235,62
d,94,235,314
d,94,235,155
d,94,235,203
d,94,235,110
d,94,235,94
d,94,235,46
d,94,235,16
d,94,235,235
d,94,235,125
d,94,109,62
d,94,109,314
d,94,109,155
d,94,109,203
d,94,109,110
d,94,109,94
d,94,109,46
d,94,109,16
d,94,109,235
d,94,109,125
d,94,234,62
d,94,234,314
d,94,234,155
d,94,234,203
d,94,234,110
d,94,234,94
d,94,234,46
d,94,234,16
d,94,234,235
d,94,234,125
d,94,187,62
d,94,187,314
d,94,187,155
d,94,187,203
d,94,187,110
d,94,187,94
d,94,187,46
d,94,187,16
d,94,187,235
d,94,187,125
d,94,16,62
d,94,16,314
d,94,16,155
d,94,16,203
d,94,16,110
d,94,16,94
d,94,16,46
d,94,16,16
d,94,16,235
d,94,16,125
d,94,16,62
d,94,16,314
d,94,16,155
d,94,16,203
d,94,16,110
d,94,16,94
d,94,16,46
d,94,16,16
d,94,16,235
d,94,16,125
d,94,78,62
d,94,78,314
d,94,78,155
d,94,78,203
d,94,78,110
d,94,78,94
d,94,78,46
d,94,78,16
d,94,78,235
d,94,78,125
d,94,156,62
d,94,156,314
d,94,156,155
d,94,156,203
d,94,156,110
d,94,156,94
d,94,156,46
d,94,156,16
d,94,156,235
d,94,156,125
d,94,124,62
d,94,124,314
d,94,124,155
d,94,124,203
d,94,124,110
d,94,124,94
d,94,124,46
d,94,124,16
d,94,124,235
d,94,124,125
d,32,124,62
d,32,124,314
d,32,124,155
d,32,124,203
d,32,124,110
d,32,124,94
d,32,124,46
d,32,124,16
d,32,124,235
d,32,124,125
d,32,235,62
d,32,235,314
d,32,235,155
d,32,235,203
d,32,235,110
d,32,235,94
d,32,235,46
d,32,235,16
d,32,235,235
d,32,235,125
d,32,109,62
d,32,109,314
d,32,109,155
d,32,109,203
d,32,109,110
d,32,109,94
d,32,109,46
d,32,109,16
d,32,109,235
d,32,109,125
d,32,234,62
d,32,234,314
d,32,234,155
d,32,234,203
d,32,234,110
d,32,234,94
d,32,234,46
d,32,234,16
d,32,234,235
d,32,234,125
d,32,187,62
d,32,187,314
d,32,187,155
d,32,187,203
d,32,187,110
d,32,187,94
d,32,187,46
d,32,187,16
d,32,187,235
d,32,187,125
d,32,16,62
d,32,16,314
d,32,16,155
d,32,16,203
d,32,16,110
d,32,16,94
d,32,16,46
d,32,16,16
d,32,16,235
d,32,16,125
d,32,16,62
d,32,16,314
d,32,16,155
d,32,16,203
d,32,16,110
d,32,16,94
d,32,16,46
d,32,16,16
d,32,16,235
d,32,16,125
d,32,78,62
d,32,78,314
d,32,78,155
d,32,78,203
d,32,78,110
d,32,78,94
d,32,78,46
d,32,78,16
d,32,78,235
d,32,78,125
d,32,156,62
d,32,156,314
d,32,156,155
d,32,156,203
d,32,156,110
d,32,156,94
d,32,156,46
d,32,156,16
d,32,156,235
d,32,156,125
d,32,124,62
d,32,124,314
d,32,124,155
d,32,124,203
d,32,124,110
d,32,124,94
d,32,124,46
d,32,124,16
d,32,124,235
d,32,124,125
d,47,124,62
d,47,124,314
d,47,124,155
d,47,124,203
d,47,124,110
d,47,124,94
d,47,124,46
d,47,124,16
d,47,124,235
d,47,124,125
d,47,235,62
d,47,235,314
d,47,235,155
d,47,235,203
d,47,235,110
d,47,235,94
d,47,235,46
d,47,235,16
d,47,235,235
d,47,235,125
d,47,109,62
d,47,109,314
d,47,109,155
d,47,109,203
d,47,109,110
d,47,109,94
d,47,109,46
d,47,109,16
d,47,109,235
d,47,109,125
d,47,234,62
d,47,234,314
d,47,234,155
d,47,234,203
d,47,234,110
d,47,234,94
d,47,234,46
d,47,234,16
d,47,234,235
d,47,234,125
d,47,187,62
d,47,187,314
d,47,187,155
d,47,187,203
d,47,187,110
d,47,187,94
d,47,187,46
d,47,187,16
d,47,187,235
d,47,187,125
d,47,16,62
d,47,16,314
d,47,16,155
d,47,16,203
d,47,16,110
d,47,16,94
d,47,16,46
d,47,16,16
d,47,16,235
d,47,16,125
d,47,16,62
d,47,16,314
d,47,16,155
d,47,16,203
d,47,16,110
d,47,16,94
d,47,16,46
d,47,16,16
d,47,16,235
d,47,16,125
d,47,78,62
d,47,78,314
d,47,78,155
d,47,78,203
d,47,78,110
d,47,78,94
d,47,78,46
d,47,78,16
d,47,78,235
d,47,78,125
d,47,156,62
d,47,156,314
d,47,156,155
d,47,156,203
d,47,156,110
d,47,156,94
d,47,156,46
d,47,156,16
d,47,156,235
d,47,156,125
d,47,124,62
d,47,124,314
d,47,124,155
d,47,124,203
d,47,124,110
d,47,124,94
d,47,124,46
d,47,124,16
d,47,124,235
d,47,124,125
d,16,124,62
d,16,124,314
d,16,124,155
d,16,124,203
d,16,124,110
d,16,124,94
d,16,124,46
d,16,124,16
d,16,124,235
d,16,124,125
d,16,235,62
d,16,235,314
d,16,235,155
