key,hold_time,flight_time,delay_time
 ,125,297,328
 ,125,297,250
 ,125,297,469
 ,125,264,328
 ,125,264,250
 ,125,264,469
 ,125,453,328
 ,125,453,250
 ,125,453,469
 ,125,297,328
 ,125,297,250
 ,125,297,469
 ,125,264,328
 ,125,264,250
 ,125,264,469
 ,125,453,328
 ,125,453,250
 ,125,453,469
 ,203,297,328
 ,203,297,250
 ,203,297,469
 ,203,264,328
 ,203,264,250
 ,203,264,469
 ,203,453,328
 ,203,453,250
 ,203,453,469
d,79,485,219
d,79,485,344
d,79,485,250
d,79,485,140
d,79,485,360
d,79,485,172
d,79,485,125
d,79,483,219
d,79,483,344
d,79,483,250
d,79,483,140
d,79,483,360
d,79,483,172
d,79,483,125
d,79,32,219
d,79,32,344
d,79,32,250
d,79,32,140
d,79,32,360
d,79,32,172
d,79,32,125
d,79,187,219
d,79,187,344
d,79,187,250
d,79,187,140
d,79,187,360
d,79,187,172
d,79,187,125
d,79,359,219
d,79,359,344
d,79,359,250
d,79,359,140
d,79,359,360
d,79,359,172
d,79,359,125
d,79,124,219
d,79,124,344
d,79,124,250
d,79,124,140
d,79,124,360
d,79,124,172
d,79,124,125
d,79,220,219
d,79,220,344
d,79,220,250
d,79,220,140
d,79,220,360
d,79,220,172
d,79,220,125
d,47,485,219
d,47,485,344
d,47,485,250
d,47,485,140
d,47,485,360
d,47,485,172
d,47,485,125
d,47,483,219
d,47,483,344
d,47,483,250
d,47,483,140
d,47,483,360
d,47,483,172
d,47,483,125
d,47,32,219
d,47,32,344
d,47,32,250
d,47,32,140
d,47,32,360
d,47,32,172
d,47,32,125
d,47,187,219
d,47,187,344
d,47,187,250
d,47,187,140
d,47,187,360
d,47,187,172
d,47,187,125
d,47,359,219
d,47,359,344
d,47,359,250
d,47,359,140
d,47,359,360
d,47,359,172
d,47,359,125
d,47,124,219
d,47,124,344
d,47,124,250
d,47,124,140
d,47,124,360
d,47,124,172
d,47,124,125
d,47,220,219
d,47,220,344
d,47,220,250
d,47,220,140
d,47,220,360
d,47,220,172
d,47,220,125
d,0,485,219
d,0,485,344
d,0,485,250
d,0,485,140
d,0,485,360
d,0,485,172
d,0,485,125
d,0,483,219
d,0,483,344
d,0,483,250
d,0,483,140
d,0,483,360
d,0,483,172
d,0,483,125
d,0,32,219
d,0,32,344
d,0,32,250
d,0,32,140
d,0,32,360
d,0,32,172
d,0,32,125
d,0,187,219
d,0,187,344
d,0,187,250
d,0,187,140
d,0,187,360
d,0,187,172
d,0,187,125
d,0,359,219
d,0,359,344
d,0,359,250
d,0,359,140
d,0,359,360
d,0,359,172
d,0,359,125
d,0,124,219
d,0,124,344
d,0,124,250
d,0,124,140
d,0,124,360
d,0,124,172
d,0,124,125
d,0,220,219
d,0,220,344
d,0,220,250
d,0,220,140
d,0,220,360
d,0,220,172
d,0,220,125
d,141,485,219
d,141,485,344
d,141,485,250
d,141,485,140
d,141,485,360
d,141,485,172
d,141,485,125
d,141,483,219
d,141,483,344
d,141,483,250
d,141,483,140
d,141,483,360
d,141,483,172
d,141,483,125
d,141,32,219
d,141,32,344
d,141,32,250
d,141,32,140
d,141,32,360
d,141,32,172
d,141,32,125
d,141,187,219
d,141,187,344
d,141,187,250
d,141,187,140
d,141,187,360
d,141,187,172
d,141,187,125
d,141,359,219
d,141,359,344
d,141,359,250
d,141,359,140
d,141,359,360
d,141,359,172
d,141,359,125
d,141,124,219
d,141,124,344
d,141,124,250
d,141,124,140
d,141,124,360
d,141,124,172
d,141,124,125
d,141,220,219
d,141,220,344
d,141,220,250
d,141,220,140
d,141,220,360
d,141,220,172
d,141,220,125
