key,hold_time,flight_time,delay_time
 ,108,341,337
 ,108,341,436
 ,108,341,333
 ,108,427,337
 ,108,427,436
 ,108,427,333
 ,108,295,337
 ,108,295,436
 ,108,295,333
 ,121,341,337
 ,121,341,436
 ,121,341,333
 ,121,427,337
 ,121,427,436
 ,121,427,333
 ,121,295,337
 ,121,295,436
 ,121,295,333
 ,119,341,337
 ,119,341,436
 ,119,341,333
 ,119,427,337
 ,119,427,436
 ,119,427,333
 ,119,295,337
 ,119,295,436
 ,119,295,333
d,157,228,210
d,157,228,196
d,157,229,210
d,157,229,196
d,189,228,210
d,189,228,196
d,189,229,210
d,189,229,196
e,119,242,237
e,119,242,188
e,119,231,237
e,119,231,188
e,144,242,237
e,144,242,188
e,144,231,237
e,144,231,188
h,114,705,712
h,101,705,712
l,94,230,255
l,94,230,167
l,94,230,289
l,94,230,167
l,94,230,182
l,94,230,189
l,94,203,255
l,94,203,167
l,94,203,289
l,94,203,167
l,94,203,182
l,94,203,189
l,94,241,255
l,94,241,167
l,94,241,289
l,94,241,167
l,94,241,182
l,94,241,189
l,94,197,255
l,94,197,167
l,94,197,289
l,94,197,167
l,94,197,182
l,94,197,189
l,94,198,255
l,94,198,167
l,94,198,289
l,94,198,167
l,94,198,182
l,94,198,189
l,94,214,255
l,94,214,167
l,94,214,289
l,94,214,167
l,94,214,182
l,94,214,189
l,130,230,255
l,130,230,167
l,130,230,289
l,130,230,167
l,130,230,182
l,130,230,189
l,130,203,255
l,130,203,167
l,130,203,289
l,130,203,167
l,130,203,182
l,130,203,189
l,130,241,255
l,130,241,167
l,130,241,289
l,130,241,167
l,130,241,182
l,130,241,189
l,130,197,255
l,130,197,167
l,130,197,289
l,130,197,167
l,130,197,182
l,130,197,189
l,130,198,255
l,130,198,167
l,130,198,289
l,130,198,167
l,130,198,182
l,130,198,189
l,130,214,255
l,130,214,167
l,130,214,289
l,130,214,167
l,130,214,182
l,130,214,189
l,96,230,255
l,96,230,167
l,96,230,289
l,96,230,167
l,96,230,182
l,96,230,189
l,96,203,255
l,96,203,167
l,96,203,289
l,96,203,167
l,96,203,182
l,96,203,189
l,96,241,255
l,96,241,167
l,96,241,289
l,96,241,167
l,96,241,182
l,96,241,189
l,96,197,255
l,96,197,167
l,96,197,289
l,96,197,167
l,96,197,182
l,96,197,189
l,96,198,255
l,96,198,167
l,96,198,289
l,96,198,167
l,96,198,182
l,96,198,189
l,96,214,255
l,96,214,167
l,96,214,289
l,96,214,167
l,96,214,182
l,96,214,189
l,126,230,255
l,126,230,167
l,126,230,289
l,126,230,167
l,126,230,182
l,126,230,189
l,126,203,255
l,126,203,167
l,126,203,289
l,126,203,167
l,126,203,182
l,126,203,189
l,126,241,255
l,126,241,167
l,126,241,289
l,126,241,167
l,126,241,182
l,126,241,189
l,126,197,255
l,126,197,167
l,126,197,289
l,126,197,167
l,126,197,182
l,126,197,189
l,126,198,255
l,126,198,167
l,126,198,289
l,126,198,167
l,126,198,182
l,126,198,189
l,126,214,255
l,126,214,167
l,126,214,289
l,126,214,167
l,126,214,182
l,126,214,189
l,139,230,255
l,139,230,167
l,139,230,289
l,139,230,167
l,139,230,182
l,139,230,189
l,139,203,255
l,139,203,167
l,139,203,289
l,139,203,167
l,139,203,182
l,139,203,189
l,139,241,255
l,139,241,167
l,139,241,289
l,139,241,167
l,139,241,182
l,139,241,189
l,139,197,255
l,139,197,167
l,139,197,289
l,139,197,167
l,139,197,182
l,139,197,189
l,139,198,255
l,139,198,167
l,139,198,289
l,139,198,167
l,139,198,182
l,139,198,189
l,139,214,255
l,139,214,167
l,139,214,289
l,139,214,167
l,139,214,182
l,139,214,189
l,156,230,255
l,156,230,167
l,156,230,289
l,156,230,167
l,156,230,182
l,156,230,189
l,156,203,255
l,156,203,167
l,156,203,289
l,156,203,167
l,156,203,182
l,156,203,189
l,156,241,255
l,156,241,167
l,156,241,289
l,156,241,167
l,156,241,182
l,156,241,189
l,156,197,255
l,156,197,167
l,156,197,289
l,156,197,167
l,156,197,182
l,156,197,189
l,156,198,255
l,156,198,167
l,156,198,289
l,156,198,167
l,156,198,182
l,156,198,189
l,156,214,255
l,156,214,167
l,156,214,289
l,156,214,167
l,156,214,182
l,156,214,189
o,104,206,232
o,104,206,209
o,104,206,161
o,104,206,257
o,104,213,232
o,104,213,209
o,104,213,161
o,104,213,257
o,104,145,232
o,104,145,209
o,104,145,161
o,104,145,257
o,104,260,232
o,104,260,209
o,104,260,161
o,104,260,257
o,130,206,232
o,130,206,209
o,130,206,161
o,130,206,257
o,130,213,232
o,130,213,209
o,130,213,161
o,130,213,257
o,130,145,232
o,130,145,209
o,130,145,161
o,130,145,257
o,130,260,232
o,130,260,209
o,130,260,161
o,130,260,257
o,129,206,232
o,129,206,209
o,129,206,161
o,129,206,257
o,129,213,232
o,129,213,209
o,129,213,161
o,129,213,257
o,129,145,232
o,129,145,209
o,129,145,161
o,129,145,257
o,129,260,232
o,129,260,209
o,129,260,161
o,129,260,257
o,145,206,232
o,145,206,209
o,145,206,161
o,145,206,257
o,145,213,232
o,145,213,209
o,145,213,161
o,145,213,257
o,145,145,232
o,145,145,209
o,145,145,161
o,145,145,257
o,145,260,232
o,145,260,209
o,145,260,161
o,145,260,257
r,123,264,270
r,123,264,212
r,123,198,270
r,123,198,212
r,131,264,270
r,131,264,212
r,131,198,270
r,131,198,212
w,145,1264,1240
w,145,1264,229
w,145,252,1240
w,145,252,229
w,142,1264,1240
w,142,1264,229
w,142,252,1240
w,142,252,229
