key,hold_time,flight_time,delay_time
 ,101,295,405
 ,101,295,592
 ,101,295,361
 ,101,295,503
 ,101,511,405
 ,101,511,592
 ,101,511,361
 ,101,511,503
 ,101,276,405
 ,101,276,592
 ,101,276,361
 ,101,276,503
 ,101,472,405
 ,101,472,592
 ,101,472,361
 ,101,472,503
 ,144,295,405
 ,144,295,592
 ,144,295,361
 ,144,295,503
 ,144,511,405
 ,144,511,592
 ,144,511,361
 ,144,511,503
 ,144,276,405
 ,144,276,592
 ,144,276,361
 ,144,276,503
 ,144,472,405
 ,144,472,592
 ,144,472,361
 ,144,472,503
 ,98,295,405
 ,98,295,592
 ,98,295,361
 ,98,295,503
 ,98,511,405
 ,98,511,592
 ,98,511,361
 ,98,511,503
 ,98,276,405
 ,98,276,592
 ,98,276,361
 ,98,276,503
 ,98,472,405
 ,98,472,592
 ,98,472,361
 ,98,472,503
 ,120,295,405
 ,120,295,592
 ,120,295,361
 ,120,295,503
 ,120,511,405
 ,120,511,592
 ,120,511,361
 ,120,511,503
 ,120,276,405
 ,120,276,592
 ,120,276,361
 ,120,276,503
 ,120,472,405
 ,120,472,592
 ,120,472,361
 ,120,472,503
a,198,185,147
a,198,185,170
a,198,185,149
a,198,185,105
a,198,185,306
a,198,185,72
a,198,185,109
a,198,166,147
a,198,166,170
a,198,166,149
a,198,166,105
a,198,166,306
a,198,166,72
a,198,166,109
a,198,25,147
a,198,25,170
a,198,25,149
a,198,25,105
a,198,25,306
a,198,25,72
a,198,25,109
a,198,66,147
a,198,66,170
a,198,66,149
a,198,66,105
a,198,66,306
a,198,66,72
a,198,66,109
a,198,614,147
a,198,614,170
a,198,614,149
a,198,614,105
a,198,614,306
a,198,614,72
a,198,614,109
a,198,108,147
a,198,108,170
a,198,108,149
a,198,108,105
a,198,108,306
a,198,108,72
a,198,108,109
a,198,112,147
a,198,112,170
a,198,112,149
a,198,112,105
a,198,112,306
a,198,112,72
a,198,112,109
a,49,185,147
a,49,185,170
a,49,185,149
a,49,185,105
a,49,185,306
a,49,185,72
a,49,185,109
a,49,166,147
a,49,166,170
a,49,166,149
a,49,166,105
a,49,166,306
a,49,166,72
a,49,166,109
a,49,25,147
a,49,25,170
a,49,25,149
a,49,25,105
a,49,25,306
a,49,25,72
a,49,25,109
a,49,66,147
a,49,66,170
a,49,66,149
a,49,66,105
a,49,66,306
a,49,66,72
a,49,66,109
a,49,614,147
a,49,614,170
a,49,614,149
a,49,614,105
a,49,614,306
a,49,614,72
a,49,614,109
a,49,108,147
a,49,108,170
a,49,108,149
a,49,108,105
a,49,108,306
a,49,108,72
a,49,108,109
a,49,112,147
a,49,112,170
a,49,112,149
a,49,112,105
a,49,112,306
a,49,112,72
a,49,112,109
a,52,185,147
a,52,185,170
a,52,185,149
a,52,185,105
a,52,185,306
a,52,185,72
a,52,185,109
a,52,166,147
a,52,166,170
a,52,166,149
a,52,166,105
a,52,166,306
a,52,166,72
a,52,166,109
a,52,25,147
a,52,25,170
a,52,25,149
a,52,25,105
a,52,25,306
a,52,25,72
a,52,25,109
a,52,66,147
a,52,66,170
a,52,66,149
a,52,66,105
a,52,66,306
a,52,66,72
a,52,66,109
a,52,614,147
a,52,614,170
a,52,614,149
a,52,614,105
a,52,614,306
a,52,614,72
a,52,614,109
a,52,108,147
a,52,108,170
a,52,108,149
a,52,108,105
a,52,108,306
a,52,108,72
a,52,108,109
a,52,112,147
a,52,112,170
a,52,112,149
a,52,112,105
a,52,112,306
a,52,112,72
a,52,112,109
a,183,185,147
a,183,185,170
a,183,185,149
a,183,185,105
a,183,185,306
a,183,185,72
a,183,185,109
a,183,166,147
a,183,166,170
a,183,166,149
a,183,166,105
a,183,166,306
a,183,166,72
a,183,166,109
a,183,25,147
a,183,25,170
a,183,25,149
a,183,25,105
a,183,25,306
a,183,25,72
a,183,25,109
a,183,66,147
a,183,66,170
a,183,66,149
a,183,66,105
a,183,66,306
a,183,66,72
a,183,66,109
a,183,614,147
a,183,614,170
a,183,614,149
a,183,614,105
a,183,614,306
a,183,614,72
a,183,614,109
a,183,108,147
a,183,108,170
a,183,108,149
a,183,108,105
a,183,108,306
a,183,108,72
a,183,108,109
a,183,112,147
a,183,112,170
a,183,112,149
a,183,112,105
a,183,112,306
a,183,112,72
a,183,112,109
a,32,185,147
a,32,185,170
a,32,185,149
a,32,185,105
a,32,185,306
a,32,185,72
a,32,185,109
a,32,166,147
a,32,166,170
a,32,166,149
a,32,166,105
a,32,166,306
a,32,166,72
a,32,166,109
a,32,25,147
a,32,25,170
a,32,25,149
a,32,25,105
a,32,25,306
a,32,25,72
a,32,25,109
a,32,66,147
a,32,66,170
a,32,66,149
a,32,66,105
a,32,66,306
a,32,66,72
a,32,66,109
a,32,614,147
a,32,614,170
a,32,614,149
