key,hold_time,flight_time,delay_time
 ,122,406,486
a,163,447,205
a,163,447,68
a,163,447,54
a,163,117,205
a,163,117,68
a,163,117,54
a,188,447,205
a,188,447,68
a,188,447,54
a,188,117,205
a,188,117,68
a,188,117,54
a,37,447,205
a,37,447,68
a,37,447,54
a,37,117,205
a,37,117,68
a,37,117,54
d,54,89,17
d,54,89,37
d,54,89,58
d,54,89,286
d,54,485,17
d,54,485,37
d,54,485,58
d,54,485,286
d,54,373,17
d,54,373,37
d,54,373,58
d,54,373,286
d,54,318,17
d,54,318,37
d,54,318,58
d,54,318,286
d,163,89,17
d,163,89,37
d,163,89,58
d,163,89,286
d,163,485,17
d,163,485,37
d,163,485,58
d,163,485,286
d,163,373,17
d,163,373,37
d,163,373,58
d,163,373,286
d,163,318,17
d,163,318,37
d,163,318,58
d,163,318,286
d,110,89,17
d,110,89,37
d,110,89,58
d,110,89,286
d,110,485,17
d,110,485,37
d,110,485,58
d,110,485,286
d,110,373,17
d,110,373,37
d,110,373,58
d,110,373,286
d,110,318,17
d,110,318,37
d,110,318,58
d,110,318,286
d,90,89,17
d,90,89,37
d,90,89,58
d,90,89,286
d,90,485,17
d,90,485,37
d,90,485,58
d,90,485,286
d,90,373,17
d,90,373,37
d,90,373,58
d,90,373,286
d,90,318,17
d,90,318,37
d,90,318,58
d,90,318,286
i,59,132,216
j,57,324,364
j,57,324,238
j,57,324,477
j,57,223,364
j,57,223,238
j,57,223,477
j,57,29,364
j,57,29,238
j,57,29,477
j,209,324,364
j,209,324,238
j,209,324,477
j,209,223,364
j,209,223,238
j,209,223,477
j,209,29,364
j,209,29,238
j,209,29,477
j,192,324,364
j,192,324,238
j,192,324,477
j,192,223,364
j,192,223,238
j,192,223,477
j,192,29,364
j,192,29,238
j,192,29,477
k,223,60,82
k,223,60,171
k,223,81,82
k,223,81,171
k,135,60,82
k,135,60,171
k,135,81,82
k,135,81,171
o,215,156,125
o,215,156,170
o,215,141,125
o,215,141,170
o,184,156,125
o,184,156,170
o,184,141,125
o,184,141,170
s,285,62,17
s,285,62,255
s,285,62,103
s,285,10,17
s,285,10,255
s,285,10,103
s,285,29,17
s,285,29,255
s,285,29,103
s,285,6,17
s,285,6,255
s,285,6,103
s,202,62,17
s,202,62,255
s,202,62,103
s,202,10,17
s,202,10,255
s,202,10,103
s,202,29,17
s,202,29,255
s,202,29,103
s,202,6,17
s,202,6,255
s,202,6,103
s,217,62,17
s,217,62,255
s,217,62,103
s,217,10,17
s,217,10,255
s,217,10,103
s,217,29,17
s,217,29,255
s,217,29,103
s,217,6,17
s,217,6,255
s,217,6,103
s,43,62,17
s,43,62,255
s,43,62,103
s,43,10,17
s,43,10,255
s,43,10,103
s,43,29,17
s,43,29,255
s,43,29,103
s,43,6,17
s,43,6,255
s,43,6,103
w,224,89,92
w,224,89,480
w,224,158,92
w,224,158,480
w,52,89,92
w,52,89,480
w,52,158,92
w,52,158,480
