key,hold_time,flight_time,delay_time
 ,124,319,305
 ,124,319,302
 ,124,319,227
 ,124,282,305
 ,124,282,302
 ,124,282,227
 ,124,200,305
 ,124,200,302
 ,124,200,227
 ,108,319,305
 ,108,319,302
 ,108,319,227
 ,108,282,305
 ,108,282,302
 ,108,282,227
 ,108,200,305
 ,108,200,302
 ,108,200,227
 ,111,319,305
 ,111,319,302
 ,111,319,227
 ,111,282,305
 ,111,282,302
 ,111,282,227
 ,111,200,305
 ,111,200,302
 ,111,200,227
d,138,192,201
d,138,192,296
d,138,304,201
d,138,304,296
d,138,192,201
d,138,192,296
d,138,304,201
d,138,304,296
e,83,202,238
e,83,202,267
e,83,295,238
e,83,295,267
e,123,202,238
e,123,202,267
e,123,295,238
e,123,295,267
h,119,909,938
h,95,909,938
l,85,180,178
l,85,180,220
l,85,180,196
l,85,180,163
l,85,180,178
l,85,180,209
l,85,243,178
l,85,243,220
l,85,243,196
l,85,243,163
l,85,243,178
l,85,243,209
l,85,168,178
l,85,168,220
l,85,168,196
l,85,168,163
l,85,168,178
l,85,168,209
l,85,183,178
l,85,183,220
l,85,183,196
l,85,183,163
l,85,183,178
l,85,183,209
l,85,201,178
l,85,201,220
l,85,201,196
l,85,201,163
l,85,201,178
l,85,201,209
l,85,212,178
l,85,212,220
l,85,212,196
l,85,212,163
l,85,212,178
l,85,212,209
l,108,180,178
l,108,180,220
l,108,180,196
l,108,180,163
l,108,180,178
l,108,180,209
l,108,243,178
l,108,243,220
l,108,243,196
l,108,243,163
l,108,243,178
l,108,243,209
l,108,168,178
l,108,168,220
l,108,168,196
l,108,168,163
l,108,168,178
l,108,168,209
l,108,183,178
l,108,183,220
l,108,183,196
l,108,183,163
l,108,183,178
l,108,183,209
l,108,201,178
l,108,201,220
l,108,201,196
l,108,201,163
l,108,201,178
l,108,201,209
l,108,212,178
l,108,212,220
l,108,212,196
l,108,212,163
l,108,212,178
l,108,212,209
l,95,180,178
l,95,180,220
l,95,180,196
l,95,180,163
l,95,180,178
l,95,180,209
l,95,243,178
l,95,243,220
l,95,243,196
l,95,243,163
l,95,243,178
l,95,243,209
l,95,168,178
l,95,168,220
l,95,168,196
l,95,168,163
l,95,168,178
l,95,168,209
l,95,183,178
l,95,183,220
l,95,183,196
l,95,183,163
l,95,183,178
l,95,183,209
l,95,201,178
l,95,201,220
l,95,201,196
l,95,201,163
l,95,201,178
l,95,201,209
l,95,212,178
l,95,212,220
l,95,212,196
l,95,212,163
l,95,212,178
l,95,212,209
l,115,180,178
l,115,180,220
l,115,180,196
l,115,180,163
l,115,180,178
l,115,180,209
l,115,243,178
l,115,243,220
l,115,243,196
l,115,243,163
l,115,243,178
l,115,243,209
l,115,168,178
l,115,168,220
l,115,168,196
l,115,168,163
l,115,168,178
l,115,168,209
l,115,183,178
l,115,183,220
l,115,183,196
l,115,183,163
l,115,183,178
l,115,183,209
l,115,201,178
l,115,201,220
l,115,201,196
l,115,201,163
l,115,201,178
l,115,201,209
l,115,212,178
l,115,212,220
l,115,212,196
l,115,212,163
l,115,212,178
l,115,212,209
l,147,180,178
l,147,180,220
l,147,180,196
l,147,180,163
l,147,180,178
l,147,180,209
l,147,243,178
l,147,243,220
l,147,243,196
l,147,243,163
l,147,243,178
l,147,243,209
l,147,168,178
l,147,168,220
l,147,168,196
l,147,168,163
l,147,168,178
l,147,168,209
l,147,183,178
l,147,183,220
l,147,183,196
l,147,183,163
l,147,183,178
l,147,183,209
l,147,201,178
l,147,201,220
l,147,201,196
l,147,201,163
l,147,201,178
l,147,201,209
l,147,212,178
l,147,212,220
l,147,212,196
l,147,212,163
l,147,212,178
l,147,212,209
l,130,180,178
l,130,180,220
l,130,180,196
l,130,180,163
l,130,180,178
l,130,180,209
l,130,243,178
l,130,243,220
l,130,243,196
l,130,243,163
l,130,243,178
l,130,243,209
l,130,168,178
l,130,168,220
l,130,168,196
l,130,168,163
l,130,168,178
l,130,168,209
l,130,183,178
l,130,183,220
l,130,183,196
l,130,183,163
l,130,183,178
l,130,183,209
l,130,201,178
l,130,201,220
l,130,201,196
l,130,201,163
l,130,201,178
l,130,201,209
l,130,212,178
l,130,212,220
l,130,212,196
l,130,212,163
l,130,212,178
l,130,212,209
o,110,285,283
o,110,285,211
o,110,285,146
o,110,285,182
o,110,224,283
o,110,224,211
o,110,224,146
o,110,224,182
o,110,146,283
o,110,146,211
o,110,146,146
o,110,146,182
o,110,143,283
o,110,143,211
o,110,143,146
o,110,143,182
o,128,285,283
o,128,285,211
o,128,285,146
o,128,285,182
o,128,224,283
o,128,224,211
o,128,224,146
o,128,224,182
o,128,146,283
o,128,146,211
o,128,146,146
o,128,146,182
o,128,143,283
o,128,143,211
o,128,143,146
o,128,143,182
o,133,285,283
o,133,285,211
o,133,285,146
o,133,285,182
o,133,224,283
o,133,224,211
o,133,224,146
o,133,224,182
o,133,146,283
o,133,146,211
o,133,146,146
o,133,146,182
o,133,143,283
o,133,143,211
o,133,143,146
o,133,143,182
o,100,285,283
o,100,285,211
o,100,285,146
o,100,285,182
o,100,224,283
o,100,224,211
o,100,224,146
o,100,224,182
o,100,146,283
o,100,146,211
o,100,146,146
o,100,146,182
o,100,143,283
o,100,143,211
o,100,143,146
o,100,143,182
r,124,209,218
r,124,209,197
r,124,224,218
r,124,224,197
r,127,209,218
r,127,209,197
r,127,224,218
r,127,224,197
w,133,944,919
w,133,944,1204
w,133,1232,919
w,133,1232,1204
w,139,944,919
w,139,944,1204
w,139,1232,919
w,139,1232,1204
