key,hold_time,flight_time,delay_time
 ,113,295.0,332.0
 ,113,295.0,200.0
 ,113,206.0,332.0
 ,113,206.0,200.0
 ,123,295.0,332.0
 ,123,295.0,200.0
 ,123,206.0,332.0
 ,123,206.0,200.0
a,16,297.0,248.0
a,16,297.0,94.0
a,16,116.0,248.0
a,16,116.0,94.0
a,225,297.0,248.0
a,225,297.0,94.0
a,225,116.0,248.0
a,225,116.0,94.0
e,121,63.0,109.0
e,121,63.0,269.0
e,121,63.0,118.0
e,121,372.0,109.0
e,121,372.0,269.0
e,121,372.0,118.0
e,121,153.0,109.0
e,121,153.0,269.0
e,121,153.0,118.0
e,109,63.0,109.0
e,109,63.0,269.0
e,109,63.0,118.0
e,109,372.0,109.0
e,109,372.0,269.0
e,109,372.0,118.0
e,109,153.0,109.0
e,109,153.0,269.0
e,109,153.0,118.0
e,208,63.0,109.0
e,208,63.0,269.0
e,208,63.0,118.0
e,208,372.0,109.0
e,208,372.0,269.0
e,208,372.0,118.0
e,208,153.0,109.0
e,208,153.0,269.0
e,208,153.0,118.0
h,100,868.0,891.0
i,162,333.0,284.0
l,150,134.0,154.0
n,117,170.0,261.0
r,58,,
s,117,153.0,198.0
v,55,375.0,427.0
