key,hold_time,flight_time,delay_time
 ,169,891.0,879.0
d,165,1831.0,1791.0
e,128,2289.0,2293.0
h,132,,
l,126,1432.0,1434.0
l,126,1432.0,1387.0
l,126,1432.0,2647.0
l,126,1407.0,1434.0
l,126,1407.0,1387.0
l,126,1407.0,2647.0
l,126,2623.0,1434.0
l,126,2623.0,1387.0
l,126,2623.0,2647.0
l,146,1432.0,1434.0
l,146,1432.0,1387.0
l,146,1432.0,2647.0
l,146,1407.0,1434.0
l,146,1407.0,1387.0
l,146,1407.0,2647.0
l,146,2623.0,1434.0
l,146,2623.0,1387.0
l,146,2623.0,2647.0
l,125,1432.0,1434.0
l,125,1432.0,1387.0
l,125,1432.0,2647.0
l,125,1407.0,1434.0
l,125,1407.0,1387.0
l,125,1407.0,2647.0
l,125,2623.0,1434.0
l,125,2623.0,1387.0
l,125,2623.0,2647.0
o,157,1396.0,1385.0
o,157,1396.0,1453.0
o,157,1494.0,1385.0
o,157,1494.0,1453.0
o,174,1396.0,1385.0
o,174,1396.0,1453.0
o,174,1494.0,1385.0
o,174,1494.0,1453.0
r,149,1298.0,1323.0
w,133,977.0,1013.0
