key,hold_time,flight_time,delay_time
 ,107,294.0,289.0
d,149,263.0,241.0
e,116,280.0,298.0
h,134,,
l,97,220.0,239.0
l,97,220.0,193.0
l,97,220.0,146.0
l,97,207.0,239.0
l,97,207.0,193.0
l,97,207.0,146.0
l,97,155.0,239.0
l,97,155.0,193.0
l,97,155.0,146.0
l,111,220.0,239.0
l,111,220.0,193.0
l,111,220.0,146.0
l,111,207.0,239.0
l,111,207.0,193.0
l,111,207.0,146.0
l,111,155.0,239.0
l,111,155.0,193.0
l,111,155.0,146.0
l,127,220.0,239.0
l,127,220.0,193.0
l,127,220.0,146.0
l,127,207.0,239.0
l,127,207.0,193.0
l,127,207.0,146.0
l,127,155.0,239.0
l,127,155.0,193.0
l,127,155.0,146.0
o,102,217.0,226.0
o,102,217.0,160.0
o,102,121.0,226.0
o,102,121.0,160.0
o,130,217.0,226.0
o,130,217.0,160.0
o,130,121.0,226.0
o,130,121.0,160.0
r,118,264.0,276.0
w,9,721.0,659.0
