key,hold_time,flight_time,delay_time
 ,86,247.0,270.0
 ,86,247.0,236.0
 ,86,251.0,270.0
 ,86,251.0,236.0
 ,122,247.0,270.0
 ,122,247.0,236.0
 ,122,251.0,270.0
 ,122,251.0,236.0
a,149,148.0,153.0
a,149,148.0,309.0
a,149,367.0,153.0
a,149,367.0,309.0
a,193,148.0,153.0
a,193,148.0,309.0
a,193,367.0,153.0
a,193,367.0,309.0
e,1,544.0,525.0
e,1,544.0,66.0
e,1,544.0,110.0
e,1,105.0,525.0
e,1,105.0,66.0
e,1,105.0,110.0
e,1,77.0,525.0
e,1,77.0,66.0
e,1,77.0,110.0
e,147,544.0,525.0
e,147,544.0,66.0
e,147,544.0,110.0
e,147,105.0,525.0
e,147,105.0,66.0
e,147,105.0,110.0
e,147,77.0,525.0
e,147,77.0,66.0
e,147,77.0,110.0
e,135,544.0,525.0
e,135,544.0,66.0
e,135,544.0,110.0
e,135,105.0,525.0
e,135,105.0,66.0
e,135,105.0,110.0
e,135,77.0,525.0
e,135,77.0,66.0
e,135,77.0,110.0
h,135,,
i,117,431.0,400.0
l,169,283.0,307.0
n,109,221.0,259.0
r,58,1424.0,1378.0
s,107,208.0,218.0
v,42,341.0,382.0
