key,hold_time,flight_time,delay_time
 ,110,273,289
 ,110,273,675
 ,110,273,768
 ,110,672,289
 ,110,672,675
 ,110,672,768
 ,110,716,289
 ,110,716,675
 ,110,716,768
 ,127,273,289
 ,127,273,675
 ,127,273,768
 ,127,672,289
 ,127,672,675
 ,127,672,768
 ,127,716,289
 ,127,716,675
 ,127,716,768
 ,96,273,289
 ,96,273,675
 ,96,273,768
 ,96,672,289
 ,96,672,675
 ,96,672,768
 ,96,716,289
 ,96,716,675
 ,96,716,768
d,130,174,182
d,130,174,201
d,130,188,182
d,130,188,201
d,145,174,182
d,145,174,201
d,145,188,182
d,145,188,201
e,116,212,212
e,116,212,324
e,116,322,212
e,116,322,324
e,121,212,212
e,121,212,324
e,121,322,212
e,121,322,324
h,116,900,904
h,123,900,904
l,107,223,232
l,107,223,516
l,107,223,177
l,107,223,269
l,107,223,168
l,107,223,240
l,107,536,232
l,107,536,516
l,107,536,177
l,107,536,269
l,107,536,168
l,107,536,240
l,107,187,232
l,107,187,516
l,107,187,177
l,107,187,269
l,107,187,168
l,107,187,240
l,107,247,232
l,107,247,516
l,107,247,177
l,107,247,269
l,107,247,168
l,107,247,240
l,107,186,232
l,107,186,516
l,107,186,177
l,107,186,269
l,107,186,168
l,107,186,240
l,107,275,232
l,107,275,516
l,107,275,177
l,107,275,269
l,107,275,168
l,107,275,240
l,127,223,232
l,127,223,516
l,127,223,177
l,127,223,269
l,127,223,168
l,127,223,240
l,127,536,232
l,127,536,516
l,127,536,177
l,127,536,269
l,127,536,168
l,127,536,240
l,127,187,232
l,127,187,516
l,127,187,177
l,127,187,269
l,127,187,168
l,127,187,240
l,127,247,232
l,127,247,516
l,127,247,177
l,127,247,269
l,127,247,168
l,127,247,240
l,127,186,232
l,127,186,516
l,127,186,177
l,127,186,269
l,127,186,168
l,127,186,240
l,127,275,232
l,127,275,516
l,127,275,177
l,127,275,269
l,127,275,168
l,127,275,240
l,138,223,232
l,138,223,516
l,138,223,177
l,138,223,269
l,138,223,168
l,138,223,240
l,138,536,232
l,138,536,516
l,138,536,177
l,138,536,269
l,138,536,168
l,138,536,240
l,138,187,232
l,138,187,516
l,138,187,177
l,138,187,269
l,138,187,168
l,138,187,240
l,138,247,232
l,138,247,516
l,138,247,177
l,138,247,269
l,138,247,168
l,138,247,240
l,138,186,232
l,138,186,516
l,138,186,177
l,138,186,269
l,138,186,168
l,138,186,240
l,138,275,232
l,138,275,516
l,138,275,177
l,138,275,269
l,138,275,168
l,138,275,240
l,99,223,232
l,99,223,516
l,99,223,177
l,99,223,269
l,99,223,168
l,99,223,240
l,99,536,232
l,99,536,516
l,99,536,177
l,99,536,269
l,99,536,168
l,99,536,240
l,99,187,232
l,99,187,516
l,99,187,177
l,99,187,269
l,99,187,168
l,99,187,240
l,99,247,232
l,99,247,516
l,99,247,177
l,99,247,269
l,99,247,168
l,99,247,240
l,99,186,232
l,99,186,516
l,99,186,177
l,99,186,269
l,99,186,168
l,99,186,240
l,99,275,232
l,99,275,516
l,99,275,177
l,99,275,269
l,99,275,168
l,99,275,240
l,117,223,232
l,117,223,516
l,117,223,177
l,117,223,269
l,117,223,168
l,117,223,240
l,117,536,232
l,117,536,516
l,117,536,177
l,117,536,269
l,117,536,168
l,117,536,240
l,117,187,232
l,117,187,516
l,117,187,177
l,117,187,269
l,117,187,168
l,117,187,240
l,117,247,232
l,117,247,516
l,117,247,177
l,117,247,269
l,117,247,168
l,117,247,240
l,117,186,232
l,117,186,516
l,117,186,177
l,117,186,269
l,117,186,168
l,117,186,240
l,117,275,232
l,117,275,516
l,117,275,177
l,117,275,269
l,117,275,168
l,117,275,240
l,158,223,232
l,158,223,516
l,158,223,177
l,158,223,269
l,158,223,168
l,158,223,240
l,158,536,232
l,158,536,516
l,158,536,177
l,158,536,269
l,158,536,168
l,158,536,240
l,158,187,232
l,158,187,516
l,158,187,177
l,158,187,269
l,158,187,168
l,158,187,240
l,158,247,232
l,158,247,516
l,158,247,177
l,158,247,269
l,158,247,168
l,158,247,240
l,158,186,232
l,158,186,516
l,158,186,177
l,158,186,269
l,158,186,168
l,158,186,240
l,158,275,232
l,158,275,516
l,158,275,177
l,158,275,269
l,158,275,168
l,158,275,240
o,126,303,304
o,126,303,116
o,126,303,187
o,126,303,339
o,126,120,304
o,126,120,116
o,126,120,187
o,126,120,339
o,126,218,304
o,126,218,116
o,126,218,187
o,126,218,339
o,126,337,304
o,126,337,116
o,126,337,187
o,126,337,339
o,136,303,304
o,136,303,116
o,136,303,187
o,136,303,339
o,136,120,304
o,136,120,116
o,136,120,187
o,136,120,339
o,136,218,304
o,136,218,116
o,136,218,187
o,136,218,339
o,136,337,304
o,136,337,116
o,136,337,187
o,136,337,339
o,148,303,304
o,148,303,116
o,148,303,187
o,148,303,339
o,148,120,304
o,148,120,116
o,148,120,187
o,148,120,339
o,148,218,304
o,148,218,116
o,148,218,187
o,148,218,339
o,148,337,304
o,148,337,116
o,148,337,187
o,148,337,339
o,145,303,304
o,145,303,116
o,145,303,187
o,145,303,339
o,145,120,304
o,145,120,116
o,145,120,187
o,145,120,339
o,145,218,304
o,145,218,116
o,145,218,187
o,145,218,339
o,145,337,304
o,145,337,116
o,145,337,187
o,145,337,339
r,128,312,320
r,128,312,300
r,128,278,320
r,128,278,300
r,123,312,320
r,123,312,300
r,123,278,320
r,123,278,300
w,16,1490,1468
w,16,1490,197
w,16,248,1468
w,16,248,197
w,147,1490,1468
w,147,1490,197
w,147,248,1468
w,147,248,197
