key,hold_time,flight_time,delay_time
 ,119,437,444
 ,119,437,399
 ,119,437,1469
 ,119,335,444
 ,119,335,399
 ,119,335,1469
 ,119,1518,444
 ,119,1518,399
 ,119,1518,1469
 ,94,437,444
 ,94,437,399
 ,94,437,1469
 ,94,335,444
 ,94,335,399
 ,94,335,1469
 ,94,1518,444
 ,94,1518,399
 ,94,1518,1469
 ,138,437,444
 ,138,437,399
 ,138,437,1469
 ,138,335,444
 ,138,335,399
 ,138,335,1469
 ,138,1518,444
 ,138,1518,399
 ,138,1518,1469
d,158,311,308
d,158,311,400
d,158,455,308
d,158,455,400
d,174,311,308
d,174,311,400
d,174,455,308
d,174,455,400
e,86,255,277
e,86,255,900
e,86,896,277
e,86,896,900
e,112,255,277
e,112,255,900
e,112,896,277
e,112,896,900
h,108,2589,2567
h,116,2589,2567
l,99,437,424
l,99,437,198
l,99,437,160
l,99,437,283
l,99,437,203
l,99,437,217
l,99,198,424
l,99,198,198
l,99,198,160
l,99,198,283
l,99,198,203
l,99,198,217
l,99,193,424
l,99,193,198
l,99,193,160
l,99,193,283
l,99,193,203
l,99,193,217
l,99,258,424
l,99,258,198
l,99,258,160
l,99,258,283
l,99,258,203
l,99,258,217
l,99,208,424
l,99,208,198
l,99,208,160
l,99,208,283
l,99,208,203
l,99,208,217
l,99,203,424
l,99,203,198
l,99,203,160
l,99,203,283
l,99,203,203
l,99,203,217
l,99,437,424
l,99,437,198
l,99,437,160
l,99,437,283
l,99,437,203
l,99,437,217
l,99,198,424
l,99,198,198
l,99,198,160
l,99,198,283
l,99,198,203
l,99,198,217
l,99,193,424
l,99,193,198
l,99,193,160
l,99,193,283
l,99,193,203
l,99,193,217
l,99,258,424
l,99,258,198
l,99,258,160
l,99,258,283
l,99,258,203
l,99,258,217
l,99,208,424
l,99,208,198
l,99,208,160
l,99,208,283
l,99,208,203
l,99,208,217
l,99,203,424
l,99,203,198
l,99,203,160
l,99,203,283
l,99,203,203
l,99,203,217
l,155,437,424
l,155,437,198
l,155,437,160
l,155,437,283
l,155,437,203
l,155,437,217
l,155,198,424
l,155,198,198
l,155,198,160
l,155,198,283
l,155,198,203
l,155,198,217
l,155,193,424
l,155,193,198
l,155,193,160
l,155,193,283
l,155,193,203
l,155,193,217
l,155,258,424
l,155,258,198
l,155,258,160
l,155,258,283
l,155,258,203
l,155,258,217
l,155,208,424
l,155,208,198
l,155,208,160
l,155,208,283
l,155,208,203
l,155,208,217
l,155,203,424
l,155,203,198
l,155,203,160
l,155,203,283
l,155,203,203
l,155,203,217
l,87,437,424
l,87,437,198
l,87,437,160
l,87,437,283
l,87,437,203
l,87,437,217
l,87,198,424
l,87,198,198
l,87,198,160
l,87,198,283
l,87,198,203
l,87,198,217
l,87,193,424
l,87,193,198
l,87,193,160
l,87,193,283
l,87,193,203
l,87,193,217
l,87,258,424
l,87,258,198
l,87,258,160
l,87,258,283
l,87,258,203
l,87,258,217
l,87,208,424
l,87,208,198
l,87,208,160
l,87,208,283
l,87,208,203
l,87,208,217
l,87,203,424
l,87,203,198
l,87,203,160
l,87,203,283
l,87,203,203
l,87,203,217
l,92,437,424
l,92,437,198
l,92,437,160
l,92,437,283
l,92,437,203
l,92,437,217
l,92,198,424
l,92,198,198
l,92,198,160
l,92,198,283
l,92,198,203
l,92,198,217
l,92,193,424
l,92,193,198
l,92,193,160
l,92,193,283
l,92,193,203
l,92,193,217
l,92,258,424
l,92,258,198
l,92,258,160
l,92,258,283
l,92,258,203
l,92,258,217
l,92,208,424
l,92,208,198
l,92,208,160
l,92,208,283
l,92,208,203
l,92,208,217
l,92,203,424
l,92,203,198
l,92,203,160
l,92,203,283
l,92,203,203
l,92,203,217
l,119,437,424
l,119,437,198
l,119,437,160
l,119,437,283
l,119,437,203
l,119,437,217
l,119,198,424
l,119,198,198
l,119,198,160
l,119,198,283
l,119,198,203
l,119,198,217
l,119,193,424
l,119,193,198
l,119,193,160
l,119,193,283
l,119,193,203
l,119,193,217
l,119,258,424
l,119,258,198
l,119,258,160
l,119,258,283
l,119,258,203
l,119,258,217
l,119,208,424
l,119,208,198
l,119,208,160
l,119,208,283
l,119,208,203
l,119,208,217
l,119,203,424
l,119,203,198
l,119,203,160
l,119,203,283
l,119,203,203
l,119,203,217
o,126,225,198
o,126,225,330
o,126,225,246
o,126,225,221
o,126,335,198
o,126,335,330
o,126,335,246
o,126,335,221
o,126,243,198
o,126,243,330
o,126,243,246
o,126,243,221
o,126,228,198
o,126,228,330
o,126,228,246
o,126,228,221
o,103,225,198
o,103,225,330
o,103,225,246
o,103,225,221
o,103,335,198
o,103,335,330
o,103,335,246
o,103,335,221
o,103,243,198
o,103,243,330
o,103,243,246
o,103,243,221
o,103,228,198
o,103,228,330
o,103,228,246
o,103,228,221
o,89,225,198
o,89,225,330
o,89,225,246
o,89,225,221
o,89,335,198
o,89,335,330
o,89,335,246
o,89,335,221
o,89,243,198
o,89,243,330
o,89,243,246
o,89,243,221
o,89,228,198
o,89,228,330
o,89,228,246
o,89,228,221
o,130,225,198
o,130,225,330
o,130,225,246
o,130,225,221
o,130,335,198
o,130,335,330
o,130,335,246
o,130,335,221
