key,hold_time,flight_time,delay_time
 ,107,231,236
 ,107,231,226
 ,107,231,331
 ,107,164,236
 ,107,164,226
 ,107,164,331
 ,107,299,236
 ,107,299,226
 ,107,299,331
 ,96,231,236
 ,96,231,226
 ,96,231,331
 ,96,164,236
 ,96,164,226
 ,96,164,331
 ,96,299,236
 ,96,299,226
 ,96,299,331
 ,92,231,236
 ,92,231,226
 ,92,231,331
 ,92,164,236
 ,92,164,226
 ,92,164,331
 ,92,299,236
 ,92,299,226
 ,92,299,331
d,158,190,177
d,158,190,263
d,158,237,177
d,158,237,263
d,140,190,177
d,140,190,263
d,140,237,177
d,140,237,263
e,116,265,260
e,116,265,414
e,116,423,260
e,116,423,414
e,107,265,260
e,107,265,414
e,107,423,260
e,107,423,414
h,111,1345,1343
h,98,1345,1343
l,78,252,290
l,78,252,160
l,78,252,142
l,78,252,250
l,78,252,184
l,78,252,154
l,78,183,290
l,78,183,160
l,78,183,142
l,78,183,250
l,78,183,184
l,78,183,154
l,78,165,290
l,78,165,160
l,78,165,142
l,78,165,250
l,78,165,184
l,78,165,154
l,78,245,290
l,78,245,160
l,78,245,142
l,78,245,250
l,78,245,184
l,78,245,154
l,78,182,290
l,78,182,160
l,78,182,142
l,78,182,250
l,78,182,184
l,78,182,154
l,78,193,290
l,78,193,160
l,78,193,142
l,78,193,250
l,78,193,184
l,78,193,154
l,101,252,290
l,101,252,160
l,101,252,142
l,101,252,250
l,101,252,184
l,101,252,154
l,101,183,290
l,101,183,160
l,101,183,142
l,101,183,250
l,101,183,184
l,101,183,154
l,101,165,290
l,101,165,160
l,101,165,142
l,101,165,250
l,101,165,184
l,101,165,154
l,101,245,290
l,101,245,160
l,101,245,142
l,101,245,250
l,101,245,184
l,101,245,154
l,101,182,290
l,101,182,160
l,101,182,142
l,101,182,250
l,101,182,184
l,101,182,154
l,101,193,290
l,101,193,160
l,101,193,142
l,101,193,250
l,101,193,184
l,101,193,154
l,145,252,290
l,145,252,160
l,145,252,142
l,145,252,250
l,145,252,184
l,145,252,154
l,145,183,290
l,145,183,160
l,145,183,142
l,145,183,250
l,145,183,184
l,145,183,154
l,145,165,290
l,145,165,160
l,145,165,142
l,145,165,250
l,145,165,184
l,145,165,154
l,145,245,290
l,145,245,160
l,145,245,142
l,145,245,250
l,145,245,184
l,145,245,154
l,145,182,290
l,145,182,160
l,145,182,142
l,145,182,250
l,145,182,184
l,145,182,154
l,145,193,290
l,145,193,160
l,145,193,142
l,145,193,250
l,145,193,184
l,145,193,154
l,102,252,290
l,102,252,160
l,102,252,142
l,102,252,250
l,102,252,184
l,102,252,154
l,102,183,290
l,102,183,160
l,102,183,142
l,102,183,250
l,102,183,184
l,102,183,154
l,102,165,290
l,102,165,160
l,102,165,142
l,102,165,250
l,102,165,184
l,102,165,154
l,102,245,290
l,102,245,160
l,102,245,142
l,102,245,250
l,102,245,184
l,102,245,154
l,102,182,290
l,102,182,160
l,102,182,142
l,102,182,250
l,102,182,184
l,102,182,154
l,102,193,290
l,102,193,160
l,102,193,142
l,102,193,250
l,102,193,184
l,102,193,154
l,100,252,290
l,100,252,160
l,100,252,142
l,100,252,250
l,100,252,184
l,100,252,154
l,100,183,290
l,100,183,160
l,100,183,142
l,100,183,250
l,100,183,184
l,100,183,154
l,100,165,290
l,100,165,160
l,100,165,142
l,100,165,250
l,100,165,184
l,100,165,154
l,100,245,290
l,100,245,160
l,100,245,142
l,100,245,250
l,100,245,184
l,100,245,154
l,100,182,290
l,100,182,160
l,100,182,142
l,100,182,250
l,100,182,184
l,100,182,154
l,100,193,290
l,100,193,160
l,100,193,142
l,100,193,250
l,100,193,184
l,100,193,154
l,166,252,290
l,166,252,160
l,166,252,142
l,166,252,250
l,166,252,184
l,166,252,154
l,166,183,290
l,166,183,160
l,166,183,142
l,166,183,250
l,166,183,184
l,166,183,154
l,166,165,290
l,166,165,160
l,166,165,142
l,166,165,250
l,166,165,184
l,166,165,154
l,166,245,290
l,166,245,160
l,166,245,142
l,166,245,250
l,166,245,184
l,166,245,154
l,166,182,290
l,166,182,160
l,166,182,142
l,166,182,250
l,166,182,184
l,166,182,154
l,166,193,290
l,166,193,160
l,166,193,142
l,166,193,250
l,166,193,184
l,166,193,154
o,112,220,209
o,112,220,135
o,112,220,216
o,112,220,2263
o,112,95,209
o,112,95,135
o,112,95,216
o,112,95,2263
o,112,240,209
o,112,240,135
o,112,240,216
o,112,240,2263
o,112,2287,209
o,112,2287,135
o,112,2287,216
o,112,2287,2263
o,123,220,209
o,123,220,135
o,123,220,216
o,123,220,2263
o,123,95,209
o,123,95,135
o,123,95,216
o,123,95,2263
o,123,240,209
o,123,240,135
o,123,240,216
o,123,240,2263
o,123,2287,209
o,123,2287,135
o,123,2287,216
o,123,2287,2263
o,124,220,209
o,124,220,135
o,124,220,216
o,124,220,2263
o,124,95,209
o,124,95,135
o,124,95,216
o,124,95,2263
o,124,240,209
o,124,240,135
o,124,240,216
o,124,240,2263
o,124,2287,209
o,124,2287,135
o,124,2287,216
o,124,2287,2263
o,149,220,209
o,149,220,135
o,149,220,216
o,149,220,2263
o,149,95,209
o,149,95,135
o,149,95,216
o,149,95,2263
o,149,240,209
o,149,240,135
o,149,240,216
o,149,240,2263
o,149,2287,209
o,149,2287,135
o,149,2287,216
o,149,2287,2263
r,122,269,270
r,122,269,309
r,122,287,270
r,122,287,309
r,127,269,270
