key,hold_time,flight_time,delay_time
 ,104,321.0,313.0
 ,104,321.0,190.0
 ,104,163.0,313.0
 ,104,163.0,190.0
 ,109,321.0,313.0
 ,109,321.0,190.0
 ,109,163.0,313.0
 ,109,163.0,190.0
a,168,243.0,239.0
a,168,243.0,323.0
a,168,333.0,239.0
a,168,333.0,323.0
a,155,243.0,239.0
a,155,243.0,323.0
a,155,333.0,239.0
a,155,333.0,323.0
e,164,1143.0,1037.0
e,164,1143.0,87.0
e,164,1143.0,93.0
e,164,129.0,1037.0
e,164,129.0,87.0
e,164,129.0,93.0
e,164,74.0,1037.0
e,164,74.0,87.0
e,164,74.0,93.0
e,204,1143.0,1037.0
e,204,1143.0,87.0
e,204,1143.0,93.0
e,204,129.0,1037.0
e,204,129.0,87.0
e,204,129.0,93.0
e,204,74.0,1037.0
e,204,74.0,87.0
e,204,74.0,93.0
e,145,1143.0,1037.0
e,145,1143.0,87.0
e,145,1143.0,93.0
e,145,129.0,1037.0
e,145,129.0,87.0
e,145,129.0,93.0
e,145,74.0,1037.0
e,145,74.0,87.0
e,145,74.0,93.0
h,58,,
i,119,305.0,290.0
l,142,183.0,196.0
n,96,111.0,219.0
r,71,802.0,747.0
s,136,187.0,170.0
v,75,896.0,902.0
