key,hold_time,flight_time,delay_time
 ,105,226.0,225.0
 ,105,226.0,264.0
 ,105,226.0,677.0
 ,105,226.0,245.0
 ,105,262.0,225.0
 ,105,262.0,264.0
 ,105,262.0,677.0
 ,105,262.0,245.0
 ,105,643.0,225.0
 ,105,643.0,264.0
 ,105,643.0,677.0
 ,105,643.0,245.0
 ,105,206.0,225.0
 ,105,206.0,264.0
 ,105,206.0,677.0
 ,105,206.0,245.0
 ,122,226.0,225.0
 ,122,226.0,264.0
 ,122,226.0,677.0
 ,122,226.0,245.0
 ,122,262.0,225.0
 ,122,262.0,264.0
 ,122,262.0,677.0
 ,122,262.0,245.0
 ,122,643.0,225.0
 ,122,643.0,264.0
 ,122,643.0,677.0
 ,122,643.0,245.0
 ,122,206.0,225.0
 ,122,206.0,264.0
 ,122,206.0,677.0
 ,122,206.0,245.0
 ,118,226.0,225.0
 ,118,226.0,264.0
 ,118,226.0,677.0
 ,118,226.0,245.0
 ,118,262.0,225.0
 ,118,262.0,264.0
 ,118,262.0,677.0
 ,118,262.0,245.0
 ,118,643.0,225.0
 ,118,643.0,264.0
 ,118,643.0,677.0
 ,118,643.0,245.0
 ,118,206.0,225.0
 ,118,206.0,264.0
 ,118,206.0,677.0
 ,118,206.0,245.0
 ,100,226.0,225.0
 ,100,226.0,264.0
 ,100,226.0,677.0
 ,100,226.0,245.0
 ,100,262.0,225.0
 ,100,262.0,264.0
 ,100,262.0,677.0
 ,100,262.0,245.0
 ,100,643.0,225.0
 ,100,643.0,264.0
 ,100,643.0,677.0
 ,100,643.0,245.0
 ,100,206.0,225.0
 ,100,206.0,264.0
 ,100,206.0,677.0
 ,100,206.0,245.0
a,165,140.0,135.0
a,165,140.0,250.0
a,165,140.0,348.0
a,165,262.0,135.0
a,165,262.0,250.0
a,165,262.0,348.0
a,165,367.0,135.0
a,165,367.0,250.0
a,165,367.0,348.0
a,130,140.0,135.0
a,130,140.0,250.0
a,130,140.0,348.0
a,130,262.0,135.0
a,130,262.0,250.0
a,130,262.0,348.0
a,130,367.0,135.0
a,130,367.0,250.0
a,130,367.0,348.0
a,192,140.0,135.0
a,192,140.0,250.0
a,192,140.0,348.0
a,192,262.0,135.0
a,192,262.0,250.0
a,192,262.0,348.0
a,192,367.0,135.0
a,192,367.0,250.0
a,192,367.0,348.0
d,152,612.0,576.0
d,152,612.0,482.0
d,152,536.0,576.0
d,152,536.0,482.0
d,139,612.0,576.0
d,139,612.0,482.0
d,139,536.0,576.0
d,139,536.0,482.0
e,25,275.0,230.0
e,25,275.0,115.0
e,25,275.0,104.0
e,25,99.0,230.0
e,25,99.0,115.0
e,25,99.0,104.0
e,25,58.0,230.0
e,25,58.0,115.0
e,25,58.0,104.0
e,176,275.0,230.0
e,176,275.0,115.0
e,176,275.0,104.0
e,176,99.0,230.0
e,176,99.0,115.0
e,176,99.0,104.0
e,176,58.0,230.0
e,176,58.0,115.0
e,176,58.0,104.0
e,173,275.0,230.0
e,173,275.0,115.0
e,173,275.0,104.0
e,173,99.0,230.0
e,173,99.0,115.0
e,173,99.0,104.0
e,173,58.0,230.0
e,173,58.0,115.0
e,173,58.0,104.0
g,130,751.0,743.0
h,115,,
i,120,385.0,370.0
l,162,172.0,202.0
n,104,126.0,198.0
n,104,126.0,167.0
n,104,122.0,198.0
n,104,122.0,167.0
n,85,126.0,198.0
n,85,126.0,167.0
n,85,122.0,198.0
n,85,122.0,167.0
o,87,202.0,245.0
o,87,202.0,206.0
o,87,235.0,245.0
o,87,235.0,206.0
o,116,202.0,245.0
o,116,202.0,206.0
o,116,235.0,245.0
o,116,235.0,206.0
r,115,394.0,275.0
s,124,183.0,179.0
v,77,340.0,313.0
