key,hold_time,flight_time,delay_time
 ,99,388.0,401.0
d,140,338.0,323.0
e,111,234.0,222.0
h,99,,
l,93,629.0,647.0
l,93,629.0,174.0
l,93,629.0,167.0
l,93,183.0,647.0
l,93,183.0,174.0
l,93,183.0,167.0
l,93,152.0,647.0
l,93,152.0,174.0
l,93,152.0,167.0
l,102,629.0,647.0
l,102,629.0,174.0
l,102,629.0,167.0
l,102,183.0,647.0
l,102,183.0,174.0
l,102,183.0,167.0
l,102,152.0,647.0
l,102,152.0,174.0
l,102,152.0,167.0
l,125,629.0,647.0
l,125,629.0,174.0
l,125,629.0,167.0
l,125,183.0,647.0
l,125,183.0,174.0
l,125,183.0,167.0
l,125,152.0,647.0
l,125,152.0,174.0
l,125,152.0,167.0
o,112,227.0,217.0
o,112,227.0,111.0
o,112,96.0,217.0
o,112,96.0,111.0
o,119,227.0,217.0
o,119,227.0,111.0
o,119,96.0,217.0
o,119,96.0,111.0
r,140,260.0,239.0
w,23,706.0,671.0
